Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17 13:30:00+00:00,96.37000274658203,98.37999725341797,95.0999984741211,96.91670227050781,52227189,334.7449951171875,335.4849853515625,333.2900085449219,334.4200134277344,4770321,267.0979919433594,269.7900085449219,266.7200012207031,268.5849914550781,16349267,254.9499969482422,255.7725067138672,252.1999969482422,254.42999267578125,13625830,678.5999755859375,687.7899780273438,675.1300048828125,682.405029296875,3907234
2026-04-17 14:30:00+00:00,96.91500091552734,98.73999786376953,96.91000366210938,97.40499877929688,17051405,334.510009765625,335.5350036621094,333.8891906738281,335.5299987792969,1681859,268.635009765625,272.1000061035156,268.44000244140625,271.94000244140625,7480237,254.41000366210938,256.17999267578125,253.64999389648438,254.0800018310547,7162406,682.489990234375,687.77001953125,681.9000244140625,683.7000122070312,1995541
2026-04-17 15:30:00+00:00,97.4000015258789,98.42500305175781,97.11000061035156,98.13999938964844,9488737,335.54998779296875,336.57501220703125,335.1700134277344,336.3399963378906,1457837,271.95001220703125,272.29998779296875,270.7699890136719,271.54998779296875,4036285,254.0749969482422,254.4499969482422,253.1750030517578,253.2100067138672,3310173,683.6749877929688,685.5900268554688,682.7800903320312,684.4498901367188,1490292
2026-04-17 16:30:00+00:00,98.13999938964844,98.16000366210938,96.7300033569336,96.82499694824219,10252126,336.3699951171875,337.7300109863281,336.3699951171875,337.260009765625,1690841,271.55999755859375,271.7398986816406,270.17999267578125,270.5799865722656,6141486,253.22999572753906,254.10000610351562,253.14999389648438,253.68710327148438,5527998,684.4400024414062,686.5499877929688,682.2100219726562,683.27001953125,918424
2026-04-17 17:30:00+00:00,96.82499694824219,97.12999725341797,96.52999877929688,97.08499908447266,7534293,337.260009765625,339.5199890136719,336.75,339.2099914550781,1975388,270.5799865722656,270.7300109863281,269.9200134277344,270.19000244140625,2909144,253.6699981689453,254.2899932861328,251.66009521484375,251.99949645996094,3821066,683.1500244140625,686.0800170898438,682.0388793945312,683.3900146484375,976984
2026-04-17 18:30:00+00:00,97.08499908447266,97.38999938964844,96.5,97.26010131835938,9556126,339.2200012207031,339.9700012207031,338.7149963378906,338.92999267578125,1522550,270.19000244140625,270.79998779296875,269.5299987792969,269.69500732421875,4089699,252.0,252.0850067138672,250.4199981689453,250.6300048828125,4509245,683.5,684.989990234375,683.3900146484375,684.3709716796875,904248
2026-04-17 19:30:00+00:00,97.2699966430664,97.6500015258789,97.05999755859375,97.27999877929688,11315807,338.94000244140625,339.9849853515625,338.739990234375,339.2799987792969,2161527,269.7099914550781,270.5299987792969,269.66009521484375,270.18499755859375,4777998,250.63999938964844,251.25,250.11000061035156,250.47000122070312,4782660,684.4099731445312,691.5,684.4099731445312,688.72998046875,2473917
2026-04-20 13:30:00+00:00,97.1449966430664,97.5999984741211,95.5,95.52200317382812,13544324,338.94000244140625,339.1600036621094,335.4599914550781,337.6600036621094,3422391,270.3299865722656,274.2749938964844,270.3299865722656,273.3800048828125,9800654,249.3800048828125,250.13999938964844,246.75,247.1699981689453,9547325,681.4500122070312,683.3300170898438,672.0499877929688,676.0823974609375,3334997
