Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15 09:30:00-04:00,79.31999969482422,79.48079681396484,77.45999908447266,77.63999938964844,6362035,252.375,253.27000427246094,249.125,249.60000610351562,7132448,330.260009765625,331.5899963378906,328.3500061035156,329.5400085449219,6573388,659.2999877929688,678.8699951171875,656.2000122070312,668.2150268554688,5583647,343.1549987792969,344.3599853515625,340.2200012207031,341.010009765625,2524408
2026-09-15 10:30:00-04:00,77.63999938964844,78.26000213623047,77.61000061035156,77.84500122070312,2993219,249.5850067138672,249.66000366210938,248.43499755859375,248.81500244140625,4536005,329.45001220703125,330.3299865722656,328.8800048828125,329.9100036621094,4605821,668.0001220703125,673.5,663.3800048828125,666.7000122070312,2584702,340.9949951171875,341.69000244140625,340.0199890136719,340.0899963378906,1156604
2026-09-15 11:30:00-04:00,77.8499984741211,78.02999877929688,77.7750015258789,78.0250015258789,2332425,248.81500244140625,249.74000549316406,248.6999969482422,249.32000732421875,3750549,329.9200134277344,330.8699951171875,329.2850036621094,330.4190979003906,2187132,666.7100219726562,669.5999755859375,664.77001953125,665.1699829101562,1610370,340.1400146484375,341.19000244140625,339.44000244140625,340.760009765625,897554
2026-09-15 12:30:00-04:00,78.0250015258789,78.375,77.95999908447266,78.25,3730532,249.32000732421875,249.47999572753906,248.3000030517578,248.42990112304688,2400508,330.40020751953125,330.62921142578125,329.4200134277344,330.0299987792969,2038493,665.0830078125,667.1099853515625,664.3300170898438,665.1199951171875,1005656,340.7650146484375,341.20001220703125,339.17999267578125,339.32000732421875,672455
2026-09-15 13:30:00-04:00,78.25,78.4749984741211,78.25,78.38500213623047,1925159,248.44000244140625,249.0,248.32000732421875,248.67999267578125,2433643,330.0400085449219,330.8299865722656,330.0400085449219,330.4100036621094,1734807,665.2000122070312,671.2999877929688,664.8800048828125,670.6400146484375,1437635,339.32000732421875,340.8999938964844,339.2449951171875,340.5199890136719,763117
2026-09-15 14:30:00-04:00,78.38500213623047,78.41000366210938,78.11489868164062,78.17500305175781,2000650,248.7050018310547,248.80999755859375,247.63999938964844,247.78500366210938,3225179,330.3999938964844,330.5899963378906,329.8299865722656,330.239990234375,2057605,670.52001953125,672.47998046875,668.0900268554688,671.47998046875,1589097,340.5199890136719,340.9999084472656,340.20001220703125,340.57000732421875,712625
2026-09-15 15:30:00-04:00,78.17140197753906,78.17500305175781,77.7738037109375,77.94000244140625,3827948,247.77000427246094,248.69000244140625,247.22000122070312,248.44000244140625,5865189,330.239990234375,331.760009765625,329.8500061035156,331.3349914550781,4432026,671.4099731445312,672.1300048828125,668.6699829101562,670.489990234375,1604957,340.57000732421875,341.5,340.2401123046875,341.44000244140625,1638594
2026-09-16 09:30:00-04:00,77.80000305175781,77.80000305175781,77.16999816894531,77.36000061035156,3734475,248.1999969482422,249.25999450683594,246.69000244140625,247.25,6496774,332.4200134277344,335.4800109863281,331.8699951171875,333.2655944824219,7998078,679.75,685.3099975585938,674.2901000976562,679.8200073242188,4388615,343.510009765625,344.70001220703125,340.1199951171875,341.55999755859375,2283521
