Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30 09:30:00-04:00,560.9400024414062,561.510009765625,554.14501953125,556.35498046875,2659321,351.3550109863281,352.3500061035156,348.1099853515625,350.864990234375,2814624,73.58999633789062,73.74500274658203,72.54000091552734,72.66000366210938,6567167,237.42999267578125,240.4600067138672,237.19000244140625,239.55499267578125,12033175,281.1700134277344,286.2898864746094,280.69500732421875,286.0249938964844,9106597
2026-06-30 10:30:00-04:00,556.4400024414062,557.5,551.4299926757812,556.0050048828125,1730659,350.8218994140625,354.0899963378906,350.7099914550781,353.82501220703125,1911179,72.6500015258789,72.76000213623047,72.12000274658203,72.7249984741211,5697994,239.5500030517578,240.72500610351562,237.55999755859375,238.65499877929688,5946206,286.010009765625,288.6600036621094,285.260009765625,288.2699890136719,5769602
2026-06-30 11:30:00-04:00,556.1099243164062,557.510009765625,555.1400146484375,556.0,1227874,353.82000732421875,355.1700134277344,352.94000244140625,354.4999084472656,1594337,72.7249984741211,73.08999633789062,72.58000183105469,72.91000366210938,3169563,238.66000366210938,240.33999633789062,238.47140502929688,240.02000427246094,5564318,288.2799987792969,289.3800048828125,287.80999755859375,288.1449890136719,4424512
2026-06-30 12:30:00-04:00,556.0,560.3200073242188,555.9000244140625,559.0,1143108,354.4700012207031,355.3900146484375,352.7601013183594,352.7601013183594,1172649,72.9000015258789,73.05999755859375,72.50499725341797,72.53500366210938,2780699,240.0800018310547,241.5399932861328,238.8800048828125,239.07000732421875,5870745,288.1600036621094,289.6600036621094,288.125,288.42999267578125,3373069
2026-06-30 13:30:00-04:00,559.0999755859375,561.75,558.77001953125,560.6699829101562,1000693,352.7872009277344,353.9049987792969,352.4200134277344,353.7300109863281,1888406,72.53500366210938,72.58000183105469,72.25,72.30500030517578,3144981,239.07000732421875,239.27999877929688,238.1999969482422,238.47999572753906,6284862,288.44500732421875,289.19000244140625,287.8550109863281,288.0899963378906,3500049
2026-06-30 14:30:00-04:00,560.6799926757812,561.7498779296875,558.9600219726562,561.4893798828125,1518696,353.7300109863281,354.1000061035156,352.55999755859375,353.989990234375,1714653,72.31999969482422,72.41999816894531,72.08000183105469,72.25499725341797,3900733,238.49000549316406,239.24000549316406,237.41000366210938,239.1999969482422,6240680,288.0849914550781,288.17999267578125,286.67999267578125,287.5299987792969,4344541
2026-06-30 15:30:00-04:00,561.4299926757812,565.5225219726562,560.47998046875,563.0999755859375,2554526,354.0050048828125,354.7300109863281,353.20001220703125,353.32000732421875,3932413,72.25499725341797,72.2699966430664,71.36499786376953,71.37999725341797,12548678,239.1999969482422,239.52999877929688,237.5449981689453,238.25,9544259,287.5299987792969,289.9100036621094,287.4200134277344,289.0899963378906,8374915
2026-07-01 09:30:00-04:00,607.9099731445312,616.9600219726562,595.0999755859375,612.4550170898438,16187767,354.614990234375,358.7799987792969,353.2300109863281,356.739990234375,3664450,72.55999755859375,73.58999633789062,72.33000183105469,73.12000274658203,10311878,239.97999572753906,240.75999450683594,234.89999389648438,240.3101043701172,10895829,293.3299865722656,293.4798889160156,289.19500732421875,293.05999755859375,8755422
