Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26 13:30:00+00:00,210.57000732421875,212.52000427246094,207.8000030517578,212.0,9405025,286.04901123046875,286.2950134277344,282.92999267578125,284.875,5681304,251.9949951171875,256.239990234375,250.77499389648438,255.91000366210938,7345489,582.530029296875,583.0,568.6500244140625,568.7899780273438,6595218,91.53399658203125,93.68499755859375,91.01000213623047,93.16999816894531,7711617
2026-03-26 14:30:00+00:00,211.97999572753906,212.88499450683594,211.42999267578125,211.92999267578125,6510020,284.9049987792969,286.5150146484375,284.1000061035156,284.5299987792969,3159349,255.89999389648438,257.0,255.50999450683594,255.67999267578125,5446373,568.7899780273438,570.530029296875,560.5399780273438,560.905029296875,5608302,93.16000366210938,93.44000244140625,92.59500122070312,92.66000366210938,4435860
2026-03-26 15:30:00+00:00,211.9429931640625,212.44000244140625,210.27999877929688,210.42999267578125,4772819,284.5,284.6400146484375,283.20001220703125,283.3599853515625,2261968,255.69000244140625,256.7699890136719,255.57000732421875,256.1000061035156,3382555,560.8724975585938,560.909912109375,553.5399780273438,554.5250244140625,4725766,92.66000366210938,92.98999786376953,92.33999633789062,92.37000274658203,3195659
2026-03-26 16:30:00+00:00,210.42999267578125,210.52999877929688,209.10000610351562,209.25,3929183,283.3399963378906,283.7489929199219,281.9100036621094,282.1650085449219,2863978,256.1000061035156,256.4599914550781,254.59010314941406,254.99000549316406,3520903,554.52001953125,555.8800048828125,550.3099975585938,551.2255249023438,3785873,92.37000274658203,93.44000244140625,92.12999725341797,93.32499694824219,4498767
2026-03-26 17:30:00+00:00,209.25,209.3300018310547,207.91000366210938,208.19000244140625,4240482,282.1549987792969,282.5400085449219,279.04998779296875,280.45001220703125,3973707,254.97999572753906,255.11500549316406,253.38999938964844,253.8249969482422,4260523,551.1749877929688,553.0800170898438,543.3499755859375,544.1300048828125,4573485,93.31999969482422,95.86000061035156,92.80000305175781,93.61000061035156,13503144
2026-03-26 18:30:00+00:00,208.19000244140625,208.38999938964844,207.6999969482422,208.27139282226562,4263834,280.5,281.4750061035156,280.010009765625,281.0899963378906,2665996,253.85000610351562,254.51499938964844,253.13999938964844,253.6699981689453,3242928,544.1400146484375,550.0,543.7301025390625,549.7949829101562,3698560,93.62000274658203,94.3550033569336,93.30999755859375,93.83499908447266,10688489
2026-03-26 19:30:00+00:00,208.28990173339844,208.36000061035156,207.1199951171875,207.52999877929688,4769128,281.135009765625,281.410888671875,279.8500061035156,280.7300109863281,3306375,253.67999267578125,253.72500610351562,252.02000427246094,252.8800048828125,4420545,549.7949829101562,549.969970703125,546.1599731445312,547.1500244140625,3198585,93.8322982788086,93.875,93.25,93.3499984741211,7890336
2026-03-27 13:30:00+00:00,206.3249969482422,206.4199981689453,201.06500244140625,201.2301025390625,11035390,277.3999938964844,278.8599853515625,274.8999938964844,277.69500732421875,5764649,253.91000366210938,255.4929962158203,252.7801055908203,254.47999572753906,9684416,539.5599975585938,543.5999145507812,529.8300170898438,531.0,7049851,94.53399658203125,95.57990264892578,92.98999786376953,93.73500061035156,13648028
