Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-12 13:30:00+00:00,648.8200073242188,653.5,643.3300170898438,644.7899780273438,1601773,306.1549987792969,308.6400146484375,302.45001220703125,302.45001220703125,2779249,210.3300018310547,211.7100067138672,208.82000732421875,210.27000427246094,8748763,94.9260025024414,95.4000015258789,94.56999969482422,94.63500213623047,6424906,258.6400146484375,258.95001220703125,254.6699981689453,254.6699981689453,7250332
2026-03-12 14:30:00+00:00,644.75,646.6300048828125,639.4000244140625,640.4650268554688,1063627,302.4200134277344,303.25,300.8399963378906,302.04998779296875,1843007,210.25,211.1699981689453,208.14999389648438,208.64999389648438,5306810,94.62999725341797,94.98500061035156,94.41999816894531,94.78600311279297,4056839,254.66000366210938,255.7899932861328,254.35000610351562,255.35499572753906,3974410
2026-03-12 15:30:00+00:00,640.469970703125,643.39990234375,638.4550170898438,639.5499877929688,1027244,302.0299987792969,303.7200012207031,301.760009765625,302.760009765625,1809152,208.6199951171875,210.55999755859375,208.36000061035156,209.69000244140625,4434111,94.78500366210938,94.83499908447266,93.87000274658203,94.05000305175781,3683899,255.3300018310547,256.25,254.17999267578125,255.65780639648438,3679550
2026-03-12 16:30:00+00:00,639.4500122070312,641.97998046875,638.780029296875,639.5499877929688,816303,302.739990234375,304.0,302.57000732421875,303.5799865722656,1168790,209.69349670410156,210.87989807128906,209.35000610351562,210.0500030517578,3898944,94.04989624023438,94.7699966430664,93.98999786376953,94.63999938964844,3945639,255.6300048828125,255.9499969482422,254.77000427246094,255.0500030517578,3104437
2026-03-12 17:30:00+00:00,639.5250244140625,641.5700073242188,636.9000244140625,639.3599853515625,870759,303.5799865722656,304.4703063964844,302.79998779296875,304.3320007324219,1341099,210.05999755859375,210.61000061035156,209.37989807128906,209.70899963378906,2901225,94.63500213623047,95.04000091552734,94.49500274658203,94.86009979248047,2795702,255.04010009765625,255.67999267578125,254.80999755859375,255.39500427246094,2746542
2026-03-12 18:30:00+00:00,639.239990234375,639.6199951171875,637.7899780273438,639.0599975585938,914869,304.30999755859375,304.7900085449219,303.67999267578125,304.57000732421875,1163167,209.69000244140625,209.88999938964844,208.80499267578125,209.7899932861328,3378580,94.86000061035156,95.08999633789062,94.6449966430664,94.74009704589844,2881318,255.3699951171875,256.25,254.88999938964844,256.0899963378906,3162742
2026-03-12 19:30:00+00:00,639.1400146484375,639.7399291992188,637.52001953125,638.1599731445312,1622261,304.6199951171875,304.7449951171875,303.1000061035156,303.17999267578125,1447393,209.79989624023438,210.25509643554688,209.31500244140625,209.52000427246094,4801456,94.73999786376953,94.83999633789062,94.11000061035156,94.31999969482422,4272358,256.09991455078125,256.2051086425781,254.97000122070312,255.75,4532523
2026-03-13 13:30:00+00:00,623.27001953125,627.3300170898438,617.6699829101562,626.7999877929688,5391702,307.0,307.239990234375,303.9599914550781,306.2900085449219,2964299,209.39999389648438,210.55999755859375,207.60000610351562,209.97999572753906,7781287,94.55000305175781,95.67970275878906,94.4000015258789,95.24089813232422,6278779,255.39999389648438,256.3299865722656,254.6407012939453,255.4250030517578,5452768
