Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 14:30:00+00:00,674.0,679.2675170898438,660.9500122070312,662.1099853515625,2225357,318.9549865722656,321.0400085449219,311.75,311.8900146484375,4357393,81.94000244140625,82.4800033569336,80.02999877929688,80.03900146484375,6748078,274.69500732421875,277.44000244140625,274.45001220703125,277.05010986328125,9496956,208.07000732421875,208.57000732421875,204.1750030517578,204.96189880371094,12699466
2026-02-11 15:30:00+00:00,662.1099853515625,675.5900268554688,661.6199951171875,668.97998046875,1643587,311.7900085449219,313.8800048828125,310.9425048828125,311.17999267578125,2571574,80.03790283203125,80.4000015258789,79.94999694824219,80.15499877929688,3407984,277.1000061035156,279.9800109863281,277.0400085449219,278.19000244140625,4696556,204.97999572753906,206.49000549316406,204.22999572753906,204.3800048828125,5959170
2026-02-11 16:30:00+00:00,668.9199829101562,669.239990234375,662.3499755859375,665.0900268554688,703747,311.1499938964844,312.8800048828125,310.92999267578125,312.8299865722656,1638748,80.1500015258789,80.2300033569336,79.44999694824219,79.625,3579860,278.19000244140625,280.17999267578125,278.1600036621094,279.94500732421875,2685096,204.38999938964844,204.56100463867188,202.49000549316406,203.4492950439453,6586227
2026-02-11 17:30:00+00:00,665.0900268554688,668.239990234375,657.1500244140625,667.2449951171875,1465345,312.80999755859375,313.07000732421875,310.7200012207031,312.2699890136719,1794899,79.62979888916016,80.04499816894531,79.5199966430664,80.01499938964844,2968078,279.910400390625,280.1499938964844,278.5,278.9599914550781,1893097,203.4499969482422,204.35000610351562,203.1199951171875,204.27890014648438,3681263
2026-02-11 18:30:00+00:00,667.2449951171875,669.0598754882812,665.4901123046875,667.6400146484375,818026,312.239990234375,312.87799072265625,311.04998779296875,312.7200012207031,1620812,80.01499938964844,80.20999908447266,79.83999633789062,79.89510345458984,2533016,278.93499755859375,279.6700134277344,278.5,279.5799865722656,1790251,204.27999877929688,205.17999267578125,204.1699981689453,205.11500549316406,3612248
2026-02-11 19:30:00+00:00,667.6400146484375,670.97998046875,667.0700073242188,668.6300048828125,703045,312.69000244140625,312.95001220703125,310.5199890136719,310.70001220703125,1769953,79.89800262451172,80.14990234375,79.70999908447266,79.86499786376953,2753824,279.5799865722656,279.5899963378906,274.81060791015625,276.04998779296875,6599667,205.1300048828125,205.27999877929688,203.72000122070312,203.88499450683594,3478856
2026-02-11 20:30:00+00:00,668.6099853515625,672.5,668.1400146484375,668.7122802734375,981704,310.70001220703125,311.6099853515625,310.1300048828125,311.20001220703125,1891074,79.86499786376953,80.00499725341797,79.5999984741211,79.5999984741211,3479671,276.010009765625,276.54998779296875,275.4599914550781,275.5400085449219,2931248,203.88999938964844,204.6300048828125,203.8350067138672,204.00999450683594,23511317
2026-02-12 14:30:00+00:00,669.0999755859375,676.0,660.1099853515625,662.9000244140625,1867305,312.3949890136719,313.6099853515625,310.3900146484375,313.4100036621094,3529317,79.08000183105469,79.11000061035156,76.58000183105469,76.62699890136719,12944732,275.6000061035156,275.7200012207031,270.05999755859375,271.25,7475539,203.6199951171875,203.8800048828125,201.14999389648438,202.31500244140625,12065018
