Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-10 14:30:00+00:00,316.6199951171875,319.5199890136719,315.3999938964844,318.739990234375,2497344,228.58999633789062,232.4199981689453,228.47000122070312,231.73500061035156,7146039,650.4000244140625,654.510009765625,647.3099975585938,651.3175048828125,1971573,277.8699951171875,278.7929992675781,276.5849914550781,277.45001220703125,3868165,96.73500061035156,96.95999908447266,95.08000183105469,95.5250015258789,8028921
2025-12-10 15:30:00+00:00,318.70001220703125,318.8595886230469,317.3599853515625,318.6000061035156,887438,231.73500061035156,232.02000427246094,230.0,231.66000366210938,2842036,651.0399780273438,652.9500122070312,648.0800170898438,652.8491821289062,1226649,277.4549865722656,278.2799987792969,276.44000244140625,278.2576904296875,1880040,95.5199966430664,95.56780242919922,94.62999725341797,94.94999694824219,6148312
2025-12-10 16:30:00+00:00,318.57000732421875,318.82501220703125,317.07000732421875,317.0751037597656,900377,231.63999938964844,232.11000061035156,230.64920043945312,230.72000122070312,1702459,652.8300170898438,653.3115234375,649.8800048828125,650.25,638304,278.2300109863281,278.8900146484375,277.9750061035156,278.5264892578125,1611918,94.95500183105469,95.05999755859375,94.56999969482422,94.79000091552734,3158059
2025-12-10 17:30:00+00:00,317.0400085449219,318.0295104980469,316.6888122558594,316.70001220703125,711869,230.6999969482422,231.60000610351562,230.19000244140625,230.3350067138672,1515784,650.2000122070312,651.0,644.030029296875,644.8438110351562,1159629,278.5199890136719,279.2799987792969,278.0849914550781,278.1199951171875,1374275,94.78500366210938,94.81999969482422,94.16000366210938,94.22000122070312,4973469
2025-12-10 18:30:00+00:00,316.6499938964844,319.6000061035156,316.45001220703125,318.6099853515625,1057225,230.32000732421875,231.41000366210938,229.83999633789062,230.26499938964844,2879222,644.719970703125,649.1699829101562,644.0999755859375,645.489990234375,1289902,278.1199951171875,279.2200012207031,277.9100036621094,278.2200012207031,1631790,94.22000122070312,94.27999877929688,93.3499984741211,93.4749984741211,7085060
2025-12-10 19:30:00+00:00,318.67999267578125,320.8500061035156,318.17999267578125,320.510009765625,1555562,230.27999877929688,232.22999572753906,229.8000030517578,231.9199981689453,3311589,645.489990234375,650.1300048828125,643.3975830078125,647.9199829101562,1545291,278.2200012207031,279.75,277.70001220703125,278.9800109863281,2578278,93.47599792480469,93.73999786376953,92.9800033569336,93.40989685058594,7418112
2025-12-10 20:30:00+00:00,320.55999755859375,321.8699951171875,320.489990234375,320.8500061035156,1865336,231.9149932861328,232.38699340820312,231.55499267578125,231.69000244140625,10520445,648.0399780273438,650.8800048828125,647.905029296875,649.9299926757812,1033356,278.989990234375,279.3699951171875,278.5899963378906,278.7200012207031,2242651,93.40499877929688,93.43000030517578,92.3499984741211,92.69999694824219,9019771
2025-12-11 14:30:00+00:00,320.94000244140625,321.989990234375,314.5199890136719,317.05999755859375,3634473,230.7100067138672,232.11000061035156,229.4199981689453,230.8800048828125,4677750,642.72998046875,655.280029296875,640.7949829101562,652.6099853515625,2302563,279.0950012207031,279.5799865722656,273.80999755859375,276.1199951171875,6887208,93.8550033569336,94.51000213623047,92.76000213623047,94.3949966430664,9038298
