Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-17 14:30:00+00:00,639.5900268554688,642.2100219726562,630.010009765625,631.010009765625,2276110,76.70999908447266,77.87000274658203,75.30000305175781,75.84500122070312,8804015,258.04998779296875,261.3900146484375,255.55299377441406,259.6400146484375,8096132,300.6499938964844,304.82000732421875,297.6700134277344,298.2799987792969,5108063,198.125,200.3800048828125,196.0,198.9550018310547,14830016
2026-02-17 15:30:00+00:00,630.8599853515625,639.2999267578125,628.7999877929688,636.8400268554688,1023222,75.84500122070312,76.97000122070312,75.61000061035156,76.73999786376953,3447916,259.6300048828125,260.9800109863281,258.739990234375,260.2650146484375,3490944,298.20001220703125,303.44000244140625,296.8999938964844,301.57000732421875,2621398,198.94000244140625,201.7362060546875,198.04339599609375,201.0800018310547,6876168
2026-02-17 16:30:00+00:00,636.9000244140625,638.77001953125,634.9600219726562,638.1838989257812,563503,76.7302017211914,76.9800033569336,76.16000366210938,76.57499694824219,2155430,260.2550048828125,262.2300109863281,259.92999267578125,261.84991455078125,3136235,301.5,302.6099853515625,300.989990234375,302.0899963378906,1223424,201.05999755859375,201.6699981689453,199.63999938964844,200.47000122070312,4553283
2026-02-17 17:30:00+00:00,638.4000244140625,641.280029296875,632.0,639.860107421875,748845,76.58070373535156,76.80000305175781,76.12000274658203,76.7300033569336,1707283,261.8500061035156,263.67999267578125,260.9100036621094,263.3999938964844,3395782,302.0950012207031,302.8689880371094,300.20001220703125,302.60980224609375,968024,200.49000549316406,200.5399932861328,198.93499755859375,200.3249969482422,4176586
2026-02-17 18:30:00+00:00,639.97998046875,642.489990234375,638.9400024414062,639.7000122070312,608293,76.73500061035156,77.16999816894531,76.68000030517578,77.05000305175781,1816254,263.4599914550781,266.2900085449219,263.32000732421875,265.2850036621094,4164675,302.6099853515625,303.5799865722656,302.2279968261719,303.010009765625,964994,200.29100036621094,201.5500030517578,200.11000061035156,200.90499877929688,3939140
2026-02-17 19:30:00+00:00,639.8599853515625,642.5900268554688,639.6699829101562,641.2150268554688,621592,77.05570220947266,77.16999816894531,76.83999633789062,76.98719787597656,1935861,265.260009765625,266.14990234375,264.0201110839844,264.2900085449219,2825612,303.0199890136719,304.0,302.04998779296875,302.1600036621094,1155150,200.90420532226562,201.4600067138672,200.47999572753906,200.58999633789062,3232740
2026-02-17 20:30:00+00:00,641.1199951171875,641.1599731445312,637.719970703125,639.27001953125,827701,76.98500061035156,77.05000305175781,76.81999969482422,77.03500366210938,11612047,264.2950134277344,264.5299987792969,262.5,263.75,4178204,302.1099853515625,303.1099853515625,301.82000732421875,302.80999755859375,7585321,200.55999755859375,201.27999877929688,200.30999755859375,201.2100067138672,3372373
2026-02-18 14:30:00+00:00,633.5999755859375,640.2999877929688,628.14501953125,639.1199951171875,3237043,77.26000213623047,77.83999633789062,76.29000091552734,77.61499786376953,4676760,263.5,265.6499938964844,262.45001220703125,265.398193359375,7797779,302.4320068359375,305.5299987792969,302.010009765625,303.2699890136719,2456914,202.11000061035156,206.14999389648438,201.50999450683594,205.86000061035156,11186969
