Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-29 09:30:00-04:00,72.19000244140625,72.66999816894531,71.75,72.05999755859375,8890134,333.7900085449219,335.6700134277344,330.40789794921875,331.2850036621094,3046985,229.31500244140625,230.24000549316406,227.3699951171875,227.625,5867338,339.69000244140625,343.6700134277344,339.55999755859375,341.1600036621094,10935247,593.4199829101562,594.5499877929688,586.3900146484375,588.3699951171875,2449866
2026-07-29 10:30:00-04:00,72.08000183105469,72.43499755859375,71.81500244140625,72.2699966430664,5198200,331.2449951171875,334.4200134277344,331.1000061035156,332.81500244140625,1575582,227.60000610351562,228.3800048828125,227.19500732421875,228.01499938964844,3528621,341.1700134277344,341.739990234375,339.5199890136719,339.80999755859375,4890702,588.489990234375,592.969970703125,587.97998046875,591.4500122070312,1446148
2026-07-29 11:30:00-04:00,72.27999877929688,73.36499786376953,72.05000305175781,73.28980255126953,4478959,332.7900085449219,334.8999938964844,331.3949890136719,334.67999267578125,1442553,228.0,229.17990112304688,227.32000732421875,229.1699981689453,3665075,339.8299865722656,341.55999755859375,339.760009765625,341.2699890136719,3546410,591.4400024414062,592.5999755859375,585.25,590.8200073242188,1500775
2026-07-29 12:30:00-04:00,73.27999877929688,73.3499984741211,72.47000122070312,73.0,4069895,334.6499938964844,337.2900085449219,333.77099609375,336.3299865722656,1623987,229.13999938964844,230.8800048828125,228.9199981689453,230.13999938964844,4196409,341.25,343.44891357421875,340.04998779296875,342.7200012207031,3813347,590.8300170898438,595.4495239257812,589.8200073242188,592.9400024414062,1388402
2026-07-29 13:30:00-04:00,73.00499725341797,73.62999725341797,72.80010223388672,73.57499694824219,3345588,336.29998779296875,339.5,335.0762023925781,339.2959899902344,2029448,230.1300048828125,232.0749969482422,229.36000061035156,231.44500732421875,3600633,342.69500732421875,344.56988525390625,342.3500061035156,343.58770751953125,5124505,592.9299926757812,598.22998046875,592.0399780273438,593.655029296875,1383905
2026-07-29 14:30:00-04:00,73.56999969482422,73.7300033569336,73.20999908447266,73.36499786376953,4429067,339.3399963378906,341.9800109863281,336.17999267578125,336.6700134277344,2776147,231.4300994873047,232.82000732421875,229.49000549316406,229.60000610351562,4537175,343.5899963378906,343.94000244140625,341.3299865722656,341.5299987792969,4812676,593.5499877929688,599.969970703125,588.0700073242188,589.12939453125,1830107
2026-07-29 15:30:00-04:00,73.36499786376953,73.68000030517578,73.26000213623047,73.62999725341797,7864359,336.7200012207031,336.8800048828125,334.80999755859375,335.8999938964844,3842020,229.64999389648438,229.65499877929688,226.16000366210938,226.7100067138672,8087435,341.55999755859375,341.55999755859375,337.35009765625,338.07000732421875,8640481,589.1400146484375,590.2000122070312,582.219970703125,587.0,3503873
2026-07-30 09:30:00-04:00,71.48999786376953,71.77999877929688,70.55000305175781,70.69000244140625,12040462,333.0799865722656,335.45001220703125,329.82000732421875,331.07000732421875,5339550,233.25,238.3800048828125,231.05999755859375,237.30999755859375,24136492,333.1300048828125,334.4800109863281,330.3500061035156,331.30999755859375,13578994,525.739990234375,537.5,524.5189819335938,531.3615112304688,15573619
