Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31 09:30:00-04:00,71.96499633789062,72.75,71.18000030517578,71.3550033569336,6864663,304.80999755859375,306.8999938964844,300.3299865722656,302.739990234375,42271625,543.5599975585938,557.9600219726562,542.760009765625,547.22998046875,7362804,264.9849853515625,270.94000244140625,262.1499938964844,269.6300048828125,49279882,340.07501220703125,347.6300048828125,339.1700134277344,347.125,6132469
2026-07-31 10:30:00-04:00,71.3550033569336,71.81999969482422,71.1050033569336,71.6449966430664,4452453,302.7550048828125,304.25,301.6400146484375,301.7300109863281,10897816,547.3795166015625,553.0700073242188,540.760009765625,540.8800048828125,3279199,269.6000061035156,272.0400085449219,267.364990234375,267.3999938964844,17016236,347.1099853515625,353.17999267578125,346.4100036621094,348.4599914550781,4203278
2026-07-31 11:30:00-04:00,71.6500015258789,71.7750015258789,71.45500183105469,71.64600372314453,2848306,301.7300109863281,302.82000732421875,300.3999938964844,300.5400085449219,9857216,540.780029296875,549.5700073242188,540.239990234375,549.22998046875,1790502,267.4049987792969,271.5299987792969,266.32000732421875,270.7900085449219,13082516,348.44000244140625,354.3399963378906,347.9700012207031,354.2099914550781,2272784
2026-07-31 12:30:00-04:00,71.63999938964844,71.63999938964844,71.3499984741211,71.54499816894531,2531068,300.55999755859375,301.83428955078125,300.0,301.20001220703125,7813750,549.2999877929688,552.0999755859375,546.4008178710938,549.3250122070312,1858243,270.79998779296875,271.54998779296875,269.67999267578125,271.30999755859375,7609537,354.2300109863281,354.6099853515625,352.62799072265625,354.3800048828125,2471662
2026-07-31 13:30:00-04:00,71.54019927978516,71.83000183105469,71.41999816894531,71.66000366210938,2840274,301.20001220703125,302.4200134277344,300.5,301.7300109863281,9575659,549.3350219726562,551.6400146484375,547.5,550.0775146484375,1772205,271.3299865722656,271.75,270.20001220703125,270.7799987792969,6333731,354.3599853515625,356.2699890136719,353.32000732421875,356.04998779296875,3944194
2026-07-31 14:30:00-04:00,71.6500015258789,71.77999877929688,71.19999694824219,71.6050033569336,3297446,301.760009765625,305.7099914550781,301.7449951171875,305.6549987792969,11851963,550.135009765625,553.739990234375,549.1799926757812,552.5599975585938,2577461,270.7784118652344,272.3599853515625,270.510009765625,271.8219909667969,9944689,356.0249938964844,356.3399963378906,354.739990234375,355.8349914550781,2518737
2026-07-31 15:30:00-04:00,71.6050033569336,71.80979919433594,71.50499725341797,71.69999694824219,4897260,305.6600036621094,310.6600036621094,305.0199890136719,309.0299987792969,20642958,552.5399780273438,558.3300170898438,551.0100708007812,556.5,3064620,271.8299865722656,273.2300109863281,271.0400085449219,271.6099853515625,12190809,355.8399963378906,358.8800048828125,355.5400085449219,356.7099914550781,4354772
2026-08-03 09:30:00-04:00,72.83999633789062,73.94999694824219,72.62999725341797,72.66500091552734,6971313,309.79998779296875,310.0299987792969,304.3399963378906,305.55010986328125,15181869,564.0499877929688,594.5999755859375,559.3599853515625,586.7949829101562,8750734,279.125,287.1600036621094,278.85009765625,285.8399963378906,34485894,364.7200012207031,374.3399963378906,363.2799987792969,367.4200134277344,7844196
