Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16 09:30:00-04:00,73.97000122070312,74.44999694824219,72.94010162353516,73.05000305175781,8426907,678.6099853515625,680.5900268554688,665.0,676.8099975585938,3311146,372.1600036621094,374.3500061035156,368.3699951171875,372.239990234375,3619164,255.38499450683594,258.0824890136719,252.6199951171875,255.35000610351562,8097064,328.0050048828125,331.4100036621094,326.7900085449219,330.3699951171875,12802968
2026-07-16 10:30:00-04:00,73.04499816894531,73.81999969482422,73.0250015258789,73.77999877929688,4297107,676.719970703125,681.9000244140625,674.6199951171875,675.10498046875,2015095,372.32000732421875,374.1000061035156,370.8118896484375,371.05999755859375,2450767,255.35000610351562,257.1199951171875,254.50999450683594,255.72000122070312,5249043,330.3399963378906,331.1499938964844,329.3500061035156,330.6300048828125,5287556
2026-07-16 11:30:00-04:00,73.77999877929688,73.87999725341797,73.51000213623047,73.79000091552734,3667866,675.1387939453125,681.3099975585938,668.3800048828125,670.02001953125,958562,371.1099853515625,372.3900146484375,369.375,370.8550109863281,1525600,255.72000122070312,256.4100036621094,254.9600067138672,255.75999450683594,3660872,330.65008544921875,332.2799987792969,327.5,331.1400146484375,4606871
2026-07-16 12:30:00-04:00,73.80249786376953,74.25499725341797,73.79989624023438,74.06999969482422,5157407,670.2000122070312,671.9998779296875,668.0,669.9699096679688,1311895,370.8800048828125,371.67999267578125,370.25,371.19000244140625,1063982,255.77999877929688,256.6698913574219,255.29010009765625,256.4599914550781,3801825,331.1899108886719,332.9700012207031,329.8599853515625,332.8999938964844,5689496
2026-07-16 13:30:00-04:00,74.0698013305664,74.29000091552734,73.7699966430664,74.28500366210938,4510739,669.739990234375,674.3099975585938,666.719970703125,668.125,1331938,371.1400146484375,371.5799865722656,358.79998779296875,360.8999938964844,3878574,256.4800109863281,256.5950012207031,252.13999938964844,252.80999755859375,4399530,332.898193359375,333.54998779296875,329.3399963378906,331.260009765625,6798812
2026-07-16 14:30:00-04:00,74.29000091552734,74.43000030517578,73.63999938964844,73.7249984741211,9202812,668.3800048828125,669.3400268554688,662.0449829101562,662.75,1512240,360.8299865722656,361.57000732421875,351.70001220703125,353.6099853515625,3955408,252.78500366210938,253.49000549316406,251.41000366210938,251.5926971435547,4719874,331.239990234375,334.67999267578125,330.9100036621094,332.989990234375,7975310
2026-07-16 15:30:00-04:00,73.7300033569336,74.5999984741211,73.41999816894531,74.58499908447266,13717207,662.9400024414062,664.5999755859375,660.1599731445312,664.5399780273438,1920242,353.6099853515625,354.70001220703125,352.6099853515625,353.80999755859375,3220079,251.58999633789062,252.0800018310547,248.0,249.89999389648438,6391708,333.0,333.70001220703125,330.7699890136719,333.2699890136719,8204005
2026-07-17 09:30:00-04:00,65.81500244140625,68.26000213623047,65.38999938964844,67.8949966430664,54353011,644.75,649.219970703125,632.010009765625,634.5700073242188,4858859,345.760009765625,348.1700134277344,341.125,344.7900085449219,7213172,244.6999969482422,248.94000244140625,243.58999633789062,248.50999450683594,14945618,332.5400085449219,334.9800109863281,329.0006103515625,331.8399963378906,16544554
