Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30 13:30:00+00:00,536.375,537.2000122070312,528.5399780273438,532.6749877929688,5912330,201.35000610351562,202.35000610351562,200.19000244140625,201.3699951171875,9026229,275.8900146484375,276.260009765625,272.510009765625,273.3485107421875,5889879,249.9949951171875,250.83999633789062,246.97000122070312,247.8300018310547,6260227,92.75700378417969,94.48999786376953,92.22000122070312,93.26499938964844,7935865
2026-03-30 14:30:00+00:00,532.6099853515625,536.7158203125,530.4749755859375,534.2999877929688,3349550,201.3699951171875,203.52000427246094,201.10000610351562,203.0399932861328,5775546,273.2900085449219,274.2200012207031,272.4700012207031,273.44000244140625,2853056,247.82000732421875,248.0,246.0399932861328,246.52999877929688,4008529,93.26499938964844,94.20999908447266,93.04000091552734,94.12000274658203,4293920
2026-03-30 15:30:00+00:00,534.3800048828125,539.5499877929688,534.0700073242188,536.7000122070312,2306779,203.0500030517578,203.8000030517578,202.6199951171875,202.63600158691406,3633010,273.4100036621094,275.2099914550781,273.3500061035156,273.55999755859375,1781556,246.52999877929688,247.2100067138672,245.9600067138672,246.02000427246094,2817533,94.11499786376953,94.19999694824219,93.41500091552734,93.41999816894531,2524033
2026-03-30 16:30:00+00:00,536.7000122070312,538.4598999023438,535.3499755859375,535.969970703125,1723262,202.6199951171875,203.02999877929688,201.68060302734375,201.7100067138672,3042825,273.5,274.05999755859375,273.05999755859375,273.3800048828125,1358543,246.00999450683594,247.44000244140625,245.9600067138672,246.25,2713501,93.41999816894531,93.81500244140625,93.30000305175781,93.31099700927734,2018967
2026-03-30 17:30:00+00:00,535.989990234375,539.25,535.2000122070312,537.4000244140625,1924447,201.69000244140625,202.3300018310547,200.94000244140625,200.94000244140625,3474720,273.3800048828125,273.69989013671875,272.5201110839844,272.5350036621094,1359070,246.2550048828125,247.32000732421875,245.9949951171875,246.48019409179688,2877202,93.31999969482422,93.44999694824219,92.88500213623047,92.91500091552734,2324988
2026-03-30 18:30:00+00:00,537.4500122070312,538.2000122070312,534.2745971679688,534.9600219726562,2195923,200.9600067138672,201.27499389648438,199.99000549316406,200.11000061035156,6440614,272.55999755859375,272.79998779296875,271.6700134277344,271.82000732421875,1576129,246.50999450683594,246.8300018310547,245.8300018310547,245.88999938964844,2969148,92.91500091552734,93.16999816894531,92.37000274658203,92.51000213623047,2696814
2026-03-30 19:30:00+00:00,534.989990234375,537.2999877929688,533.22998046875,536.3800048828125,2446750,200.11000061035156,201.22999572753906,199.98019409179688,200.89999389648438,5104313,271.79998779296875,273.5,271.5350036621094,273.1000061035156,2333502,245.88999938964844,247.0399932861328,245.50999450683594,246.5399932861328,4551161,92.51000213623047,93.21499633789062,92.47010040283203,92.97000122070312,3423678
2026-03-31 13:30:00+00:00,549.760009765625,559.0599975585938,546.77001953125,555.7307739257812,6363216,204.875,207.33999633789062,204.13999938964844,206.2050018310547,10006957,277.8399963378906,281.6300048828125,276.80999755859375,281.3699951171875,4976954,247.88999938964844,249.27000427246094,247.63999938964844,248.94009399414062,5972142,93.25,95.21499633789062,93.16999816894531,94.77999877929688,7533279
