Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 13:30:00+00:00,210.43499755859375,211.38999938964844,208.19000244140625,210.75,9987544,289.9800109863281,294.614990234375,289.4700012207031,294.19000244140625,6760440,96.5199966430664,97.19999694824219,94.26399993896484,95.20500183105469,8741670,254.3000030517578,256.17999267578125,253.82000732421875,254.12010192871094,7295932,581.0700073242188,585.0,573.9155883789062,579.4299926757812,5968199
2026-04-01 14:30:00+00:00,210.75,212.30999755859375,210.30999755859375,212.03500366210938,4982369,294.17999267578125,295.135009765625,292.6199951171875,294.4750061035156,2812690,95.19999694824219,95.45500183105469,94.94999694824219,95.0250015258789,3468509,254.19000244140625,254.7449951171875,253.3300018310547,254.14999389648438,3965408,579.27001953125,583.8099975585938,576.2899780273438,583.2799072265625,2341523
2026-04-01 15:30:00+00:00,212.05499267578125,213.5800018310547,211.77000427246094,212.95199584960938,6135427,294.44000244140625,296.1000061035156,294.04998779296875,295.5799865722656,2125554,95.0250015258789,95.45999908447266,94.87999725341797,95.3949966430664,2898461,254.14999389648438,254.82000732421875,253.75999450683594,254.4300994873047,2571729,583.1259765625,588.1199951171875,581.9600219726562,587.219970703125,2647115
2026-04-01 16:30:00+00:00,212.97000122070312,213.32000732421875,212.3800048828125,212.4949951171875,3619887,295.55010986328125,297.9849853515625,295.4930114746094,297.3949890136719,2340737,95.3949966430664,95.82499694824219,95.37000274658203,95.73500061035156,1986895,254.44000244140625,255.39999389648438,254.22000122070312,255.14219665527344,4352734,587.2050170898438,592.5465087890625,586.7100219726562,590.5900268554688,2693471
2026-04-01 17:30:00+00:00,212.4954071044922,212.7799072265625,210.3249969482422,210.52999877929688,4248461,297.4049987792969,297.760009765625,294.4700012207031,294.6400146484375,2323429,95.73500061035156,95.90740203857422,95.36000061035156,95.41300201416016,2280003,255.125,255.27999877929688,254.10000610351562,254.30999755859375,2614499,590.5850219726562,590.8198852539062,579.219970703125,579.52001953125,2781376
2026-04-01 18:30:00+00:00,210.52000427246094,211.75,209.9199981689453,211.75,4057101,294.6499938964844,295.69000244140625,293.7925109863281,295.39111328125,1870598,95.41999816894531,95.81500244140625,95.4124984741211,95.75499725341797,2460537,254.32000732421875,255.66000366210938,253.97000122070312,255.65499877929688,3235556,579.5999755859375,580.9600219726562,576.3837280273438,580.7999877929688,2426175
2026-04-01 19:30:00+00:00,211.73989868164062,211.89999389648438,210.31500244140625,210.57000732421875,5595978,295.4200134277344,295.6000061035156,294.2900085449219,294.94000244140625,2333090,95.76000213623047,96.0,95.51000213623047,95.58000183105469,3492152,255.63999938964844,256.1300048828125,255.1501007080078,255.69000244140625,4782139,580.8049926757812,582.7698974609375,578.1099853515625,579.1900024414062,2221686
2026-04-02 13:30:00+00:00,206.5500030517578,209.5399932861328,204.89999389648438,208.94000244140625,8284908,288.989990234375,293.3500061035156,287.57000732421875,292.19000244140625,3748548,95.25,96.73999786376953,95.19999694824219,96.68000030517578,7177792,254.13999938964844,254.75999450683594,250.64999389648438,252.125,6325362,566.0150146484375,570.0,559.7274169921875,569.1500244140625,4173599
