Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-11 09:30:00-04:00,565.5700073242188,567.989990234375,558.1500244140625,560.8800048828125,3896373,81.6500015258789,82.05999755859375,80.37999725341797,80.90499877929688,5739149,293.7200012207031,293.95001220703125,289.75,290.5799865722656,7113950,237.92999267578125,238.77999877929688,235.51109313964844,237.27000427246094,8194956,353.0150146484375,354.5,344.0857849121094,345.5899963378906,5670856
2026-06-11 10:30:00-04:00,560.8499755859375,563.9299926757812,557.010009765625,560.6500244140625,1890738,80.91500091552734,81.0250015258789,80.08999633789062,80.54000091552734,4517522,290.6099853515625,291.82000732421875,289.6000061035156,291.19000244140625,4285370,237.27000427246094,237.64999389648438,235.17999267578125,236.75,4375967,345.57000732421875,346.8900146484375,343.864990234375,344.7950134277344,2497164
2026-06-11 11:30:00-04:00,560.6400146484375,564.9000244140625,559.5999755859375,563.5399780273438,1101707,80.54000091552734,80.93000030517578,80.36000061035156,80.79000091552734,2453594,291.17999267578125,293.94439697265625,291.0614929199219,292.9849853515625,3842780,236.75,237.9416046142578,236.5399932861328,236.77999877929688,3794552,344.69000244140625,347.3999938964844,344.0400085449219,345.5299987792969,1888815
2026-06-11 12:30:00-04:00,563.4600219726562,565.989990234375,557.7999877929688,565.7675170898438,1385891,80.77999877929688,81.4000015258789,80.7750015258789,81.38999938964844,2204988,292.9599914550781,296.0,292.9100036621094,295.9549865722656,3619906,236.77000427246094,238.39999389648438,235.6999969482422,238.33999633789062,3763005,345.5299987792969,348.3500061035156,343.6400146484375,348.260009765625,1967057
2026-06-11 13:30:00-04:00,565.7999877929688,569.1389770507812,564.6599731445312,567.0999755859375,1801329,81.38999938964844,81.56500244140625,81.04000091552734,81.12999725341797,5201426,295.989990234375,297.0,295.1300048828125,295.5400085449219,4161010,238.36000061035156,240.02999877929688,237.94000244140625,238.83999633789062,5164690,348.2650146484375,351.20001220703125,348.2650146484375,350.29998779296875,2481175
2026-06-11 14:30:00-04:00,567.1900024414062,569.97998046875,566.14501953125,569.7150268554688,1461004,81.13500213623047,81.57499694824219,81.06009674072266,81.55000305175781,2813878,295.54010009765625,296.07000732421875,295.0199890136719,295.3999938964844,3129975,238.8300018310547,240.8800048828125,238.8000030517578,240.80999755859375,3931854,350.3500061035156,354.6700134277344,349.9599914550781,354.55499267578125,2139482
2026-06-11 15:30:00-04:00,569.7999877929688,572.1699829101562,567.0,568.3900146484375,2059761,81.55999755859375,81.66999816894531,81.16999816894531,81.26000213623047,4854041,295.4100036621094,296.17999267578125,294.70001220703125,295.3599853515625,5661836,240.8300018310547,242.13999938964844,240.82000732421875,241.2899932861328,5758310,354.5799865722656,358.010009765625,353.6000061035156,356.32000732421875,6219664
2026-06-12 09:30:00-04:00,572.9500122070312,576.0700073242188,560.9000244140625,565.9550170898438,2901666,81.68000030517578,82.0,79.27999877929688,79.81999969482422,8778650,296.0799865722656,297.1400146484375,290.6099853515625,291.9949951171875,9097938,243.2100067138672,243.3300018310547,233.58999633789062,236.53250122070312,14937313,361.1000061035156,362.6449890136719,353.3399963378906,360.1050109863281,4020001
