Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 09:30:00-04:00,367.3699951171875,370.8900146484375,364.7900085449219,368.4549865722656,4165682,77.87999725341797,78.18000030517578,76.55999755859375,77.18499755859375,7992207,608.0,615.9899291992188,604.1500244140625,611.0872802734375,4612423,315.2900085449219,315.4800109863281,310.1499938964844,311.45001220703125,8945230,247.32000732421875,248.9149932861328,244.6699981689453,245.11500549316406,10689886
2026-07-07 10:30:00-04:00,368.3999938964844,368.5,364.4200134277344,366.42999267578125,2158778,77.18000030517578,77.86990356445312,76.87999725341797,77.0,4396240,610.969970703125,611.7100219726562,604.010009765625,606.7885131835938,1810258,311.45001220703125,314.1300048828125,310.989990234375,314.0799865722656,5204771,245.10000610351562,245.6699981689453,243.05999755859375,243.10000610351562,5131799
2026-07-07 11:30:00-04:00,366.4100036621094,366.760009765625,365.0299987792969,365.3399963378906,1286290,77.0,77.26000213623047,76.41999816894531,76.63999938964844,3261535,606.6300048828125,606.9450073242188,603.6599731445312,606.0900268554688,888929,314.1025085449219,314.7300109863281,312.67999267578125,313.1700134277344,5936440,243.10499572753906,244.76849365234375,242.6999969482422,244.52000427246094,4769313
2026-07-07 12:30:00-04:00,365.3500061035156,367.1199951171875,365.3399963378906,366.69000244140625,1249965,76.6500015258789,77.05999755859375,76.62999725341797,76.75499725341797,2762755,606.25,609.3900146484375,604.6900024414062,607.5650024414062,1022631,313.1400146484375,314.010009765625,312.2701110839844,312.8399963378906,2794519,244.52999877929688,246.28990173339844,244.5050048828125,245.42999267578125,3388676
2026-07-07 13:30:00-04:00,366.6424865722656,367.2799987792969,365.8399963378906,366.1099853515625,1102421,76.75499725341797,76.76499938964844,76.47000122070312,76.5,2092643,607.469970703125,625.3699951171875,607.2700805664062,622.4149780273438,3256836,312.82000732421875,313.0,311.8500061035156,312.61920166015625,2641358,245.44500732421875,246.75,245.25999450683594,246.07000732421875,2720562
2026-07-07 14:30:00-04:00,366.125,366.4800109863281,364.8299865722656,364.95001220703125,2272603,76.5,76.52999877929688,76.2699966430664,76.33000183105469,2941082,622.4149780273438,623.5,615.8099975585938,616.2999877929688,3303333,312.6199951171875,313.17999267578125,311.55999755859375,311.8949890136719,4260675,246.0800018310547,246.22999572753906,245.25,245.58999633789062,2982674
2026-07-07 15:30:00-04:00,364.95001220703125,365.05999755859375,362.42999267578125,363.6499938964844,1783013,76.32499694824219,76.44000244140625,76.0999984741211,76.16999816894531,5501891,616.4299926757812,618.4749755859375,614.1500244140625,615.5700073242188,1602070,311.8999938964844,312.32000732421875,310.3299865722656,310.6600036621094,11962573,245.64999389648438,246.27000427246094,245.2949981689453,245.9499969482422,3372248
2026-07-08 09:30:00-04:00,362.2099914550781,364.80999755859375,358.8999938964844,359.07000732421875,2596530,76.2699966430664,76.62000274658203,74.88999938964844,75.37999725341797,6411967,614.385009765625,615.8800048828125,600.6400146484375,604.3350219726562,2967132,311.6600036621094,312.0,307.051513671875,308.8500061035156,7602776,244.13999938964844,244.77000427246094,240.8800048828125,243.11000061035156,6592227
