Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12 09:30:00-04:00,601.7000122070312,604.4990234375,586.1160278320312,587.6099853515625,3140855,273.2049865722656,273.4599914550781,268.92010498046875,269.8399963378906,6826460,345.3924865722656,345.5,340.8299865722656,341.7499084472656,4013538,74.3499984741211,74.66999816894531,73.57019805908203,73.86199951171875,4731367,305.1300048828125,305.6600036621094,302.17999267578125,302.3450012207031,7719258
2026-08-12 10:30:00-04:00,587.6699829101562,587.9000244140625,583.530029296875,584.3200073242188,1718159,269.760009765625,270.08209228515625,268.3500061035156,268.8800048828125,3890621,341.6400146484375,342.8999938964844,340.45001220703125,341.1499938964844,2211376,73.86000061035156,73.94380187988281,73.5999984741211,73.77999877929688,2225389,302.3599853515625,303.19000244140625,301.0299987792969,301.0799865722656,4848995
2026-08-12 11:30:00-04:00,584.0809936523438,584.2899780273438,580.719970703125,582.22998046875,1893359,268.8900146484375,269.17498779296875,267.55499267578125,268.7049865722656,3846656,341.1400146484375,341.5299987792969,339.82000732421875,341.510009765625,1554583,73.7750015258789,73.88500213623047,73.6050033569336,73.84500122070312,1525607,301.08990478515625,301.82000732421875,300.57000732421875,301.510009765625,3572317
2026-08-12 12:30:00-04:00,582.239990234375,582.989990234375,581.0999755859375,581.6099853515625,1225870,268.7200012207031,269.45001220703125,268.6199951171875,268.739990234375,1966982,341.5400085449219,342.2799987792969,340.9599914550781,341.6700134277344,1201019,73.83999633789062,74.09929656982422,73.80500030517578,73.98999786376953,1611623,301.5150146484375,302.510009765625,301.4100036621094,302.16009521484375,2585592
2026-08-12 13:30:00-04:00,581.6099853515625,581.9799194335938,578.25,581.3300170898438,2376606,268.75,268.92181396484375,267.8599853515625,268.3203125,2216013,341.6400146484375,342.6000061035156,340.20001220703125,341.75,1442729,73.99500274658203,74.26499938964844,73.9749984741211,74.20500183105469,1780808,302.1700134277344,302.2976989746094,301.05999755859375,301.125,3113898
2026-08-12 14:30:00-04:00,581.27001953125,583.6782836914062,579.0,580.5999755859375,1902723,268.29998779296875,269.239990234375,268.17999267578125,268.79998779296875,2486513,341.739990234375,342.9700012207031,341.739990234375,342.54998779296875,1406108,74.19999694824219,74.3499984741211,74.19000244140625,74.23500061035156,1860674,301.1199951171875,302.0398864746094,301.0400085449219,301.67999267578125,4654586
2026-08-12 15:30:00-04:00,580.6500244140625,582.22998046875,578.552490234375,578.8499755859375,2016218,268.79998779296875,269.0400085449219,267.1000061035156,267.30999755859375,3808841,342.55999755859375,343.4881896972656,342.1000061035156,342.32000732421875,1427469,74.23500061035156,74.30999755859375,74.06999969482422,74.19999694824219,2737083,301.6700134277344,302.25,301.0,302.2250061035156,5484429
2026-08-13 09:30:00-04:00,580.375,590.5,579.4299926757812,587.7999877929688,3083384,267.2349853515625,269.5799865722656,265.5799865722656,267.9150085449219,7057502,344.57000732421875,345.8299865722656,342.5299987792969,344.07000732421875,3967150,76.15499877929688,77.6698989868164,75.44999694824219,77.17140197753906,11936147,304.25799560546875,305.9599914550781,302.04998779296875,305.6449890136719,11220852
