Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-10 09:30:00-04:00,243.60499572753906,244.0500030517578,240.22999572753906,240.89999389648438,7985937,580.72998046875,591.2999877929688,579.27001953125,583.5050048828125,2774091,360.8399963378906,366.30999755859375,359.8800048828125,365.20001220703125,3948575,290.7650146484375,291.19000244140625,287.3800048828125,289.7349853515625,10605790,81.72000122070312,82.57550048828125,80.97720336914062,81.61000061035156,8071228
2026-06-10 10:30:00-04:00,240.91000366210938,241.389892578125,238.83009338378906,239.4499969482422,5268353,583.5050048828125,583.7999877929688,575.02001953125,577.75,2032478,365.2300109863281,365.29998779296875,358.42999267578125,360.07000732421875,2223090,289.7099914550781,290.6499938964844,288.44500732421875,289.989990234375,6107494,81.62000274658203,82.74749755859375,81.41999816894531,82.44999694824219,4899608
2026-06-10 11:30:00-04:00,239.4550018310547,240.35000610351562,238.82000732421875,239.17999267578125,3678912,577.8200073242188,580.159912109375,576.25,577.10498046875,1042729,360.0849914550781,360.3299865722656,356.1300048828125,356.32501220703125,1866307,289.95001220703125,291.739990234375,289.739990234375,291.7300109863281,4540251,82.43000030517578,82.66999816894531,82.3550033569336,82.54499816894531,3220583
2026-06-10 12:30:00-04:00,239.17999267578125,239.6999969482422,238.39999389648438,238.55999755859375,2882923,577.02001953125,578.22998046875,575.2050170898438,576.0850219726562,734736,356.32501220703125,357.0199890136719,354.3475036621094,354.67999267578125,1343109,291.739990234375,293.2294921875,291.35650634765625,293.15008544921875,5485757,82.54499816894531,82.59400177001953,82.31999969482422,82.55500030517578,1874802
2026-06-10 13:30:00-04:00,238.52000427246094,239.39999389648438,237.8699951171875,239.11000061035156,3435229,576.0358276367188,577.010009765625,573.8800048828125,575.5050048828125,1078436,354.66009521484375,355.3699035644531,353.7200012207031,354.375,1977116,293.1600036621094,294.7449951171875,292.5104064941406,294.30999755859375,6365580,82.55500030517578,82.58999633789062,82.1050033569336,82.11499786376953,2043547
2026-06-10 14:30:00-04:00,239.12060546875,239.1300048828125,237.5500030517578,237.6300048828125,3294798,575.4400024414062,575.5250244140625,570.5999755859375,570.969970703125,2454936,354.3500061035156,355.2799072265625,353.6600036621094,354.4100036621094,2953952,294.29998779296875,294.29998779296875,291.6199951171875,291.92999267578125,4615300,82.11289978027344,82.125,81.81999969482422,81.87090301513672,5550603
2026-06-10 15:30:00-04:00,237.60000610351562,238.5800018310547,237.4499969482422,237.94500732421875,4494923,570.8900146484375,573.6799926757812,570.7000122070312,570.7899780273438,1606689,354.4200134277344,354.8699951171875,352.80999755859375,353.32000732421875,2726387,291.9200134277344,292.94000244140625,291.3900146484375,291.5,4931671,81.875,82.19000244140625,81.8499984741211,81.94999694824219,3433480
2026-06-11 09:30:00-04:00,237.92999267578125,238.77999877929688,235.51109313964844,237.27000427246094,8194956,565.5700073242188,567.989990234375,558.1500244140625,560.8800048828125,3896373,353.0150146484375,354.5,344.0857849121094,345.5899963378906,5670856,293.7200012207031,293.95001220703125,289.75,290.5799865722656,7113950,81.6500015258789,82.05999755859375,80.37999725341797,80.90499877929688,5739149
