Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20 09:30:00-04:00,546.9500122070312,549.9879760742188,543.0599975585938,544.4400024414062,2824039,80.17440032958984,81.08000183105469,80.0199966430664,80.27999877929688,5704591,339.69000244140625,340.79998779296875,338.1000061035156,338.6199951171875,2573016,317.4549865722656,320.2799987792969,316.2200012207031,316.4700012207031,7715714,262.9049987792969,263.8399963378906,260.3999938964844,261.57501220703125,6646303
2026-08-20 10:30:00-04:00,544.344970703125,547.1500244140625,541.8300170898438,543.8300170898438,1689854,80.27010345458984,80.30999755859375,79.58499908447266,80.13999938964844,3514894,338.5799865722656,339.8299865722656,336.4200134277344,336.95001220703125,1951535,316.42999267578125,317.7799987792969,316.0,317.2200012207031,2996499,261.55010986328125,262.465087890625,259.9200134277344,260.82501220703125,3171651
2026-08-20 11:30:00-04:00,543.8709716796875,544.0,541.6199951171875,543.0900268554688,1129945,80.13999938964844,80.33000183105469,80.02999877929688,80.33000183105469,1669680,336.95001220703125,338.3900146484375,336.1700134277344,338.32000732421875,1449331,317.2298889160156,317.25,315.9599914550781,316.4649963378906,2014832,260.80999755859375,262.2799987792969,260.6700134277344,262.2300109863281,2154061
2026-08-20 12:30:00-04:00,543.1950073242188,545.7999267578125,541.3400268554688,542.1300048828125,1187073,80.30999755859375,80.69999694824219,80.30000305175781,80.54139709472656,3175188,338.29998779296875,339.54901123046875,338.2200012207031,338.5299987792969,814321,316.4649963378906,317.6300048828125,316.2900085449219,316.6700134277344,2026222,262.2200012207031,263.4541931152344,261.3500061035156,261.42010498046875,2061268
2026-08-20 13:30:00-04:00,542.5537719726562,543.3200073242188,539.3099975585938,540.9149780273438,1315768,80.55999755859375,80.7249984741211,80.37999725341797,80.71700286865234,1937391,338.57501220703125,338.7049865722656,336.9200134277344,337.1600036621094,778665,316.6600036621094,316.8599853515625,314.82000732421875,314.8399963378906,2545448,261.43499755859375,261.7200012207031,259.9200134277344,260.94500732421875,2071595
2026-08-20 14:30:00-04:00,540.8900146484375,542.7899780273438,540.2200927734375,542.6868286132812,1044696,80.71499633789062,80.75,80.37000274658203,80.42500305175781,2244036,337.17010498046875,338.6000061035156,337.1600036621094,338.375,1114227,314.8100891113281,315.70001220703125,313.29998779296875,313.3699951171875,3156936,260.9491882324219,261.3800048828125,260.7701110839844,261.3099060058594,2005525
2026-08-20 15:30:00-04:00,542.7000122070312,548.010009765625,542.5999755859375,545.885009765625,1895963,80.43000030517578,80.69000244140625,80.0250015258789,80.16999816894531,3600542,338.3800048828125,338.9700012207031,337.4599914550781,338.2300109863281,1983255,313.3900146484375,313.6499938964844,310.6499938964844,311.3399963378906,5485508,261.3299865722656,261.54998779296875,259.5199890136719,260.19000244140625,4237461
2026-08-21 09:30:00-04:00,546.885009765625,552.6900024414062,543.22998046875,549.2999877929688,3972405,80.2699966430664,80.33999633789062,79.16999816894531,79.64949798583984,6655268,340.2799987792969,340.3804016113281,337.82000732421875,339.82000732421875,3926242,312.04998779296875,312.3800048828125,307.010009765625,307.7950134277344,13705396,260.75,261.0799865722656,257.0350036621094,259.69000244140625,12030738
