Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04 09:30:00-04:00,83.23500061035156,83.69999694824219,82.79000091552734,82.79000091552734,11624036,313.30499267578125,313.5400085449219,309.90008544921875,310.25,9640009,253.32000732421875,255.13999938964844,251.77999877929688,253.8249969482422,9557771,355.4800109863281,365.5,354.8500061035156,365.0299987792969,7530068,623.6699829101562,640.4000244140625,622.5999755859375,638.0050048828125,5930256
2026-06-04 10:30:00-04:00,82.79000091552734,82.88500213623047,82.12000274658203,82.38330078125,4167825,310.260009765625,311.3500061035156,309.79998779296875,310.3999938964844,3601740,253.85000610351562,255.82989501953125,253.52000427246094,255.57000732421875,4407861,365.010009765625,367.8599853515625,364.0400085449219,367.80499267578125,3548853,638.1799926757812,640.5,634.60009765625,638.4949951171875,2175355
2026-06-04 11:30:00-04:00,82.38999938964844,82.48999786376953,81.80000305175781,81.82499694824219,2859661,310.4100036621094,311.1099853515625,309.6499938964844,310.6300048828125,3102831,255.55999755859375,255.66439819335938,253.60000610351562,253.7899932861328,3308145,367.79998779296875,369.3699951171875,365.1199951171875,368.2749938964844,3130528,638.4949951171875,642.3300170898438,632.9801025390625,633.5999755859375,2355304
2026-06-04 12:30:00-04:00,81.82499694824219,81.98999786376953,81.5,81.75499725341797,3203060,310.6300048828125,311.7900085449219,310.4800109863281,311.6650085449219,3514607,253.7949981689453,254.6699981689453,253.55999755859375,254.39500427246094,3177271,368.30499267578125,369.7090148925781,367.1600036621094,369.6700134277344,2250789,633.3201904296875,633.760009765625,627.6099853515625,630.02001953125,1627692
2026-06-04 13:30:00-04:00,81.75,81.83999633789062,81.51000213623047,81.66790008544922,2808398,311.6700134277344,311.9750061035156,310.989990234375,311.4200134277344,2206917,254.3699951171875,254.83999633789062,253.625,254.6999969482422,2543038,369.63751220703125,369.8450012207031,367.75,369.40008544921875,2026805,630.0599975585938,630.2999267578125,625.9199829101562,626.280029296875,1014115
2026-06-04 14:30:00-04:00,81.66500091552734,81.83499908447266,81.58000183105469,81.58000183105469,3475096,311.4100036621094,312.07000732421875,311.35919189453125,311.94000244140625,2612939,254.7050018310547,254.89999389648438,253.38499450683594,253.7899932861328,3018818,369.4049987792969,369.625,367.1199951171875,367.7699890136719,2564972,626.239990234375,627.0999755859375,624.3300170898438,624.4650268554688,980323
2026-06-04 15:30:00-04:00,81.58000183105469,81.62000274658203,81.37000274658203,81.56999969482422,5146211,311.94000244140625,311.9599914550781,310.260009765625,311.1600036621094,4150477,253.77000427246094,254.10000610351562,250.02000427246094,253.91000366210938,3737964,367.7900085449219,369.82000732421875,355.67999267578125,369.3699951171875,3137712,624.510009765625,627.7150268554688,622.7999877929688,627.5399780273438,1490687
2026-06-05 09:30:00-04:00,82.38400268554688,82.75,81.54010009765625,81.87999725341797,8574611,312.989990234375,315.1700134277344,312.3999938964844,313.42498779296875,10660699,254.0,256.3800048828125,252.01010131835938,253.83999633789062,10002710,363.55999755859375,369.20001220703125,361.8299865722656,367.6499938964844,5378451,623.4600219726562,629.0399780273438,614.6900024414062,618.5650024414062,3486132
