Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22 09:30:00-04:00,240.49000549316406,242.0,235.5,235.7100067138672,11746467,572.02001953125,575.780029296875,567.0,567.64501953125,3055242,357.135009765625,358.20001220703125,347.8599853515625,348.2427062988281,7033521,76.13500213623047,77.08999633789062,74.58000183105469,74.74220275878906,15478128,297.5,302.4200134277344,297.5,301.20001220703125,8668767
2026-06-22 10:30:00-04:00,235.7100067138672,236.39999389648438,232.52000427246094,233.03500366210938,9536266,567.510009765625,568.6300048828125,560.02001953125,560.5449829101562,2698681,348.260009765625,348.510009765625,340.94000244140625,342.70001220703125,6579308,74.75,74.91999816894531,73.7699966430664,73.78500366210938,10127711,301.2099914550781,301.2300109863281,299.0350036621094,299.94000244140625,4311646
2026-06-22 11:30:00-04:00,233.0399932861328,234.88999938964844,232.66000366210938,233.25999450683594,6558177,560.6099853515625,564.639892578125,559.8099975585938,560.8599853515625,1730116,342.7049865722656,346.5799865722656,342.6000061035156,346.1300048828125,3012832,73.78150177001953,73.91999816894531,72.3499984741211,72.55500030517578,11347956,299.94000244140625,301.4299011230469,299.75,300.5398864746094,2951222
2026-06-22 12:30:00-04:00,233.30999755859375,234.1898956298828,232.25,233.59500122070312,4722448,560.8499755859375,563.75,560.3800048828125,562.5499877929688,1037727,346.1499938964844,346.75,344.8299865722656,346.32000732421875,2841219,72.55500030517578,72.6500015258789,72.08000183105469,72.13999938964844,10127076,300.5199890136719,300.67999267578125,299.45001220703125,299.80999755859375,2690789
2026-06-22 13:30:00-04:00,233.59500122070312,234.41000366210938,233.08740234375,234.08999633789062,4588202,562.5499877929688,566.1500244140625,561.3900146484375,565.5250244140625,1172600,346.32000732421875,347.6700134277344,345.6700134277344,347.30499267578125,2016117,72.13500213623047,73.27999877929688,71.80999755859375,73.18499755859375,9260092,299.81500244140625,299.8599853515625,298.5830078125,298.9200134277344,2455391
2026-06-22 14:30:00-04:00,234.10000610351562,235.05499267578125,233.4499969482422,233.9149932861328,8126958,565.5250244140625,566.0599975585938,562.0,564.6300048828125,1119578,347.30999755859375,348.9700012207031,346.510009765625,348.6549987792969,2024350,73.18890380859375,73.3499984741211,72.80500030517578,72.88020324707031,6472424,298.9200134277344,299.3399963378906,298.590087890625,299.05999755859375,2926458
2026-06-22 15:30:00-04:00,233.9149932861328,234.39999389648438,232.7899932861328,232.7899932861328,8927713,564.6599731445312,566.0,563.47998046875,563.8499755859375,1426962,348.6600036621094,349.4599914550781,347.69000244140625,348.6700134277344,3113463,72.88500213623047,73.3499984741211,72.68000030517578,72.87999725341797,8591854,299.05999755859375,299.0899963378906,296.7900085449219,296.7900085449219,6099091
2026-06-23 09:30:00-04:00,232.5500030517578,236.85000610351562,232.0,236.71119689941406,12549981,562.2449951171875,572.2000122070312,561.030029296875,568.7100219726562,2938625,342.0,348.7200012207031,341.1300048828125,347.62200927734375,4996405,73.75,73.96070098876953,72.82499694824219,73.03500366210938,11964308,296.5,301.6400146484375,296.20001220703125,300.506591796875,9260481
