Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22 09:30:00-04:00,69.37000274658203,70.47000122070312,69.05999755859375,70.25499725341797,10845298,642.469970703125,642.8400268554688,628.0900268554688,629.8986206054688,2468870,327.875,328.99951171875,324.3299865722656,324.4750061035156,6559605,347.2699890136719,349.45001220703125,345.6700134277344,347.385009765625,3013260,248.1300048828125,248.4499969482422,243.61000061035156,243.76499938964844,6590277
2026-07-22 10:30:00-04:00,70.24500274658203,70.56999969482422,70.0,70.19499969482422,4683548,629.780029296875,631.5999755859375,627.7999877929688,629.6400146484375,1290179,324.4949951171875,325.80999755859375,324.07000732421875,325.79998779296875,3700418,347.385009765625,348.2099914550781,346.3599853515625,346.67498779296875,2051649,243.75999450683594,244.3300018310547,243.27000427246094,243.74000549316406,3231188
2026-07-22 11:30:00-04:00,70.19010162353516,70.4000015258789,69.9000015258789,70.08000183105469,3944758,629.6400146484375,630.9600219726562,628.1300048828125,629.2550048828125,958453,325.7650146484375,325.8900146484375,324.3699951171875,324.885009765625,4081820,346.67498779296875,347.6700134277344,346.20001220703125,347.2900085449219,1367216,243.73500061035156,244.55499267578125,243.41000366210938,244.02999877929688,2473669
2026-07-22 12:30:00-04:00,70.08000183105469,70.18000030517578,69.4800033569336,69.52469635009766,3335271,629.2550048828125,630.7000122070312,628.1099853515625,628.2000122070312,656884,324.885009765625,324.95001220703125,323.3399963378906,323.6650085449219,2995117,347.2850036621094,347.6274108886719,346.6300048828125,347.0899963378906,1212470,244.02999877929688,244.2698974609375,242.94000244140625,243.0301055908203,1932744
2026-07-22 13:30:00-04:00,69.5250015258789,69.53500366210938,69.09500122070312,69.0999984741211,3652920,628.2000122070312,628.2899780273438,625.0401000976562,626.5999755859375,837850,323.6650085449219,324.0199890136719,323.55499267578125,323.92999267578125,1648241,347.0899963378906,347.54998779296875,345.6000061035156,345.9100036621094,1225300,243.03500366210938,243.25,242.4499969482422,243.0399932861328,2256794
2026-07-22 14:30:00-04:00,69.09500122070312,69.125,68.3499984741211,68.48500061035156,5477647,626.5999755859375,627.9500122070312,625.5,627.1950073242188,886793,323.9299011230469,324.70001220703125,323.8299865722656,324.44000244140625,2532403,345.95001220703125,346.55999755859375,344.7200012207031,344.8500061035156,1836626,243.0500030517578,244.89999389648438,242.63999938964844,244.58999633789062,4137260
2026-07-22 15:30:00-04:00,68.4800033569336,68.70999908447266,68.44000244140625,68.52999877929688,5648582,627.0800170898438,628.8699951171875,624.0,627.0700073242188,1491328,324.44000244140625,326.9100036621094,323.9800109863281,325.8699951171875,5469385,344.8599853515625,345.20001220703125,341.6400146484375,341.9100036621094,3046198,244.58999633789062,245.1750030517578,244.25,244.77000427246094,3579655
2026-07-23 09:30:00-04:00,68.56999969482422,69.13999938964844,67.66999816894531,68.54000091552734,8845284,608.4099731445312,614.635009765625,604.3499755859375,607.8300170898438,3161774,321.7300109863281,323.29998779296875,319.3500061035156,321.489990234375,7808169,321.6700134277344,324.3900146484375,316.5899963378906,318.0400085449219,16516656,236.32000732421875,238.3498992919922,233.57000732421875,234.60000610351562,11766998
