Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-14 13:30:00+00:00,269.2796936035156,270.7799072265625,267.57501220703125,267.739990234375,6255864,87.62000274658203,88.5,87.48999786376953,87.69000244140625,5706479,393.92999267578125,397.54998779296875,392.7279968261719,393.05999755859375,3465026,616.125,623.1599731445312,615.0,621.9500122070312,2875167,299.82000732421875,300.3500061035156,297.0799865722656,297.93499755859375,7145581
2026-05-14 14:30:00+00:00,267.7049865722656,268.04998779296875,267.0299987792969,267.69000244140625,3498571,87.69999694824219,87.8499984741211,87.31999969482422,87.79019927978516,3066625,393.04998779296875,395.5,392.7799987792969,394.8399963378906,1628354,622.1300048828125,622.8499755859375,617.9201049804688,622.0250244140625,1411208,297.95001220703125,299.4700012207031,297.5799865722656,299.06500244140625,3728318
2026-05-14 15:30:00+00:00,267.70001220703125,268.739990234375,267.1000061035156,267.9800109863281,2900929,87.80000305175781,88.21499633789062,87.7300033569336,87.98500061035156,3110480,394.8900146484375,398.8800048828125,394.7699890136719,396.3399963378906,1559735,621.9199829101562,623.72998046875,620.6099853515625,620.8800048828125,1010972,299.07000732421875,299.3599853515625,298.2799987792969,298.3099060058594,3199871
2026-05-14 16:30:00+00:00,267.989990234375,268.8900146484375,267.8900146484375,268.739990234375,2423505,87.98500061035156,88.00499725341797,87.58999633789062,87.84010314941406,1732607,396.3800964355469,397.6099853515625,395.3901062011719,397.4100036621094,1354102,621.0399780273438,621.2103271484375,618.0599975585938,619.1400146484375,1056054,298.30999755859375,298.51251220703125,295.3800048828125,298.3800048828125,4489806
2026-05-14 17:30:00+00:00,268.7449951171875,269.1799011230469,267.7900085449219,267.7900085449219,2879860,87.83499908447266,87.91999816894531,86.65499877929688,86.91500091552734,3730572,397.4700012207031,399.10400390625,395.69500732421875,396.07000732421875,1216565,619.1500244140625,619.9000244140625,615.75,615.9600219726562,830116,298.40899658203125,298.6299133300781,297.54998779296875,298.3699951171875,2323271
2026-05-14 18:30:00+00:00,267.7799987792969,268.2300109863281,267.3005065917969,268.1000061035156,2761989,86.91500091552734,87.24500274658203,86.7699966430664,87.22000122070312,3091483,396.07000732421875,397.3500061035156,395.79998779296875,397.0400085449219,1184286,615.8300170898438,617.9989013671875,615.4199829101562,617.1799926757812,986117,298.364990234375,299.20001220703125,298.2229919433594,299.07501220703125,2930714
2026-05-14 19:30:00+00:00,268.0799865722656,268.1700134277344,266.6300048828125,267.25,3711555,87.22989654541016,87.36000061035156,86.8550033569336,86.94000244140625,2705572,397.023193359375,397.3299865722656,396.0199890136719,397.20001220703125,1277243,617.2100219726562,618.75,617.2100219726562,618.4299926757812,971964,299.0799865722656,299.0799865722656,297.8800048828125,298.1650085449219,3098706
2026-05-15 13:30:00+00:00,262.5899963378906,264.04998779296875,260.8901062011719,262.94500732421875,12630042,87.7699966430664,89.48999786376953,87.38999938964844,87.64009857177734,9871967,393.2149963378906,395.8800048828125,389.760009765625,394.6025085449219,4376180,614.10498046875,614.5850219726562,609.3099975585938,612.4199829101562,2820808,297.7550048828125,299.8500061035156,296.5299987792969,299.2900085449219,10451647
