Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21 09:30:00-04:00,249.1219940185547,249.33999633789062,246.72000122070312,247.4600067138672,5453211,67.4800033569336,68.0999984741211,67.16999816894531,67.69000244140625,9594787,654.1300048828125,655.8800048828125,643.2000122070312,646.7999877929688,1739674,323.3450012207031,327.0299987792969,322.22039794921875,326.739990234375,9697821,350.55999755859375,350.67999267578125,346.88189697265625,348.8099060058594,2876032
2026-07-21 10:30:00-04:00,247.47000122070312,248.58999633789062,246.9600067138672,247.9949951171875,3214709,67.68000030517578,68.0199966430664,67.44000244140625,67.47000122070312,5754999,646.5900268554688,649.659912109375,645.5,647.9000244140625,715688,326.7200012207031,328.45001220703125,326.2099914550781,328.385009765625,4005270,348.739990234375,349.6700134277344,347.25,347.45001220703125,1488828
2026-07-21 11:30:00-04:00,247.99000549316406,248.3585968017578,247.19000244140625,247.39999389648438,2104051,67.4749984741211,67.53990173339844,66.80999755859375,66.84989929199219,6062859,647.8699951171875,648.8800048828125,645.969970703125,647.5499877929688,559441,328.3800048828125,329.6000061035156,327.7550048828125,328.6199951171875,3516853,347.40509033203125,349.32000732421875,347.29998779296875,348.9100036621094,1286827
2026-07-21 12:30:00-04:00,247.39999389648438,248.74000549316406,247.22000122070312,248.61500549316406,2117768,66.8499984741211,66.96990203857422,66.7249984741211,66.94499969482422,7625551,647.3400268554688,650.780029296875,645.4299926757812,646.6849975585938,849988,328.6210021972656,328.8299865722656,327.0,327.07000732421875,3845150,348.8900146484375,349.2900085449219,348.05499267578125,348.32501220703125,1235183
2026-07-21 13:30:00-04:00,248.61500549316406,248.82000732421875,248.19000244140625,248.25,1694089,66.94499969482422,67.88999938964844,66.87999725341797,67.7300033569336,5667463,646.6849975585938,648.8200073242188,644.7050170898438,647.5999755859375,679154,327.07000732421875,327.8699951171875,326.7200012207031,327.239990234375,3598490,348.30999755859375,348.6499938964844,348.07000732421875,348.20001220703125,1041596
2026-07-21 14:30:00-04:00,248.22000122070312,248.23500061035156,247.3699951171875,247.66000366210938,2871917,67.73999786376953,68.08000183105469,67.5999984741211,68.07499694824219,5495594,647.7000122070312,650.0,646.219970703125,649.2899780273438,800877,327.25,328.489990234375,327.17999267578125,327.93499755859375,2991406,348.20001220703125,348.95001220703125,347.7200012207031,348.79998779296875,1129081
2026-07-21 15:30:00-04:00,247.6699981689453,247.80499267578125,247.22999572753906,247.50999450683594,3495252,68.07499694824219,68.74099731445312,67.94999694824219,68.62999725341797,8233694,649.4949951171875,649.8499145507812,643.4099731445312,643.4400024414062,1091818,327.92999267578125,328.1000061035156,327.1400146484375,327.5899963378906,3687722,348.8299865722656,349.0150146484375,346.010009765625,346.19000244140625,1830982
2026-07-22 09:30:00-04:00,248.1300048828125,248.4499969482422,243.61000061035156,243.76499938964844,6590277,69.37000274658203,70.47000122070312,69.05999755859375,70.25499725341797,10845298,647.7000122070312,648.9979858398438,628.0900268554688,629.8986206054688,2468870,327.875,328.99951171875,324.3299865722656,324.4750061035156,6559605,347.2699890136719,349.45001220703125,345.6700134277344,347.385009765625,3013260
