Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18 09:30:00-04:00,260.6300048828125,261.2699890136719,257.7300109863281,261.14599609375,7344434,307.5299987792969,310.2699890136719,305.739990234375,309.659912109375,0,77.35189819335938,78.52999877929688,76.33999633789062,78.12999725341797,8458705,557.3099975585938,560.6300048828125,546.6099853515625,547.8316040039062,7947794,339.8046875,341.95001220703125,337.5199890136719,341.8999938964844,2930089
2026-08-18 10:30:00-04:00,261.1400146484375,262.17999267578125,260.2799987792969,260.42999267578125,4300309,309.6400146484375,311.489990234375,309.6000061035156,310.42999267578125,17838632,78.13500213623047,79.09719848632812,78.05000305175781,78.75,5050815,547.885009765625,553.5582275390625,545.469970703125,552.219970703125,3736094,341.8999938964844,342.0799865722656,340.44000244140625,340.73760986328125,1410816
2026-08-18 11:30:00-04:00,260.45989990234375,261.4800109863281,259.69000244140625,261.04998779296875,2574986,310.42999267578125,310.6400146484375,309.0119934082031,310.614990234375,3765824,78.75499725341797,78.93000030517578,78.51000213623047,78.83000183105469,2919254,552.219970703125,555.7999877929688,551.3699951171875,551.8300170898438,2122193,340.6499938964844,341.75,340.05999755859375,341.4549865722656,997459
2026-08-18 12:30:00-04:00,261.0299987792969,262.1400146484375,260.8699951171875,260.8900146484375,2697383,310.6199951171875,310.94000244140625,310.20001220703125,310.3999938964844,3345582,78.83499908447266,78.93000030517578,78.56999969482422,78.61499786376953,2787921,551.6799926757812,552.280029296875,548.2501220703125,548.9199829101562,2174188,341.4549865722656,341.55499267578125,340.4599914550781,340.75,827704
2026-08-18 13:30:00-04:00,260.8699951171875,260.8699951171875,260.04998779296875,260.5580139160156,2417634,310.3999938964844,310.64990234375,309.75,310.627685546875,3979233,78.61499786376953,78.75,78.38999938964844,78.70999908447266,2286231,548.9577026367188,549.3599853515625,546.4299926757812,547.239990234375,2201289,340.739990234375,342.389892578125,340.56500244140625,342.3500061035156,1303195
2026-08-18 14:30:00-04:00,260.55499267578125,260.6499938964844,259.8599853515625,260.0199890136719,2298425,310.6099853515625,311.239990234375,309.3699951171875,309.7099914550781,3801923,78.70500183105469,78.73500061035156,78.3499984741211,78.44000244140625,2984379,547.22998046875,547.4000244140625,543.9099731445312,545.22998046875,2475290,342.364990234375,342.3900146484375,340.2200012207031,341.7799987792969,1267438
2026-08-18 15:30:00-04:00,260.0299987792969,260.3299865722656,259.1099853515625,259.4800109863281,4341416,309.69500732421875,311.0690002441406,309.6014099121094,310.20001220703125,5897762,78.47000122070312,78.49500274658203,77.75,77.79000091552734,4853864,545.280029296875,546.260009765625,543.2100219726562,543.7279052734375,2843823,341.80999755859375,342.3599853515625,341.2099914550781,341.3699951171875,2478155
2026-08-19 09:30:00-04:00,260.8450012207031,262.6799011230469,258.5799865722656,261.17498779296875,7142748,310.1300048828125,317.80999755859375,309.6000061035156,316.010009765625,12465334,78.22000122070312,80.59310150146484,78.0999984741211,80.22000122070312,8329455,541.3400268554688,548.010009765625,537.280029296875,547.419921875,5060525,339.79998779296875,341.8399963378906,338.04998779296875,340.1099853515625,2971314
