Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08 09:30:00-04:00,244.13999938964844,244.77000427246094,240.8800048828125,243.11000061035156,6592227,614.385009765625,615.8800048828125,600.6400146484375,604.3350219726562,2967132,76.2699966430664,76.62000274658203,74.88999938964844,75.37999725341797,6411967,311.6600036621094,312.0,307.051513671875,308.8500061035156,7602776,362.2099914550781,364.8399963378906,358.8999938964844,359.07000732421875,2596530
2026-07-08 10:30:00-04:00,243.0800018310547,243.0850067138672,240.91000366210938,241.2801055908203,3353231,604.3200073242188,604.9998779296875,600.25,602.030029296875,1177300,75.38009643554688,75.81999969482422,75.08000183105469,75.7300033569336,3407668,308.82000732421875,310.8500061035156,308.70001220703125,310.06500244140625,4149375,359.010009765625,359.57501220703125,357.7200012207031,358.2200012207031,1337816
2026-07-08 11:30:00-04:00,241.30499267578125,241.8000030517578,240.52000427246094,241.61000061035156,2106650,602.1749877929688,605.4299926757812,601.0800170898438,604.27001953125,750758,75.73999786376953,76.04499816894531,75.54000091552734,75.97000122070312,3922754,310.0799865722656,311.7900085449219,309.31500244140625,311.6000061035156,3488474,358.2300109863281,358.5899963378906,356.94000244140625,358.1099853515625,977857
2026-07-08 12:30:00-04:00,241.60000610351562,242.5800018310547,241.08999633789062,242.57000732421875,1996611,604.280029296875,605.5,602.510986328125,605.375,656046,75.97000122070312,76.26000213623047,75.95500183105469,76.0250015258789,2819609,311.6000061035156,314.19000244140625,311.3399963378906,314.1199035644531,4629049,358.07000732421875,358.67999267578125,357.5,358.05999755859375,1070985
2026-07-08 13:30:00-04:00,242.5800018310547,242.7386016845703,241.39999389648438,241.85499572753906,1924918,605.489990234375,606.6599731445312,604.5,605.0650024414062,893529,76.0199966430664,76.37000274658203,76.0199966430664,76.17500305175781,2344241,314.1300048828125,314.80999755859375,311.150390625,314.125,4294797,358.05999755859375,358.1099853515625,355.114990234375,355.25,1304540
2026-07-08 14:30:00-04:00,241.8699951171875,242.77999877929688,241.85000610351562,242.36000061035156,2175622,605.0399780273438,607.75,598.010498046875,599.768798828125,1773483,76.17500305175781,76.32499694824219,75.70500183105469,75.8550033569336,3415960,314.125,314.3999938964844,313.6499938964844,313.81500244140625,3477947,355.239990234375,356.0799865722656,354.70001220703125,355.69500732421875,1202100
2026-07-08 15:30:00-04:00,242.3800048828125,244.24000549316406,242.36500549316406,243.55999755859375,4368824,599.6400146484375,604.7144775390625,598.5599975585938,603.0700073242188,2027085,75.86000061035156,76.05000305175781,75.58499908447266,75.58999633789062,4892172,313.81500244140625,314.20001220703125,312.75,313.260009765625,4786508,355.69500732421875,359.7699890136719,355.6499938964844,358.6000061035156,1939257
2026-07-09 09:30:00-04:00,239.7449951171875,243.2198944091797,238.25,240.5850067138672,7812852,583.9199829101562,600.9000244140625,577.0700073242188,594.0750122070312,6746310,74.26000213623047,75.4800033569336,74.0199966430664,74.91500091552734,6064072,310.44500732421875,312.29998779296875,308.1600036621094,312.0899963378906,7601316,351.0849914550781,356.3500061035156,348.6600036621094,351.0,4120764
