Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11 14:30:00+00:00,230.7100067138672,232.11000061035156,229.4199981689453,230.8800048828125,4677750,279.0950012207031,279.5799865722656,273.80999755859375,276.1199951171875,6887208,320.94000244140625,321.989990234375,314.5199890136719,317.05999755859375,3634473,642.72998046875,655.280029296875,640.7949829101562,652.6099853515625,2302563,93.8550033569336,94.51000213623047,92.76000213623047,94.3949966430664,9038298
2025-12-11 15:30:00+00:00,230.86000061035156,231.0399932861328,228.69009399414062,228.85000610351562,2150176,276.114990234375,276.5899963378906,275.20001220703125,275.82501220703125,2343607,317.07501220703125,317.8900146484375,315.239990234375,315.54998779296875,1521142,652.5399780273438,653.1849975585938,646.0300903320312,646.6099853515625,990587,94.3949966430664,94.68000030517578,93.70999908447266,94.08499908447266,4362495
2025-12-11 16:30:00+00:00,228.88999938964844,230.27999877929688,228.77999877929688,230.08250427246094,1738077,275.82000732421875,278.17999267578125,275.80999755859375,277.9049987792969,2412367,315.5249938964844,316.5400085449219,314.6600036621094,316.05999755859375,1109293,646.7100219726562,649.719970703125,645.2999877929688,648.8400268554688,586515,94.08499908447266,94.81999969482422,93.98999786376953,94.62000274658203,3473366
2025-12-11 17:30:00+00:00,230.08999633789062,230.3990020751953,229.24000549316406,229.47999572753906,1695827,277.9200134277344,278.3500061035156,277.3800048828125,277.5226135253906,1473658,316.0574951171875,316.543212890625,309.8800048828125,313.3900146484375,2408094,648.8350219726562,650.4500122070312,647.9550170898438,649.3900146484375,651876,94.61219787597656,94.7699966430664,94.07499694824219,94.08999633789062,2643380
2025-12-11 18:30:00+00:00,229.47999572753906,230.07940673828125,229.33999633789062,229.8441925048828,1454306,277.5249938964844,278.2099914550781,277.510009765625,277.760009765625,1432317,313.4100036621094,314.55999755859375,311.2349853515625,313.6050109863281,2208647,649.3400268554688,653.4149780273438,649.22998046875,651.9199829101562,660057,94.0999984741211,94.45999908447266,94.05000305175781,94.4198989868164,2583434
2025-12-11 19:30:00+00:00,229.85000610351562,230.10000610351562,229.50999450683594,229.6925048828125,1703233,277.760009765625,278.2149963378906,277.59130859375,278.0950012207031,1817634,313.6300048828125,314.29998779296875,312.8399963378906,313.3500061035156,1218542,652.0,653.280029296875,650.2000122070312,650.5499877929688,639281,94.41000366210938,94.41999816894531,93.70999908447266,93.8499984741211,3095959
2025-12-11 20:30:00+00:00,229.7100067138672,230.3000030517578,229.30999755859375,230.27000427246094,2253506,278.0899963378906,278.2099914550781,277.4700012207031,278.05999755859375,1985352,313.3399963378906,314.1099853515625,312.85009765625,313.7099914550781,1611593,650.52001953125,652.8699951171875,650.1500244140625,652.780029296875,649752,93.8499984741211,94.13999938964844,93.68000030517578,94.11499786376953,2855312
2025-12-12 14:30:00+00:00,230.02000427246094,230.0800018310547,226.35000610351562,226.3800048828125,6052796,277.0,279.2200012207031,276.9700927734375,277.8699951171875,3907328,315.0950012207031,316.1300048828125,309.4330139160156,309.5899963378906,3133641,650.2100219726562,652.010009765625,643.8499755859375,644.010009765625,1868580,95.125,96.91999816894531,95.125,95.54000091552734,11663856
