Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25 14:30:00+00:00,312.1199951171875,313.6499938964844,309.6300048828125,312.1499938964844,2596197,642.5050048828125,651.6099853515625,642.1500244140625,649.6900024414062,1375377,210.4600067138672,211.58999633789062,209.58949279785156,210.4499969482422,5503153,79.4000015258789,81.98999786376953,79.36000061035156,81.8563003540039,13231435,271.67999267578125,274.0799865722656,271.04998779296875,273.6300048828125,5230897
2026-02-25 15:30:00+00:00,312.1050109863281,312.1700134277344,309.3599853515625,310.6300048828125,1756906,649.6900024414062,650.25,646.5050048828125,649.7750244140625,1674897,210.4600067138672,211.00999450683594,209.71499633789062,209.94000244140625,3013359,81.86000061035156,82.30000305175781,81.66999816894531,82.00499725341797,5663109,273.6300048828125,274.58990478515625,272.9200134277344,273.9649963378906,2463949
2026-02-25 16:30:00+00:00,310.6300048828125,311.6650085449219,310.44000244140625,310.69000244140625,1421063,649.8350219726562,652.6500244140625,649.330078125,651.2550048828125,0,209.94500732421875,210.14999389648438,209.0399932861328,209.2100067138672,2300099,82.00499725341797,82.4000015258789,81.79499816894531,81.79499816894531,3542520,273.9150085449219,274.06988525390625,272.9599914550781,273.6099853515625,1694059
2026-02-25 17:30:00+00:00,310.7300109863281,310.9700012207031,310.0400085449219,310.385009765625,1003350,651.1699829101562,651.3400268554688,648.594970703125,649.469970703125,501941,209.2100067138672,209.5500030517578,209.05999755859375,209.16000366210938,1851630,81.79000091552734,82.54000091552734,81.7249984741211,82.3550033569336,2922652,273.6099853515625,274.6300048828125,273.4200134277344,274.3500061035156,1522519
2026-02-25 18:30:00+00:00,310.4100036621094,311.44500732421875,310.239990234375,311.0718078613281,910578,649.469970703125,651.4299926757812,649.0900268554688,651.4299926757812,463458,209.14999389648438,210.1300048828125,208.92999267578125,209.93499755859375,2103994,82.3550033569336,83.11699676513672,82.0199966430664,82.93499755859375,5582444,274.3299865722656,274.94000244140625,274.17999267578125,274.4100036621094,1635951
2026-02-25 19:30:00+00:00,311.07000732421875,312.4599914550781,310.6499938964844,312.3599853515625,1283019,651.4439697265625,653.0800170898438,651.038818359375,651.213623046875,684879,209.9300994873047,210.61000061035156,209.92999267578125,210.22999572753906,2786760,82.93499755859375,82.97000122070312,82.26000213623047,82.55500030517578,21764724,274.4100036621094,274.5400085449219,273.2099914550781,273.75,1879899
2026-02-25 20:30:00+00:00,312.3399963378906,313.2300109863281,311.7099914550781,313.0400085449219,1285483,651.2899780273438,653.8699951171875,649.9600830078125,653.780029296875,810365,210.22999572753906,210.8000030517578,210.02499389648438,210.66000366210938,2879337,82.55500030517578,83.06999969482422,82.30000305175781,82.70999908447266,0,273.7200012207031,274.7200012207031,273.625,274.17999267578125,2422723
2026-02-26 14:30:00+00:00,312.9200134277344,313.0,302.4100036621094,303.3399963378906,3957374,650.5499877929688,660.9000244140625,647.6649780273438,650.969970703125,2242234,210.72999572753906,211.0500030517578,207.05029296875,207.50999450683594,7140858,83.16500091552734,84.55999755859375,82.81999969482422,83.44999694824219,15016358,274.9549865722656,276.1099853515625,270.8399963378906,272.0,5054219
