Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27 09:30:00-04:00,576.47998046875,588.3900146484375,567.6199951171875,578.3400268554688,4776680,259.2300109863281,259.6600036621094,255.5800018310547,257.125,8118298,81.06999969482422,81.1500015258789,79.29000091552734,79.7300033569336,6392145,310.5450134277344,312.10198974609375,309.40008544921875,310.7921142578125,7249330,336.3219909667969,338.69000244140625,335.3999938964844,337.0,2981157
2026-08-27 10:30:00-04:00,578.3400268554688,578.739990234375,570.5,571.4849853515625,2322503,257.125,257.5799865722656,256.3900146484375,256.4200134277344,4456327,79.72000122070312,79.94999694824219,79.30000305175781,79.69010162353516,4166768,310.79998779296875,315.1600036621094,310.6300048828125,314.6499938964844,3988636,336.9649963378906,338.5799865722656,336.1199951171875,337.75,1471741
2026-08-27 11:30:00-04:00,571.5,574.2991943359375,570.3099975585938,572.9508056640625,1124723,256.4200134277344,256.75,255.8699951171875,256.4599914550781,2549894,79.69000244140625,79.81999969482422,79.55000305175781,79.62000274658203,1655745,314.6549987792969,315.07989501953125,314.110107421875,314.57000732421875,2807822,337.760009765625,338.45001220703125,337.3450012207031,338.4200134277344,854027
2026-08-27 12:30:00-04:00,572.8400268554688,572.9552001953125,569.719970703125,571.219970703125,1428391,256.4599914550781,256.7550048828125,255.44000244140625,255.89999389648438,4032337,79.62010192871094,79.875,79.46009826660156,79.8196029663086,1824709,314.56500244140625,315.3999938964844,314.25,315.2699890136719,1942935,338.42498779296875,338.80999755859375,337.54998779296875,338.0299987792969,920811
2026-08-27 13:30:00-04:00,571.135009765625,571.8350830078125,568.0499877929688,569.1599731445312,971427,255.88999938964844,256.42999267578125,255.02000427246094,255.08999633789062,3870790,79.81510162353516,79.95500183105469,79.63999938964844,79.81009674072266,1539278,315.2799987792969,315.3399963378906,313.9934997558594,314.17999267578125,1676322,338.0039978027344,338.52398681640625,337.3299865722656,337.47900390625,761309
2026-08-27 14:30:00-04:00,569.1599731445312,570.7985229492188,568.7000122070312,569.4299926757812,872196,255.09500122070312,256.0799865722656,255.09500122070312,255.74000549316406,2282711,79.81500244140625,80.05999755859375,79.69000244140625,79.99500274658203,2406114,314.20001220703125,314.5870056152344,313.44500732421875,313.57000732421875,1894784,337.4700012207031,337.8900146484375,337.2799987792969,337.44000244140625,1187545
2026-08-27 15:30:00-04:00,569.4249877929688,572.1900024414062,568.72998046875,571.0700073242188,1283970,255.72999572753906,257.0799865722656,255.72999572753906,256.2200012207031,3908787,79.99500274658203,80.19000244140625,79.80999755859375,79.83000183105469,3757942,313.5799865722656,315.0899963378906,313.3699951171875,314.57501220703125,3310734,337.4599914550781,338.07000732421875,337.1700134277344,337.55499267578125,1475633
2026-08-28 09:30:00-04:00,571.9500122070312,584.1699829101562,571.0800170898438,577.010009765625,3706164,258.32000732421875,261.8999938964844,257.7799987792969,260.8399963378906,7802735,80.33999633789062,81.43000030517578,79.94999694824219,81.34500122070312,4187074,317.0880126953125,318.1300048828125,315.4504089355469,316.7250061035156,6274224,337.8525085449219,341.25,337.2799987792969,340.2950134277344,2652338
