Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
2026-05-20 09:30:00-04:00,260.1319885253906,263.1199951171875,259.5329895019531,262.1400146484375,7336000,600.7000122070312,603.1699829101562,597.8099975585938,601.7999877929688,2929538,88.51499938964844,88.5199966430664,87.5,88.33000183105469,5019194,385.2200012207031,390.69989013671875,380.010009765625,382.1600036621094,4041240,298.17999267578125,302.3699951171875,298.0899963378906,299.5199890136719,7471000
2026-05-20 10:30:00-04:00,262.1700134277344,265.3399963378906,262.1700134277344,264.1199951171875,4631603,601.72998046875,608.0,600.47998046875,605.5750122070312,2006733,88.33999633789062,88.55000305175781,88.12010192871094,88.22010040283203,2700062,382.0899963378906,383.70001220703125,381.1000061035156,381.1499938964844,1863978,299.510009765625,300.510009765625,299.07000732421875,299.1600036621094,3782669
2026-05-20 11:30:00-04:00,264.1400146484375,265.5799865722656,263.2500915527344,263.3999938964844,2993207,605.6500244140625,606.6799926757812,603.989990234375,604.0900268554688,1013613,88.22000122070312,88.30000305175781,87.91000366210938,87.95800018310547,2046285,381.19000244140625,384.0799865722656,381.05999755859375,382.19500732421875,1272876,299.1600036621094,300.32000732421875,298.6700134277344,300.0050048828125,2831757
2026-05-20 12:30:00-04:00,263.3900146484375,263.4700012207031,262.3699951171875,263.3800964355469,2849212,604.1881103515625,605.47998046875,603.3400268554688,605.2650146484375,604131,87.95500183105469,88.21499633789062,87.7500991821289,88.16500091552734,1937435,382.18499755859375,382.510009765625,380.9800109863281,382.0799865722656,985342,299.989990234375,301.2699890136719,299.57000732421875,301.04998779296875,2841773
2026-05-20 13:30:00-04:00,263.3949890136719,263.94000244140625,263.1300048828125,263.8550109863281,2307801,605.27001953125,605.739990234375,604.22998046875,605.1599731445312,546528,88.16999816894531,88.36499786376953,88.05999755859375,88.2249984741211,1527071,382.0899963378906,383.6875,381.2300109863281,383.19000244140625,1076309,301.05999755859375,301.7200012207031,300.9100036621094,301.4700012207031,3006343
2026-05-20 14:30:00-04:00,263.8699951171875,264.79998779296875,263.80999755859375,264.2300109863281,2732892,605.110107421875,607.010009765625,602.6799926757812,603.47998046875,1015243,88.23500061035156,88.44499969482422,88.16500091552734,88.30999755859375,1884872,383.19940185546875,384.3999938964844,382.760009765625,384.1000061035156,1232777,301.4700012207031,302.79998779296875,301.4700012207031,302.19000244140625,4224441
2026-05-20 15:30:00-04:00,264.2349853515625,265.3500061035156,263.9599914550781,265.010009765625,4524146,603.47998046875,605.4099731445312,603.0900268554688,605.0599975585938,1078499,88.31999969482422,88.42500305175781,88.0199966430664,88.0999984741211,2434538,384.0799865722656,385.3299865722656,383.739990234375,384.8900146484375,1771686,302.20001220703125,302.5199890136719,301.8575134277344,302.2650146484375,3803278
2026-05-21 09:30:00-04:00,263.54998779296875,264.5199890136719,261.3699951171875,263.6600036621094,8604483,600.2000122070312,601.969970703125,594.8082885742188,596.9000244140625,3522748,88.04000091552734,88.95989990234375,87.52010345458984,88.87000274658203,4373783,381.885009765625,383.1199951171875,379.4800109863281,382.7301025390625,3407765,301.04998779296875,303.07000732421875,300.3999938964844,301.9508972167969,6886720
2026-05-21 10:30:00-04:00,263.6499938964844,264.9800109863281,262.5,264.70001220703125,4235662,596.9000244140625,602.2849731445312,596.25,602.0399780273438,1549835,88.86499786376953,89.4000015258789,88.4000015258789,89.38500213623047,3961458,382.8299865722656,385.5799865722656,382.6600036621094,385.44500732421875,2189711,301.92999267578125,303.3599853515625,301.5801086425781,303.0249938964844,3181261
