Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25 13:30:00+00:00,291.7200012207031,294.6600036621094,288.8399963378906,289.6300048828125,5508368,211.6199951171875,213.07000732421875,211.1199951171875,211.8300018310547,9862926,91.73500061035156,92.4000015258789,91.23500061035156,92.16000366210938,5597610,254.02000427246094,254.97999572753906,251.60000610351562,252.86000061035156,5252200,598.739990234375,603.6199951171875,595.219970703125,599.7301025390625,2919583
2026-03-25 14:30:00+00:00,289.6400146484375,290.8699951171875,288.05999755859375,289.7900085449219,2991639,211.86000061035156,212.4600067138672,209.89999389648438,211.16000366210938,4630989,92.16000366210938,92.42990112304688,91.45999908447266,91.9000015258789,3130890,252.8699951171875,254.2899932861328,252.60000610351562,254.2449951171875,3411621,599.7849731445312,600.6978759765625,593.6400756835938,598.1199951171875,1834007
2026-03-25 15:30:00+00:00,289.7799987792969,289.9599914550781,288.1300048828125,289.55999755859375,2019114,211.13999938964844,212.05999755859375,210.52499389648438,211.88999938964844,3209386,91.90499877929688,92.12999725341797,91.24500274658203,92.1050033569336,2523819,254.24000549316406,254.4600067138672,253.08999633789062,253.9250030517578,2284849,598.125,600.0,597.0399780273438,598.6898803710938,1245787
2026-03-25 16:30:00+00:00,289.70001220703125,289.94000244140625,288.6000061035156,289.19000244140625,1656445,211.88999938964844,212.7100067138672,211.74000549316406,212.5500030517578,3598867,92.1050033569336,92.50499725341797,92.05999755859375,92.31500244140625,4281537,254.0,254.64999389648438,253.74000549316406,254.14500427246094,2123725,598.5700073242188,602.5599975585938,596.8699951171875,601.4249877929688,890866
2026-03-25 17:30:00+00:00,289.20001220703125,290.0459899902344,288.0513916015625,288.215087890625,1788556,212.55999755859375,212.89999389648438,211.35000610351562,211.64999389648438,3482464,92.31999969482422,92.5199966430664,92.11499786376953,92.2074966430664,2872276,254.1199951171875,254.50999450683594,253.73500061035156,253.9600067138672,1763468,601.47998046875,601.7100219726562,596.3806762695312,596.5750122070312,1212191
2026-03-25 18:30:00+00:00,288.2349853515625,288.55999755859375,287.3699951171875,288.3800048828125,1929202,211.63999938964844,211.82000732421875,210.9199981689453,211.47000122070312,2777059,92.19999694824219,92.46990203857422,92.0250015258789,92.16500091552734,2925822,253.9499969482422,254.05499267578125,252.25999450683594,252.625,2548509,596.6099853515625,598.9500122070312,593.75,595.9299926757812,1531290
2026-03-25 19:30:00+00:00,288.3800048828125,289.6700134277344,288.20001220703125,289.5799865722656,2287259,211.4600067138672,211.75,211.05999755859375,211.7050018310547,3712944,92.16500091552734,92.38500213623047,91.97000122070312,92.27999877929688,3430431,252.63499450683594,252.71499633789062,252.00999450683594,252.57000732421875,3058584,595.8800048828125,595.8800048828125,593.4000244140625,594.9500122070312,1394525
2026-03-26 13:30:00+00:00,286.04901123046875,286.2950134277344,282.92999267578125,284.875,5681304,210.57000732421875,212.52000427246094,207.8000030517578,212.0,9405025,91.53399658203125,93.68499755859375,91.01000213623047,93.16999816894531,7711617,251.9949951171875,256.239990234375,250.77499389648438,255.91000366210938,7345489,582.530029296875,583.0,568.6500244140625,568.7899780273438,6595218
