Ticker,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26 09:30:00-04:00,609.5999755859375,614.469970703125,605.5850219726562,608.9400024414062,3457320,309.3999938964844,311.82000732421875,309.3500061035156,311.7200012207031,9245876,88.38400268554688,88.7249984741211,87.55500030517578,87.67500305175781,5495760,267.57501220703125,269.29998779296875,265.4100036621094,265.4440002441406,8433362,380.9949951171875,384.4125061035156,379.1400146484375,383.5,3901705
2026-05-26 10:30:00-04:00,608.7000122070312,608.9400024414062,605.6099853515625,607.1400146484375,1503408,311.7300109863281,311.80999755859375,310.8599853515625,311.3599853515625,3935923,87.68000030517578,87.79000091552734,87.25,87.72000122070312,3167525,265.41009521484375,265.41448974609375,263.5201110839844,263.84149169921875,5517323,383.5,385.3900146484375,381.94000244140625,382.2149963378906,2251147
2026-05-26 11:30:00-04:00,607.0900268554688,609.989990234375,605.3001098632812,609.9400024414062,1200481,311.3800048828125,311.57000732421875,309.7699890136719,310.4704895019531,3714586,87.72000122070312,88.04000091552734,87.61000061035156,87.98999786376953,1907429,263.8800048828125,264.07000732421875,263.2200012207031,264.05999755859375,3119940,382.2099914550781,383.3450012207031,381.80999755859375,382.8900146484375,1496199
2026-05-26 12:30:00-04:00,609.9400024414062,610.9550170898438,608.7249755859375,609.0900268554688,787569,310.4849853515625,310.7699890136719,309.0299987792969,309.18499755859375,5208906,87.98999786376953,88.11499786376953,87.84500122070312,87.88500213623047,2269299,264.07000732421875,264.25,262.07000732421875,262.2799987792969,3465934,382.8700866699219,383.2699890136719,381.3699951171875,381.9200134277344,1192285
2026-05-26 13:30:00-04:00,609.1649780273438,610.5999755859375,608.3099975585938,610.114990234375,714903,309.19000244140625,310.20001220703125,309.1099853515625,309.8299865722656,2909764,87.88999938964844,88.04499816894531,87.68000030517578,87.78500366210938,1527050,262.2699890136719,263.3900146484375,262.1650085449219,263.2650146484375,2834593,381.93499755859375,383.32000732421875,381.7900085449219,382.6499938964844,890785
2026-05-26 14:30:00-04:00,610.1199951171875,610.889892578125,608.75,609.0999755859375,800892,309.8399963378906,310.05999755859375,308.0799865722656,308.3799133300781,3079448,87.7886962890625,87.8499984741211,87.5999984741211,87.73999786376953,2034733,263.260009765625,264.29998779296875,262.510009765625,264.260009765625,3701030,382.6499938964844,383.25,381.7850036621094,383.19500732421875,1173983
2026-05-26 15:30:00-04:00,609.1400146484375,612.4199829101562,608.9199829101562,612.3400268554688,930581,308.360107421875,308.9599914550781,307.6700134277344,308.3800048828125,4315325,87.73999786376953,87.81999969482422,87.56999969482422,87.68000030517578,2784424,264.239990234375,265.739990234375,264.239990234375,265.30999755859375,4027161,383.2200012207031,384.9700012207031,383.135009765625,384.9200134277344,1532247
2026-05-27 09:30:00-04:00,609.760009765625,616.0999755859375,609.2109985351562,615.0,2770595,308.44000244140625,312.7699890136719,308.3299865722656,311.260009765625,9481867,87.0459976196289,88.47000122070312,86.81999969482422,88.29499816894531,5837367,266.1499938964844,270.6600036621094,265.7001037597656,269.8900146484375,10163044,382.8125,388.8999938964844,382.0,387.7200012207031,3889192
