Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02 09:30:00-04:00,75.15799713134766,76.38990020751953,74.91000366210938,76.19999694824219,10292219,241.6024932861328,244.69949340820312,241.0800018310547,244.07000732421875,7849573,294.0849914550781,305.32000732421875,293.67999267578125,305.04998779296875,15588276,356.1499938964844,360.7699890136719,355.0,358.8999938964844,3096468,607.89501953125,610.0,588.7999877929688,590.9199829101562,7109387
2026-07-02 10:30:00-04:00,76.19000244140625,77.1500015258789,76.12999725341797,76.69000244140625,6124867,244.1300048828125,245.8800048828125,243.8000030517578,244.75999450683594,9075076,305.04400634765625,307.82000732421875,304.8500061035156,305.4150085449219,11321356,358.989990234375,360.989990234375,353.5199890136719,353.864990234375,2528219,590.9749755859375,592.8499755859375,585.8800048828125,587.864990234375,2482770
2026-07-02 11:30:00-04:00,76.69000244140625,77.48500061035156,76.5199966430664,77.43499755859375,4831000,244.8000030517578,246.72000122070312,244.52000427246094,246.13999938964844,4368011,305.4200134277344,308.45001220703125,305.2799987792969,308.0899963378906,7200646,353.8949890136719,354.8599853515625,350.94000244140625,352.1099853515625,1613418,587.875,590.0,584.3099975585938,587.0899047851562,1849384
2026-07-02 12:30:00-04:00,77.43000030517578,78.2750015258789,77.33999633789062,78.1050033569336,7030190,246.1300048828125,246.2100067138672,243.7550048828125,244.88499450683594,3187675,308.0899963378906,308.5299072265625,306.6700134277344,307.80499267578125,6654699,352.1050109863281,352.5,350.32000732421875,351.92999267578125,1134318,587.010009765625,587.4400024414062,584.1500244140625,584.989990234375,1192808
2026-07-02 13:30:00-04:00,78.1050033569336,78.43000030517578,78.08999633789062,78.2699966430664,5663512,244.8699951171875,245.4290008544922,243.50999450683594,243.8800048828125,4761423,307.80499267578125,308.29998779296875,306.8200988769531,307.3299865722656,5550150,351.947998046875,355.2699890136719,351.7200012207031,355.0899963378906,1016571,584.9650268554688,586.8099975585938,583.760009765625,586.47998046875,1182767
2026-07-02 14:30:00-04:00,78.26499938964844,78.43000030517578,77.86499786376953,78.11499786376953,5759384,243.8699951171875,244.2299041748047,242.67010498046875,243.97999572753906,3608833,307.3399963378906,308.30999755859375,307.1300048828125,307.42498779296875,5450575,355.0150146484375,356.260009765625,354.3299865722656,355.5899963378906,1040574,586.344970703125,587.6900024414062,580.4199829101562,586.2550048828125,2154604
2026-07-02 15:30:00-04:00,78.11499786376953,78.15499877929688,77.58499908447266,77.5999984741211,7040372,243.9600067138672,244.13999938964844,242.27999877929688,242.27999877929688,4247394,307.44000244140625,309.4200134277344,307.2099914550781,308.2200012207031,8660612,355.6199951171875,356.80999755859375,355.30999755859375,355.8699951171875,1984329,586.2550048828125,586.7999877929688,582.5700073242188,582.6500244140625,2296882
2026-07-06 09:30:00-04:00,77.07499694824219,77.83999633789062,75.75,76.0010986328125,8707594,243.7949981689453,245.50999450683594,240.8800048828125,243.08999633789062,7183355,307.67999267578125,311.75,307.010009765625,311.7300109863281,10212875,358.19500732421875,360.4100036621094,354.1994934082031,357.875,3474542,594.8400268554688,597.6799926757812,581.760009765625,587.3900146484375,3807410
