Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-26 14:30:00+00:00,83.16500091552734,84.55999755859375,82.81999969482422,83.44999694824219,15016358,210.72999572753906,211.0500030517578,207.05029296875,207.50999450683594,7140858,312.9200134277344,313.0,302.4100036621094,303.3399963378906,3957374,650.5499877929688,660.9000244140625,647.6649780273438,650.969970703125,2242234,274.9549865722656,276.1099853515625,270.8399963378906,272.0,5054219
2026-02-26 15:30:00+00:00,83.45500183105469,87.62000274658203,83.17320251464844,84.0250015258789,0,207.50999450683594,209.14990234375,206.9499969482422,208.18760681152344,4421092,303.2591857910156,307.2301025390625,302.57000732421875,307.1000061035156,6227050,650.7999877929688,657.1566772460938,647.5,655.3800048828125,1972649,271.9200134277344,272.78509521484375,270.7950134277344,272.5400085449219,2579542
2026-02-26 16:30:00+00:00,84.0250015258789,84.87999725341797,83.44000244140625,84.79499816894531,4721949,208.1699981689453,208.2899932861328,206.4600067138672,206.970703125,3152860,307.0899963378906,307.70001220703125,305.0,305.3500061035156,0,655.3400268554688,655.8099975585938,652.9099731445312,653.969970703125,0,272.5299987792969,272.7300109863281,271.5126953125,271.760009765625,1300410
2026-02-26 17:30:00+00:00,84.79499816894531,85.16999816894531,84.30000305175781,84.73500061035156,4430894,206.97000122070312,207.33999633789062,205.3498992919922,205.5399932861328,3216873,305.32000732421875,305.70001220703125,304.5799865722656,304.7300109863281,963909,653.9000244140625,655.4249877929688,652.780029296875,653.6599731445312,472173,271.7550048828125,272.0249938964844,270.9100036621094,271.3900146484375,1189482
2026-02-26 18:30:00+00:00,84.73999786376953,85.5,84.69999694824219,85.375,3734796,205.5500030517578,207.99000549316406,205.52000427246094,207.53720092773438,3084324,304.739990234375,308.19000244140625,304.69000244140625,307.6499938964844,6555836,653.7249755859375,658.5499877929688,653.5900268554688,657.344970703125,529417,271.4100036621094,272.94000244140625,270.8529968261719,272.79998779296875,1838921
2026-02-26 19:30:00+00:00,85.37850189208984,85.48999786376953,84.91999816894531,85.16000366210938,4232847,207.52000427246094,208.38499450683594,207.4199981689453,207.75010681152344,2263662,307.6600036621094,308.1199951171875,306.8999938964844,307.010009765625,0,657.4099731445312,659.2000122070312,655.8900146484375,656.8499755859375,520068,272.80499267578125,273.5,272.5799865722656,272.6300048828125,1756013
2026-02-26 20:30:00+00:00,85.16500091552734,85.37000274658203,84.38999938964844,84.62000274658203,5198758,207.74000549316406,208.10000610351562,207.5399932861328,207.91000366210938,2399989,307.0199890136719,307.8900146484375,306.510009765625,307.15899658203125,1228449,656.8499755859375,658.0999755859375,655.719970703125,657.010009765625,604366,272.6449890136719,273.07000732421875,272.20001220703125,272.989990234375,1906660
2026-02-27 14:30:00+00:00,94.40499877929688,94.43000030517578,90.5999984741211,91.93000030517578,41199316,206.7899932861328,208.77000427246094,205.1999969482422,208.18499755859375,7814815,303.94000244140625,309.5,303.59051513671875,307.95001220703125,2770322,643.4500122070312,649.4400024414062,639.610107421875,646.6400146484375,1439474,272.80999755859375,272.80999755859375,268.29998779296875,268.5050048828125,8446879
