Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16 09:30:00-04:00,248.0,248.42999267578125,245.4510955810547,246.80999755859375,7720323,367.375,370.05499267578125,365.32000732421875,368.42999267578125,2360795,81.875,81.93000030517578,78.68180084228516,78.88500213623047,12807302,593.489990234375,605.780029296875,593.3900146484375,593.5401000976562,3171042,295.2449951171875,298.0,293.9700012207031,297.5350036621094,6748020
2026-06-16 10:30:00-04:00,246.8300018310547,249.50999450683594,246.22999572753906,248.7281951904297,4535217,368.4200134277344,373.6000061035156,368.2900085449219,373.05999755859375,2242359,78.88500213623047,79.19000244140625,78.43000030517578,79.11499786376953,9135610,593.5399780273438,598.6599731445312,592.0,596.885009765625,1522329,297.5350036621094,298.45001220703125,296.95001220703125,298.20001220703125,4597668
2026-06-16 11:30:00-04:00,248.74000549316406,248.8699951171875,247.08999633789062,247.13999938964844,3181239,373.19000244140625,373.4150085449219,369.6199951171875,370.2099914550781,1915503,79.12000274658203,79.58000183105469,78.55000305175781,78.78500366210938,6448329,596.8300170898438,597.119873046875,594.3900146484375,596.3300170898438,852860,298.2200012207031,299.2749938964844,297.5,298.94000244140625,3946079
2026-06-16 12:30:00-04:00,247.1199951171875,247.35000610351562,245.69000244140625,245.8300018310547,2889814,370.19000244140625,370.30999755859375,367.6600036621094,368.4150085449219,1167754,78.77999877929688,79.08999633789062,78.2300033569336,78.2699966430664,5485941,596.280029296875,597.7100219726562,595.7000122070312,596.1699829101562,609938,298.94000244140625,300.4800109863281,298.8041076660156,300.2749938964844,3798624
2026-06-16 13:30:00-04:00,245.83999633789062,246.47999572753906,245.50999450683594,246.2100067138672,2691611,368.3949890136719,370.4880065917969,368.3399963378906,370.20001220703125,1062324,78.27010345458984,78.37999725341797,77.70999908447266,78.26629638671875,6882182,596.3049926757812,598.72998046875,595.080078125,598.219970703125,578839,300.260009765625,300.4599914550781,298.5679931640625,298.7250061035156,2578695
2026-06-16 14:30:00-04:00,246.22000122070312,246.72999572753906,245.8350067138672,246.10000610351562,3282229,370.20001220703125,371.7900085449219,370.010009765625,370.30499267578125,2354682,78.26499938964844,78.67549896240234,78.12999725341797,78.50499725341797,6687900,598.1400146484375,600.3599853515625,598.1400146484375,598.8001098632812,1041420,298.7200927734375,299.63031005859375,298.2200012207031,298.3399963378906,3427537
2026-06-16 15:30:00-04:00,246.1199951171875,246.3300018310547,245.66929626464844,246.07000732421875,3766387,370.29998779296875,371.81988525390625,369.6600036621094,371.20001220703125,1674299,78.5,78.91999816894531,78.5,78.73999786376953,7239521,598.8499755859375,601.239990234375,596.9299926757812,600.2999877929688,1527595,298.3299865722656,299.489990234375,298.2300109863281,299.25,4462522
2026-06-17 09:30:00-04:00,245.00999450683594,245.91000366210938,241.5500030517578,242.0399932861328,7268057,367.010009765625,370.1000061035156,363.0,365.0299987792969,2643583,78.0999984741211,78.44000244140625,77.56999969482422,77.7699966430664,10469601,592.0020141601562,593.8099975585938,583.8900146484375,585.0499877929688,4053039,300.8450012207031,302.07000732421875,299.22198486328125,300.45001220703125,6436096
