Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-08 14:30:00+00:00,90.0,90.9000015258789,89.58000183105469,90.7699966430664,5602348,256.375,257.7699890136719,255.6999969482422,256.7449951171875,10183679,328.0,328.2298889160156,321.989990234375,326.45001220703125,5639008,644.25,644.440185546875,635.719970703125,642.010009765625,2458961,244.0,245.10000610351562,241.8800048828125,244.84010314941406,6866918
2026-01-08 15:30:00+00:00,90.7750015258789,90.785400390625,89.58000183105469,89.75499725341797,3815964,256.7200927734375,257.19000244140625,255.9499969482422,256.1099853515625,4167093,326.4200134277344,329.17999267578125,324.510009765625,326.4924011230469,2319669,641.8499755859375,645.030029296875,640.7999877929688,642.9749755859375,922903,244.84710693359375,245.25999450683594,243.74000549316406,244.47999572753906,2588098
2026-01-08 16:30:00+00:00,89.75250244140625,90.0999984741211,89.66000366210938,90.05500030517578,3611752,256.1099853515625,258.6000061035156,255.97000122070312,256.7090148925781,3892484,326.3999938964844,328.2099914550781,325.0101013183594,327.3893127441406,1481508,642.7999877929688,644.639892578125,641.0800170898438,643.2700805664062,626875,244.46499633789062,245.639892578125,244.0749969482422,245.3679962158203,3024695
2026-01-08 17:30:00+00:00,90.05500030517578,90.29499816894531,89.8239974975586,90.28600311279297,2614232,256.6900939941406,257.6300048828125,256.5979919433594,257.4800109863281,2448318,327.4100036621094,327.8500061035156,326.1099853515625,326.8999938964844,831160,643.2999877929688,644.5599975585938,640.7899780273438,641.2050170898438,549446,245.35000610351562,246.3000030517578,245.33099365234375,245.67250061035156,3057590
2026-01-08 18:30:00+00:00,90.28500366210938,91.25,90.28399658203125,90.56500244140625,3826466,257.510009765625,257.5199890136719,256.29998779296875,256.6000061035156,2399355,326.8800048828125,326.8999938964844,325.7099914550781,326.2200012207031,943200,641.2150268554688,644.3300170898438,640.7999877929688,643.530029296875,668312,245.69000244140625,246.25,245.43919372558594,245.8000030517578,2314322
2026-01-08 19:30:00+00:00,90.55999755859375,90.68000030517578,90.30999755859375,90.39969635009766,2598929,256.6050109863281,258.3299865722656,256.3800048828125,258.2799987792969,3537960,326.1099853515625,326.1600036621094,324.69000244140625,325.81500244140625,1322194,643.530029296875,645.2000122070312,643.530029296875,644.8400268554688,734556,245.7899932861328,246.10000610351562,245.35989379882812,245.80999755859375,2155654
2026-01-08 20:30:00+00:00,90.4000015258789,90.62999725341797,90.30000305175781,90.5199966430664,2641154,258.2799987792969,259.2799987792969,257.9601135253906,259.05999755859375,3213685,325.8599853515625,326.29998779296875,325.4800109863281,325.9700012207031,1342144,644.8699951171875,647.1019897460938,644.844970703125,645.9099731445312,682161,245.80999755859375,246.41000366210938,245.3699951171875,246.25900268554688,3376554
2026-01-09 14:30:00+00:00,90.02999877929688,90.04000091552734,88.31999969482422,88.94499969482422,10202063,259.07501220703125,260.0,256.2200927734375,258.4599914550781,7220053,327.59149169921875,330.8500061035156,326.25,330.32501220703125,4120571,645.5,651.0,642.8875122070312,649.260009765625,1872574,244.5679931640625,245.72999572753906,242.25,245.66000366210938,6359406
