Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-29 09:30:00-04:00,74.61499786376953,76.06890106201172,74.05000305175781,75.66000366210938,11572893,339.8810119628906,348.0299987792969,338.92999267578125,347.0119934082031,5384447,286.8599853515625,288.36968994140625,280.45001220703125,280.8699951171875,10629459,560.0,570.9000244140625,558.0,567.9398803710938,3932976,234.2449951171875,244.89999389648438,233.8000030517578,244.13999938964844,22033437
2026-06-29 10:30:00-04:00,75.66999816894531,75.87999725341797,75.2750015258789,75.6364974975586,5530653,347.0400085449219,349.7799987792969,346.239990234375,349.4516906738281,4098768,280.8800048828125,282.8299865722656,280.3299865722656,282.3301086425781,7865974,567.655029296875,569.3400268554688,562.489990234375,566.7050170898438,1472179,244.10000610351562,246.7550048828125,242.0800018310547,242.94000244140625,11436903
2026-06-29 11:30:00-04:00,75.62999725341797,75.66000366210938,74.75,74.8510971069336,4370133,349.44000244140625,351.04998779296875,348.57000732421875,350.0799865722656,2893286,282.3424987792969,283.03448486328125,280.2200012207031,280.55999755859375,7404129,566.77001953125,566.9199829101562,563.3599853515625,564.52001953125,1317842,242.96499633789062,252.52499389648438,240.05169677734375,240.2449951171875,7459563
2026-06-29 12:30:00-04:00,74.8550033569336,74.9386978149414,74.30999755859375,74.6500015258789,3467569,350.0799865722656,350.95001220703125,348.7308044433594,350.635009765625,2013168,280.55999755859375,281.5400085449219,279.8500061035156,281.4800109863281,5224516,564.4000244140625,565.8800048828125,563.0900268554688,564.6199951171875,959030,240.25,241.59750366210938,239.72000122070312,240.80999755859375,5581265
2026-06-29 13:30:00-04:00,74.6449966430664,74.80999755859375,73.98500061035156,74.18499755859375,3589105,350.6300048828125,351.739013671875,350.125,350.8399963378906,1888533,281.4700012207031,282.29998779296875,280.8599853515625,281.54998779296875,4206523,564.6799926757812,566.239990234375,564.0800170898438,565.1649780273438,711916,240.81500244140625,241.5399932861328,240.1199951171875,240.24000549316406,3842243
2026-06-29 14:30:00-04:00,74.18990325927734,74.22000122070312,73.88999938964844,74.03700256347656,3783270,350.79998779296875,351.45001220703125,349.6400146484375,349.7699890136719,1894580,281.54998779296875,283.0775146484375,281.4549865722656,282.67999267578125,5654409,565.0501098632812,566.614990234375,563.9500122070312,563.97998046875,1040813,240.23500061035156,241.99000549316406,239.94000244140625,240.2449951171875,8545770
2026-06-29 15:30:00-04:00,74.02999877929688,74.07990264892578,73.73500061035156,73.75,4744921,349.7491149902344,351.9700012207031,349.739990234375,351.0799865722656,2497685,282.7099914550781,282.739990234375,281.4700012207031,281.6300048828125,6544751,564.0900268554688,567.4299926757812,562.0499877929688,562.3300170898438,1561959,240.25999450683594,240.55999755859375,239.72500610351562,240.1199951171875,8784580
2026-06-30 09:30:00-04:00,73.58999633789062,73.74500274658203,72.54000091552734,72.66000366210938,6567167,351.3550109863281,352.3500061035156,348.1099853515625,350.864990234375,2814624,281.1700134277344,286.2898864746094,280.69500732421875,286.0249938964844,9106597,560.9400024414062,561.510009765625,554.14501953125,556.35498046875,2659321,237.42999267578125,240.4600067138672,237.19000244140625,239.55499267578125,12033175
