Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30 14:30:00+00:00,727.5,732.1699829101562,720.2899780273438,720.4583129882812,4144122,239.8800048828125,243.31500244140625,238.57000732421875,242.30999755859375,6130228,83.11000061035156,84.05500030517578,82.9800033569336,83.08000183105469,7774838,255.1649932861328,258.70001220703125,252.17999267578125,254.0,18411294,334.5400085449219,340.289306640625,332.6400146484375,338.4200134277344,3212162
2026-01-30 15:30:00+00:00,720.4000244140625,722.3400268554688,719.7999877929688,721.8775024414062,256491,242.3000030517578,242.41000366210938,241.7100067138672,241.8000030517578,246715,83.07499694824219,83.1449966430664,83.0199966430664,83.08499908447266,138621,254.0800018310547,254.9499969482422,253.69500732421875,254.9199981689453,595102,338.3999938964844,338.6400146484375,337.7200012207031,338.1050109863281,282476
2026-02-02 18:30:00+00:00,713.010009765625,715.594970703125,712.530029296875,712.739990234375,2190980,243.47999572753906,244.0500030517578,243.4499969482422,243.52999877929688,10135803,83.19499969482422,83.38999938964844,82.87999725341797,82.91999816894531,12452493,266.7900085449219,267.3500061035156,266.6199951171875,267.17999267578125,7990643,343.8800048828125,344.9100036621094,343.7699890136719,344.0799865722656,5736704
2026-02-02 19:30:00+00:00,712.7849731445312,713.4899291992188,708.9299926757812,710.0399780273438,847458,243.52999877929688,243.9600067138672,242.69500732421875,242.9582061767578,2475474,82.9000015258789,83.19999694824219,82.7300033569336,83.13349914550781,2991802,267.125,269.56988525390625,266.82000732421875,268.9800109863281,6110168,344.04998779296875,345.1650085449219,343.7250061035156,344.5150146484375,2024247
2026-02-02 20:30:00+00:00,709.9500122070312,710.0750122070312,706.219970703125,706.4199829101562,1031896,242.9499969482422,243.3800048828125,242.55999755859375,242.9600067138672,2671799,83.13999938964844,83.16000366210938,82.72010040283203,82.73999786376953,2540156,268.9750061035156,270.489990234375,268.8399963378906,269.9599914550781,6031354,344.510009765625,345.0,344.0249938964844,344.8900146484375,6472834
2026-02-03 14:30:00+00:00,707.3699951171875,717.0,695.75,696.0,2460117,245.07000732421875,246.35000610351562,237.7100067138672,239.21499633789062,9718761,82.19000244140625,82.44999694824219,81.04000091552734,81.57499694824219,6458944,269.1300048828125,271.5799865722656,267.69000244140625,269.885009765625,9032813,349.0,350.1499938964844,342.1000061035156,344.6083984375,4824954
2026-02-03 15:30:00+00:00,695.864990234375,701.4000244140625,694.1500244140625,696.9949951171875,1070148,239.19000244140625,239.64999389648438,236.97999572753906,237.5800018310547,4987668,81.57050323486328,81.62999725341797,81.06500244140625,81.07499694824219,3359996,269.8500061035156,271.2850036621094,267.6099853515625,268.8949890136719,5335029,344.510009765625,346.6499938964844,342.7200012207031,344.239990234375,1914710
2026-02-03 16:30:00+00:00,697.0700073242188,699.9299926757812,696.3699951171875,697.1500244140625,628665,237.58999633789062,237.89999389648438,236.36000061035156,237.3000030517578,3048779,81.07499694824219,81.0999984741211,80.30000305175781,80.30549621582031,4194189,268.8999938964844,270.5,268.2900085449219,268.8999938964844,3977028,344.2300109863281,345.010009765625,342.3299865722656,342.3450012207031,1282207
