Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:30:00+00:00,208.7449951171875,212.24000549316406,206.41099548339844,211.80499267578125,13722439,82.66999816894531,84.66000366210938,82.30000305175781,84.23500061035156,13095697,320.9599914550781,321.6199951171875,314.6600036621094,319.2300109863281,6422015,677.3800048828125,680.6500244140625,671.0700073242188,672.3900146484375,1532612,274.885009765625,275.3599853515625,273.2099914550781,274.4200134277344,4751268
2026-02-10 15:30:00+00:00,211.8000030517578,212.64990234375,209.84010314941406,210.08740234375,6390167,84.23370361328125,84.45999908447266,83.12000274658203,83.37999725341797,0,319.2300109863281,320.260009765625,316.8301086425781,318.1014099121094,2312476,672.4400024414062,675.9799194335938,669.8099975585938,670.6500244140625,962752,274.3900146484375,274.9100036621094,273.989990234375,274.05999755859375,1866180
2026-02-10 16:30:00+00:00,210.05999755859375,210.6300048828125,209.39999389648438,209.9949951171875,3619860,83.37999725341797,83.54000091552734,82.73999786376953,82.80989837646484,2534988,318.04998779296875,319.6700134277344,317.6099853515625,319.19000244140625,1814987,670.6199951171875,674.7849731445312,670.0,674.0250244140625,602235,274.0199890136719,274.0498962402344,272.94000244140625,273.3500061035156,2051404
2026-02-10 17:30:00+00:00,209.99000549316406,210.4499969482422,207.72999572753906,207.75999450683594,4261726,82.79499816894531,83.0199966430664,82.5199966430664,82.55500030517578,9493313,319.17999267578125,319.6300048828125,318.27178955078125,319.3800048828125,1308273,674.25,677.4298706054688,672.6099853515625,673.260009765625,580841,273.3500061035156,274.19000244140625,273.1499938964844,274.05499267578125,1646593
2026-02-10 18:30:00+00:00,207.75,208.7899932861328,207.43499755859375,208.2550048828125,3710639,82.55500030517578,82.83000183105469,82.47000122070312,82.79499816894531,3095599,319.3500061035156,319.45001220703125,318.55999755859375,319.0899963378906,988624,673.25,674.0,671.39501953125,673.0999755859375,391390,274.05499267578125,274.2699890136719,273.6600036621094,273.9649963378906,1371940
2026-02-10 19:30:00+00:00,208.25999450683594,208.32000732421875,207.39999389648438,207.71800231933594,3879423,82.79499816894531,82.91999816894531,82.42500305175781,82.53500366210938,0,319.1099853515625,320.2900085449219,319.0899963378906,320.10589599609375,1529688,673.1599731445312,673.8200073242188,670.85009765625,672.3900756835938,547286,273.9700012207031,274.29998779296875,273.5199890136719,274.07000732421875,1515644
2026-02-10 20:30:00+00:00,207.7100067138672,207.88999938964844,206.8800048828125,206.99000549316406,23218376,82.52999877929688,82.61000061035156,82.08999633789062,82.19999694824219,2966535,320.0799865722656,320.3900146484375,318.42999267578125,318.6199951171875,1719360,672.4550170898438,674.9000244140625,669.7899780273438,670.969970703125,1113874,274.0799865722656,274.489990234375,273.30999755859375,273.7900085449219,2174373
2026-02-11 14:30:00+00:00,208.07000732421875,208.57000732421875,204.1750030517578,204.96189880371094,12699466,81.94000244140625,82.4800033569336,80.02999877929688,80.03900146484375,6748078,318.9549865722656,321.0400085449219,311.75,311.8900146484375,4357393,674.0,679.2675170898438,660.9500122070312,662.1099853515625,2225357,274.69500732421875,277.44000244140625,274.45001220703125,277.05010986328125,9496956
