Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11 09:30:00-04:00,254.0449981689453,256.91180419921875,253.13999938964844,255.72000122070312,6150532,76.6050033569336,76.97000122070312,76.1500015258789,76.44000244140625,3528096,653.02001953125,664.239990234375,648.510009765625,651.9000244140625,4637935,332.8590087890625,338.3262023925781,332.739990234375,337.32000732421875,3313801,327.6300048828125,334.5899963378906,326.29998779296875,334.0851135253906,14521482
2026-09-11 10:30:00-04:00,255.72000122070312,256.5498962402344,254.6999969482422,256.32000732421875,2597374,76.41999816894531,76.79000091552734,76.37000274658203,76.75499725341797,2066796,651.97998046875,654.3795166015625,648.9099731445312,652.27001953125,1520918,337.3699951171875,339.95001220703125,336.5199890136719,338.989990234375,2009006,334.0882873535156,336.2200012207031,332.4200134277344,335.57000732421875,9018937
2026-09-11 11:30:00-04:00,256.31500244140625,256.385009765625,255.48500061035156,255.55999755859375,2213363,76.75499725341797,76.88999938964844,76.61180114746094,76.7593002319336,1973381,652.2899780273438,654.6699829101562,648.8809814453125,648.9299926757812,1042811,339.0350036621094,339.1199951171875,337.260009765625,337.30999755859375,1018550,335.5400085449219,335.5400085449219,333.6300048828125,334.1700134277344,4739878
2026-09-11 12:30:00-04:00,255.57000732421875,256.8800048828125,255.41000366210938,256.70001220703125,1610493,76.75499725341797,77.14969635009766,76.68499755859375,77.05000305175781,1739014,648.9849853515625,650.6900024414062,647.4000244140625,650.2440185546875,1222347,337.3299865722656,338.3500061035156,337.0899963378906,337.67999267578125,1243793,334.19000244140625,334.8500061035156,333.8299865722656,333.95001220703125,2580323
2026-09-11 13:30:00-04:00,256.69000244140625,257.25,256.19000244140625,256.6300048828125,2214489,77.04010009765625,77.28500366210938,77.01000213623047,77.2698974609375,1855174,650.3150024414062,651.1900024414062,648.2000122070312,649.3400268554688,869120,337.6600036621094,338.0,336.0199890136719,336.4700927734375,1548485,333.9599914550781,334.29998779296875,332.54998779296875,332.8550109863281,3573189
2026-09-11 14:30:00-04:00,256.6600036621094,257.44000244140625,256.57000732421875,257.2900085449219,2040659,77.26499938964844,77.48529815673828,77.17040252685547,77.43000030517578,2347697,649.4099731445312,651.27001953125,648.674072265625,651.0750122070312,1097219,336.5199890136719,336.5249938964844,335.67999267578125,336.07000732421875,624151,332.8599853515625,333.1789855957031,332.3900146484375,332.6401062011719,4162608
2026-09-11 15:30:00-04:00,257.2774963378906,257.5899963378906,256.6600036621094,256.7900085449219,3600039,77.44000244140625,77.56610107421875,77.36000061035156,77.4000015258789,3101093,651.0750122070312,651.1400146484375,646.2000122070312,648.22998046875,1646766,336.0899963378906,336.1499938964844,335.2200012207031,335.42999267578125,1536479,332.67999267578125,333.07000732421875,332.07000732421875,332.2300109863281,3626964
2026-09-14 09:30:00-04:00,253.375,255.1999969482422,250.75,251.92010498046875,8792005,78.97000122070312,80.30000305175781,78.48999786376953,79.81500244140625,9041100,657.6199951171875,663.9000244140625,649.25,653.1500854492188,5866575,339.1099853515625,343.6400146484375,338.739990234375,340.6099853515625,5592896,334.8299865722656,335.0799865722656,331.3399963378906,333.19500732421875,9965651
