Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 09:30:00-04:00,85.6050033569336,85.97989654541016,83.45999908447266,84.04000091552734,9903246,363.2799987792969,367.44189453125,355.0,367.0199890136719,11579040,603.3499755859375,605.77001953125,596.6799926757812,603.2050170898438,5067468,257.1600036621094,258.0,254.3699951171875,257.7799987792969,11580176,307.4599914550781,310.4700012207031,306.7200012207031,310.3399963378906,7411659
2026-06-02 10:30:00-04:00,84.05000305175781,84.2699966430664,83.66999816894531,83.67500305175781,4934621,366.9700012207031,369.7898864746094,365.8800048828125,366.2449951171875,3200556,603.1900024414062,608.8800048828125,602.8049926757812,607.3699951171875,2132122,257.8099060058594,261.2025146484375,257.760009765625,260.67999267578125,5378234,310.375,312.92999267578125,309.260009765625,312.7099914550781,4895435
2026-06-02 11:30:00-04:00,83.67500305175781,84.2300033569336,83.58999633789062,84.1449966430664,4590795,366.2149963378906,366.2300109863281,362.67010498046875,363.8399963378906,2414535,607.3051147460938,608.3699951171875,605.4000244140625,607.4099731445312,1709185,260.70001220703125,260.7699890136719,258.4200134277344,259.2200012207031,3317773,312.70001220703125,313.1499938964844,312.0400085449219,312.489990234375,3617660
2026-06-02 12:30:00-04:00,84.1449966430664,84.39749908447266,84.04499816894531,84.38500213623047,3107703,363.82550048828125,365.4049987792969,363.2799987792969,363.9800109863281,1549838,607.4400024414062,608.2999877929688,605.4299926757812,606.22998046875,815786,259.2298889160156,259.25,257.5899963378906,257.625,2380703,312.4800109863281,315.1000061035156,311.8999938964844,314.67999267578125,5289704
2026-06-02 13:30:00-04:00,84.38500213623047,84.41000366210938,83.6500015258789,83.68499755859375,2944575,364.010009765625,364.8800048828125,361.0849914550781,361.2149963378906,1785136,606.155029296875,606.3900146484375,604.5,604.7000122070312,838253,257.6199951171875,258.5799865722656,257.3310852050781,258.1499938964844,3407560,314.67999267578125,315.45001220703125,313.7550048828125,314.239990234375,3783245
2026-06-02 14:30:00-04:00,83.68000030517578,83.80999755859375,83.39009857177734,83.41999816894531,5334753,361.2300109863281,362.1700134277344,360.4100036621094,360.5199890136719,2020291,604.6849975585938,604.97998046875,600.2100219726562,600.64501953125,1475884,258.1300048828125,258.5799865722656,257.75,257.92498779296875,2547452,314.2598876953125,315.2200012207031,314.19000244140625,314.7650146484375,3482397
2026-06-02 15:30:00-04:00,83.41500091552734,83.61499786376953,83.29000091552734,83.31999969482422,6102161,360.5299987792969,360.7900085449219,357.8500061035156,358.5,4366142,600.6699829101562,600.8599853515625,597.260009765625,597.6599731445312,2314799,257.9200134277344,258.17999267578125,256.3500061035156,256.5,4726240,314.760009765625,315.44000244140625,314.0299987792969,315.19000244140625,4596467
2026-06-03 09:30:00-04:00,82.88999938964844,83.30000305175781,81.80000305175781,81.80999755859375,8714236,358.3349914550781,362.5,357.19000244140625,357.6600036621094,13132128,602.989990234375,619.3800048828125,600.27001953125,616.2550048828125,6557720,254.6999969482422,257.0899963378906,252.58999633789062,252.72500610351562,10255887,314.17498779296875,316.94000244140625,314.0,314.3500061035156,9396189
