Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25 09:30:00-04:00,553.1298828125,553.7932739257812,540.2050170898438,553.510009765625,3916055,71.36750030517578,72.94000244140625,71.08999633789062,72.44499969482422,11049807,231.92999267578125,232.25999450683594,226.05999755859375,229.0449981689453,16203817,287.510009765625,288.79998779296875,277.4599914550781,279.6300048828125,22743842,336.67498779296875,341.5400085449219,335.8999938964844,340.1650085449219,5394416
2026-06-25 10:30:00-04:00,553.8499145507812,556.3400268554688,549.110107421875,552.8775024414062,1304040,72.44000244140625,72.45539855957031,71.7301025390625,72.25,4886417,229.02499389648438,229.8800048828125,228.35000610351562,229.85000610351562,7174098,279.635009765625,280.0899963378906,276.44000244140625,277.6400146484375,10113501,340.1650085449219,342.7049865722656,338.9800109863281,340.6099853515625,2556170
2026-06-25 11:30:00-04:00,553.1199951171875,554.655029296875,546.9299926757812,547.4500122070312,1612779,72.23999786376953,72.44499969482422,72.02999877929688,72.24500274658203,3651773,229.8800048828125,230.85000610351562,227.49000549316406,227.7899932861328,6216869,277.6600036621094,279.6449890136719,274.4599914550781,274.56500244140625,9158306,340.67999267578125,341.92999267578125,340.35479736328125,340.45001220703125,1256854
2026-06-25 12:30:00-04:00,547.2711181640625,547.4598999023438,543.739990234375,544.330078125,1383736,72.24500274658203,72.38999938964844,71.62000274658203,71.70500183105469,3853691,227.75999450683594,228.64990234375,227.1999969482422,228.24000549316406,6128052,274.56500244140625,278.3900146484375,273.75,278.0400085449219,13584165,340.45001220703125,341.2900085449219,339.07000732421875,339.6700134277344,1886754
2026-06-25 13:30:00-04:00,544.510009765625,548.469970703125,543.02001953125,548.3900146484375,1146031,71.70500183105469,72.16500091552734,71.4800033569336,72.15499877929688,3104048,228.24000549316406,230.389892578125,227.80999755859375,230.375,6248722,278.04998779296875,280.17999267578125,276.19000244140625,279.3450012207031,8443492,339.67999267578125,341.17999267578125,338.0201110839844,340.9100036621094,1751290
2026-06-25 14:30:00-04:00,548.3499755859375,548.4500122070312,545.4000244140625,545.760009765625,1252765,72.15499877929688,72.3499984741211,71.94999694824219,72.05999755859375,3372646,230.3699951171875,230.44500732421875,227.14010620117188,227.27000427246094,5884279,279.3500061035156,280.2200927734375,276.0400085449219,276.7250061035156,9371195,340.8999938964844,341.79998779296875,339.7099914550781,341.6199951171875,2074209
2026-06-25 15:30:00-04:00,545.75,546.5900268554688,542.3900146484375,542.8699951171875,1992262,72.05500030517578,72.11000061035156,70.86000061035156,70.91500091552734,6824882,227.26499938964844,228.19000244140625,225.55499267578125,227.1300048828125,13316015,276.70001220703125,277.45001220703125,273.8999938964844,275.04998779296875,15625008,341.5899963378906,343.19000244140625,339.5299987792969,342.1499938964844,3470037
2026-06-26 09:30:00-04:00,542.989990234375,551.7999877929688,540.4000244140625,550.8900146484375,3027990,71.5999984741211,74.625,71.54000091552734,74.375,12450833,227.38999938964844,231.27879333496094,226.125,230.67999267578125,15716147,275.0,278.92999267578125,274.2099914550781,278.260009765625,17026804,340.3599853515625,340.9100036621094,334.1405029296875,336.614990234375,5230040
