Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 14:30:00+00:00,228.1199951171875,230.1999969482422,222.60000610351562,225.52000427246094,13352762,288.3999938964844,288.9100036621094,280.07000732421875,282.3299865722656,5737756,269.9150085449219,270.7049865722656,265.32000732421875,267.6499938964844,8219985,110.29000091552734,112.9800033569336,109.19999694824219,111.8499984741211,6586155,591.5999755859375,597.6699829101562,583.780029296875,586.817626953125,5324154
2025-11-18 15:30:00+00:00,225.49000549316406,226.60000610351562,223.60000610351562,226.25999450683594,4801911,282.3581848144531,286.8179931640625,279.010009765625,286.8179931640625,2999708,267.6650085449219,268.1199951171875,266.02801513671875,267.8399963378906,3521812,111.83999633789062,112.61000061035156,111.2699966430664,112.47000122070312,2823663,586.77001953125,594.3499755859375,584.8699951171875,592.77099609375,2462385
2025-11-18 16:30:00+00:00,226.25,226.52000427246094,222.7100067138672,222.8144073486328,4671663,286.7699890136719,287.95001220703125,284.2799987792969,284.8900146484375,2383926,267.8399963378906,268.3380126953125,267.1400146484375,267.1650085449219,2742457,112.47000122070312,113.33910369873047,112.33999633789062,112.48999786376953,2699207,592.7999877929688,594.39990234375,588.3200073242188,588.5645751953125,1678701
2025-11-18 17:30:00+00:00,222.8000030517578,224.99000549316406,222.4199981689453,223.64999389648438,4259910,284.8550109863281,289.1300048828125,284.1600036621094,288.30999755859375,1921670,267.1600036621094,268.92999267578125,266.42999267578125,268.45001220703125,2282519,112.4800033569336,115.11000061035156,112.23999786376953,114.2699966430664,3973473,588.5399780273438,599.4299926757812,587.239990234375,594.7901000976562,2253849
2025-11-18 18:30:00+00:00,223.64999389648438,225.74459838867188,223.6179962158203,225.1999969482422,3149853,288.3800048828125,289.43499755859375,287.5400085449219,288.1400146484375,1664236,268.45001220703125,269.2200012207031,267.9599914550781,268.03448486328125,2176560,114.2750015258789,114.94999694824219,113.87999725341797,114.125,2568106,594.8400268554688,601.0,594.780029296875,599.3250122070312,1450629
2025-11-18 19:30:00+00:00,225.22000122070312,226.5,223.86000061035156,224.1699981689453,3730646,288.1700134277344,289.30999755859375,286.57000732421875,287.29998779296875,1644483,268.04998779296875,268.92498779296875,267.67999267578125,268.28021240234375,2115137,114.13990020751953,114.77999877929688,114.0,114.44999694824219,2438589,599.219970703125,603.6599731445312,598.5913696289062,601.47998046875,1704247
2025-11-18 20:30:00+00:00,224.15499877929688,224.27999877929688,222.47000122070312,222.55499267578125,4512476,287.2799987792969,287.5690002441406,284.7799987792969,284.8999938964844,2126294,268.29998779296875,268.42999267578125,267.3299865722656,267.510009765625,3127789,114.45999908447266,115.25,113.9000015258789,114.05000305175781,3953458,601.5598754882812,601.72998046875,597.530029296875,597.5999755859375,7902239
2025-11-19 14:30:00+00:00,223.73500061035156,223.73500061035156,218.52999877929688,220.58999633789062,12848589,287.739990234375,304.25,287.6700134277344,301.6672058105469,11819531,265.5249938964844,272.2099914550781,265.5,271.8500061035156,6778562,112.81999969482422,113.33999633789062,110.33999633789062,111.04000091552734,5734565,593.7150268554688,595.3099975585938,587.4199829101562,592.8049926757812,3583289
