Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-19 14:30:00+00:00,77.75,78.69999694824219,77.37000274658203,77.84500122070312,3511893,638.3499755859375,644.8900146484375,636.719970703125,642.7849731445312,1758607,302.4700012207031,304.7200012207031,300.6700134277344,303.30499267578125,2031835,262.6000061035156,264.3500061035156,262.2900085449219,262.8699951171875,4372727,203.6300048828125,205.32009887695312,202.80999755859375,203.73500061035156,6609217
2026-02-19 15:30:00+00:00,77.83999633789062,78.29000091552734,77.66000366210938,77.94989776611328,2373759,642.780029296875,646.6900024414062,641.4000244140625,645.010009765625,973045,303.2300109863281,306.0299987792969,302.4700012207031,305.23858642578125,1485158,262.8800048828125,264.4800109863281,262.7601013183594,263.6199951171875,1726762,203.7100067138672,205.6396026611328,203.66000366210938,205.22999572753906,3393462
2026-02-19 16:30:00+00:00,77.9469985961914,78.27559661865234,77.8550033569336,77.875,1664832,645.1300048828125,647.1900024414062,642.5,645.3150024414062,686799,305.3599853515625,305.7799987792969,303.2200012207031,304.4200134277344,870606,263.6700134277344,264.1400146484375,262.6900939941406,262.94000244140625,1785992,205.2324981689453,205.5198974609375,204.35000610351562,204.4739990234375,2836691
2026-02-19 17:30:00+00:00,77.87000274658203,77.87999725341797,77.02999877929688,77.18499755859375,3081446,645.2899780273438,646.1699829101562,643.1900024414062,645.1699829101562,569827,304.4100036621094,305.45001220703125,304.0238037109375,304.67999267578125,606425,262.8999938964844,263.05999755859375,261.4200134277344,261.7699890136719,1237800,204.47000122070312,204.7198944091797,203.72999572753906,204.16000366210938,2211262
2026-02-19 18:30:00+00:00,77.18499755859375,77.62000274658203,77.13999938964844,77.21499633789062,1633451,645.0499877929688,645.5650024414062,643.360107421875,644.2249755859375,422451,304.6650085449219,305.2900085449219,304.05999755859375,304.6449890136719,630031,261.739990234375,262.368896484375,261.5,261.5400085449219,1203819,204.13999938964844,205.1300048828125,203.99000549316406,204.34500122070312,2145427
2026-02-19 19:30:00+00:00,77.21499633789062,77.26499938964844,76.63999938964844,76.66500091552734,2122184,644.2100219726562,644.5,641.2100219726562,643.3519287109375,634864,304.6199951171875,304.9049987792969,302.9949951171875,303.3500061035156,623865,261.510009765625,261.6700134277344,260.2699890136719,260.760009765625,1954329,204.3430938720703,204.60000610351562,203.85000610351562,204.15499877929688,2430633
2026-02-19 20:30:00+00:00,76.66500091552734,77.11499786376953,76.6500015258789,77.0,3634865,643.3499755859375,645.5399780273438,642.7999877929688,644.6199951171875,817201,303.32000732421875,303.8599853515625,302.8399963378906,303.57000732421875,947196,260.760009765625,261.29998779296875,260.04998779296875,260.510009765625,2956715,204.14999389648438,204.97000122070312,204.14999389648438,204.89999389648438,2405443
2026-02-20 14:30:00+00:00,76.61000061035156,77.80000305175781,76.4000015258789,77.58999633789062,4903064,639.1119995117188,656.4998779296875,638.780029296875,654.4500122070312,2394775,304.739990234375,311.8999938964844,304.4200134277344,310.7550048828125,4507716,258.9549865722656,262.3500061035156,258.1600036621094,260.57049560546875,6967496,204.75999450683594,210.36000061035156,203.75,208.44000244140625,14150655
