Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12 14:30:00+00:00,647.0,652.010009765625,643.8499755859375,644.010009765625,1868580,230.02000427246094,230.0800018310547,226.35000610351562,226.3800048828125,6052796,315.0950012207031,316.1300048828125,309.4330139160156,309.5899963378906,3133641,277.0,279.2200012207031,276.9700927734375,277.8699951171875,3907328,95.125,96.91999816894531,95.125,95.54000091552734,11663856
2025-12-12 15:30:00+00:00,643.9299926757812,647.2000122070312,639.010009765625,641.469970703125,1448891,226.36000061035156,227.61000061035156,225.3000030517578,226.02000427246094,3720416,309.6099853515625,310.94000244140625,307.0880126953125,308.0,2344376,277.8800048828125,278.8599853515625,277.44000244140625,277.739990234375,3485545,95.54199981689453,96.06999969482422,94.88009643554688,95.15499877929688,3629040
2025-12-12 16:30:00+00:00,641.3699951171875,643.8223266601562,638.6099853515625,643.219970703125,1057779,226.0,226.6999969482422,225.1199951171875,226.3300018310547,2582048,308.0,310.7799987792969,306.9599914550781,309.57000732421875,1633867,277.7699890136719,278.44000244140625,277.2807922363281,277.8550109863281,2096132,95.15499877929688,95.41999816894531,94.84500122070312,95.15499877929688,2672382
2025-12-12 17:30:00+00:00,643.3699951171875,648.5,642.2650146484375,647.5001220703125,872664,226.32000732421875,227.13980102539062,226.14999389648438,226.99000549316406,1740300,309.57000732421875,311.69000244140625,309.0199890136719,311.6499938964844,1082515,277.8349914550781,279.19000244140625,277.8349914550781,279.04998779296875,2564725,95.15560150146484,95.55999755859375,95.0199966430664,95.44000244140625,1950927
2025-12-12 18:30:00+00:00,647.6799926757812,648.5,645.094970703125,645.3099975585938,604159,226.99000549316406,227.375,226.66000366210938,226.85000610351562,1616710,311.6499938964844,311.8900146484375,310.3900146484375,310.9627990722656,809271,279.0400085449219,279.04998779296875,277.7300109863281,277.95001220703125,2354465,95.44499969482422,95.79000091552734,95.38999938964844,95.55500030517578,10145800
2025-12-12 19:30:00+00:00,645.3200073242188,646.2000122070312,644.4801025390625,645.3499755859375,670874,226.8699951171875,227.16000366210938,226.60000610351562,226.71200561523438,1797710,310.9700012207031,311.4200134277344,310.57000732421875,310.79998779296875,722659,277.95001220703125,278.80999755859375,277.80999755859375,278.05499267578125,2391168,95.55999755859375,95.83999633789062,95.47000122070312,95.66510009765625,0
2025-12-12 20:30:00+00:00,645.4600219726562,645.8200073242188,642.5999755859375,644.239990234375,982613,226.72000122070312,226.7550048828125,225.77830505371094,226.19000244140625,2808944,310.82000732421875,310.92999267578125,309.5,310.510009765625,1398728,278.04998779296875,278.5,276.94500732421875,278.3699951171875,2787871,95.66999816894531,95.69999694824219,94.6500015258789,95.20500183105469,4024839
2025-12-15 14:30:00+00:00,645.4249877929688,649.6500244140625,638.7000732421875,641.0549926757812,2264723,226.7949981689453,227.10000610351562,222.88999938964844,223.02999877929688,6475168,312.625,312.70001220703125,307.2349853515625,307.7300109863281,3980818,279.75,279.79168701171875,273.6199951171875,274.1449890136719,8113962,96.01499938964844,96.37000274658203,93.86000061035156,94.00499725341797,5610795
