Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-28 13:30:00+00:00,272.3349914550781,273.2200012207031,268.6600036621094,271.2799072265625,9095136,258.4200134277344,261.0299987792969,256.6499938964844,259.9800109863281,10724715,91.4000015258789,91.62999725341797,90.0199966430664,90.84500122070312,8269857,346.92999267578125,349.83990478515625,344.2799987792969,349.3299865722656,4608154,674.4149780273438,678.1799926757812,669.8900146484375,672.760009765625,2607553
2026-04-28 14:30:00+00:00,271.2799987792969,271.8299865722656,270.2900085449219,270.32501220703125,5340855,259.9800109863281,260.7099914550781,259.0799865722656,259.5400085449219,6454938,90.84500122070312,91.04000091552734,90.41000366210938,90.55000305175781,3565418,349.37701416015625,349.8999938964844,347.6300048828125,348.46978759765625,2416639,672.75,672.75,665.625,667.4149780273438,1716806
2026-04-28 15:30:00+00:00,270.32501220703125,270.56500244140625,269.331298828125,269.5159912109375,2719213,259.5400085449219,260.5299987792969,259.19000244140625,260.1600036621094,4374707,90.55000305175781,90.69999694824219,90.3905029296875,90.5250015258789,2174104,348.44000244140625,348.6300048828125,346.0201110839844,346.94500732421875,1510130,667.4099731445312,669.8599853515625,666.3001098632812,669.3381958007812,1049487
2026-04-28 16:30:00+00:00,269.4949951171875,270.1300048828125,269.440185546875,269.8699951171875,1855230,260.1600036621094,260.25,257.8699951171875,258.0,3651187,90.5250015258789,90.95999908447266,90.31999969482422,90.94750213623047,2325938,346.94000244140625,347.49859619140625,346.010009765625,346.6099853515625,1327894,669.2899780273438,670.6199951171875,668.219970703125,670.2200927734375,544970
2026-04-28 17:30:00+00:00,269.8699951171875,270.9150085449219,269.7900085449219,270.5,2765318,258.0299987792969,259.79998779296875,258.0150146484375,259.69000244140625,3728613,90.94419860839844,91.55999755859375,90.75,91.55999755859375,4270969,346.6000061035156,347.75,346.510009765625,347.6099853515625,1088587,670.260009765625,671.8300170898438,668.5850219726562,671.7479858398438,667479
2026-04-28 18:30:00+00:00,270.5,270.6300048828125,269.8900146484375,270.2250061035156,2300165,259.69000244140625,259.79998779296875,258.8599853515625,259.5400085449219,2968175,91.55500030517578,92.2699966430664,91.52999877929688,92.20989990234375,3203296,347.6050109863281,348.239990234375,347.1449890136719,347.67498779296875,1319963,671.760009765625,672.7899780273438,669.530029296875,670.5,1002250
2026-04-28 19:30:00+00:00,270.2300109863281,270.94500732421875,269.9949951171875,270.760009765625,3115541,259.54998779296875,259.8800048828125,259.25,259.7699890136719,4391909,92.20500183105469,92.33999633789062,91.95999908447266,92.30500030517578,4871273,347.69000244140625,348.6000061035156,347.07000732421875,347.510009765625,1646747,670.5200805664062,671.5800170898438,669.2999877929688,671.22998046875,883769
2026-04-29 13:30:00+00:00,267.8598937988281,270.3117980957031,267.20001220703125,269.3999938964844,5646330,257.94000244140625,265.7699890136719,257.70001220703125,265.4825134277344,14905914,91.2249984741211,92.16000366210938,90.86000061035156,92.0199966430664,6066054,342.7449951171875,351.4200134277344,342.69000244140625,351.3299865722656,4122794,668.9099731445312,673.219970703125,663.8084106445312,671.969970703125,2679764
