Ticker,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09 09:30:00-04:00,583.9199829101562,600.9000244140625,577.0700073242188,594.0750122070312,6746310,310.44500732421875,312.29998779296875,308.1600036621094,312.0899963378906,7601316,74.26000213623047,75.4800033569336,74.0199966430664,74.91500091552734,6064072,351.0849914550781,356.3500061035156,348.6600036621094,351.0,4120764,239.7449951171875,243.2198944091797,238.25,240.5850067138672,7812852
2026-07-09 10:30:00-04:00,594.1500244140625,604.4500122070312,591.510009765625,604.3200073242188,2146855,312.07000732421875,314.8500061035156,310.7012023925781,314.4599914550781,4078964,74.91000366210938,74.93990325927734,74.30000305175781,74.79000091552734,3923554,350.92999267578125,352.1780090332031,349.7799987792969,351.1499938964844,1933323,240.57000732421875,241.92999267578125,240.3249969482422,241.82000732421875,3404005
2026-07-09 11:30:00-04:00,604.327392578125,616.3099975585938,603.8001098632812,614.2999877929688,2712780,314.46990966796875,315.2200012207031,314.1000061035156,314.8999938964844,8485039,74.79000091552734,74.8301010131836,74.30000305175781,74.40499877929688,3487033,351.1476135253906,352.0799865722656,349.760009765625,351.82000732421875,1467767,241.8300018310547,242.8300018310547,240.89999389648438,242.33999633789062,2695101
2026-07-09 12:30:00-04:00,614.2100219726562,615.8400268554688,611.3300170898438,612.5999755859375,1457360,314.90008544921875,315.5,314.30999755859375,314.7214050292969,4552794,74.40499877929688,74.6500015258789,74.3302993774414,74.62000274658203,3220045,351.80999755859375,352.75,351.5201110839844,352.5400085449219,859265,242.27499389648438,244.10000610351562,241.83999633789062,244.01499938964844,2698498
2026-07-09 13:30:00-04:00,612.6099853515625,616.9000244140625,610.2100219726562,615.97998046875,1942164,314.7235107421875,315.31988525390625,314.2349853515625,314.55999755859375,4088119,74.62000274658203,74.9000015258789,74.56999969482422,74.80999755859375,2917608,352.5799865722656,354.2558898925781,352.2799987792969,353.80999755859375,1033584,244.00999450683594,245.1199951171875,243.41000366210938,245.0500030517578,4081956
2026-07-09 14:30:00-04:00,615.9199829101562,624.6799926757812,614.3201293945312,624.2150268554688,2307207,314.55999755859375,315.69000244140625,314.25,315.4100036621094,3058281,74.80010223388672,74.94000244140625,74.61499786376953,74.8949966430664,2869223,353.8599853515625,355.2449951171875,353.2799987792969,354.9949951171875,1102999,245.10000610351562,245.52999877929688,244.2200927734375,245.48500061035156,2631578
2026-07-09 15:30:00-04:00,624.2150268554688,633.27001953125,624.1400146484375,631.47998046875,4972262,315.4200134277344,316.5299987792969,315.3900146484375,316.17999267578125,4155824,74.9000015258789,75.55000305175781,74.83499908447266,75.45999908447266,4807323,355.0199890136719,356.67999267578125,355.0199890136719,356.2300109863281,1638839,245.5,247.45989990234375,245.5,247.02000427246094,5409248
2026-07-10 09:30:00-04:00,660.3350219726562,677.8499755859375,658.010009765625,667.1500244140625,16463712,314.7200012207031,316.3900146484375,312.93011474609375,313.1300048828125,6346453,75.44999694824219,75.69860076904297,72.7750015258789,73.12229919433594,13100550,354.9540100097656,355.2796936035156,352.0,353.4049987792969,2778819,249.63999938964844,251.02999877929688,244.88499450683594,246.17999267578125,7070052
