Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03 14:30:00+00:00,298.1919860839844,301.6300048828125,296.69940185546875,297.3500061035156,6059628,263.4800109863281,265.55999755859375,261.2200012207031,262.260009765625,8047558,203.22999572753906,205.28500366210938,202.47999572753906,202.6999969482422,11361773,648.2899780273438,655.9000244140625,638.8400268554688,639.5599975585938,3207824,95.93000030517578,97.7699966430664,95.33000183105469,95.48999786376953,16274057
2026-03-03 15:30:00+00:00,297.3599853515625,301.5199890136719,297.18499755859375,301.07501220703125,2388886,262.2799987792969,263.94000244140625,261.9100036621094,262.57000732421875,4016845,202.65499877929688,206.09500122070312,202.63999938964844,205.9499969482422,6038482,639.510009765625,654.2291259765625,639.2999877929688,652.3499755859375,1338621,95.48500061035156,97.23999786376953,95.47000122070312,97.1050033569336,7809293
2026-03-03 16:30:00+00:00,301.04998779296875,302.1759948730469,300.0400085449219,301.4750061035156,1439360,262.4800109863281,263.7799987792969,261.5799865722656,261.80999755859375,2940122,205.93499755859375,207.3699951171875,205.1699981689453,206.6300048828125,4186063,652.4299926757812,654.8499755859375,650.1699829101562,651.8499755859375,744094,97.0999984741211,97.19999694824219,96.21499633789062,96.73500061035156,4803699
2026-03-03 17:30:00+00:00,301.45001220703125,301.5,300.2300109863281,300.875,1323811,261.79998779296875,261.8699951171875,260.1300048828125,261.4800109863281,2901307,206.5749969482422,207.80999755859375,205.8000030517578,207.58999633789062,3182622,652.0,655.2799072265625,648.110107421875,654.9299926757812,881349,96.73999786376953,97.33509826660156,96.27999877929688,97.2750015258789,4554003
2026-03-03 18:30:00+00:00,300.8299865722656,303.0400085449219,300.7799987792969,301.2099914550781,1491295,261.44000244140625,263.9100036621094,261.3699951171875,263.6549987792969,2917518,207.61000061035156,208.610107421875,207.57000732421875,207.8800048828125,3250626,655.0499877929688,659.0399780273438,654.52001953125,654.9500122070312,951493,97.27999877929688,97.42510223388672,96.8499984741211,97.26000213623047,4171963
2026-03-03 19:30:00+00:00,301.2099914550781,303.2300109863281,300.67999267578125,302.7200012207031,1523652,263.6700134277344,264.614990234375,262.510009765625,263.2799987792969,2571377,207.88999938964844,209.09500122070312,207.0,208.68499755859375,4342544,655.260009765625,659.0,653.4700927734375,655.1099853515625,818549,97.25499725341797,97.33000183105469,96.81999969482422,97.23989868164062,5318233
2026-03-03 20:30:00+00:00,302.7300109863281,303.94000244140625,301.92999267578125,303.3999938964844,2238604,263.239990234375,263.9599914550781,262.3399963378906,263.7099914550781,4136373,208.6699981689453,209.17799377441406,208.17999267578125,208.75999450683594,4356029,655.0050048828125,655.5499877929688,653.3499755859375,654.97998046875,1000913,97.23500061035156,98.45999908447266,97.1050033569336,97.70500183105469,7532900
2026-03-04 14:30:00+00:00,302.7200012207031,305.28271484375,300.79998779296875,305.1724853515625,4821250,264.6499938964844,266.1499938964844,261.4200134277344,264.1300048828125,7214854,210.47000122070312,217.53500366210938,210.14999389648438,217.00999450683594,15194959,657.9600219726562,672.0,657.6710815429688,671.9199829101562,2800573,97.12000274658203,99.75,96.98999786376953,99.27999877929688,16066031
