Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05 13:30:00+00:00,276.20001220703125,278.55999755859375,274.510009765625,275.9200134277344,13328745,613.3699951171875,614.3400268554688,603.580078125,604.5,3806697,381.1499938964844,388.9599914550781,380.8399963378906,384.5050048828125,4286576,276.8999938964844,281.3800048828125,276.5010070800781,281.19000244140625,9001566,91.20500183105469,91.2300033569336,88.88200378417969,88.88999938964844,10267636
2026-05-05 14:30:00+00:00,275.9200134277344,277.2699890136719,274.67999267578125,275.6600036621094,5988762,604.4199829101562,606.0999755859375,601.4299926757812,604.5900268554688,2311084,384.489990234375,385.69000244140625,383.6099853515625,384.9877014160156,1526153,281.17999267578125,283.2099914550781,279.7099914550781,280.2200012207031,6121481,88.88999938964844,89.22000122070312,88.1050033569336,88.1449966430664,7581185
2026-05-05 15:30:00+00:00,275.6700134277344,276.2799987792969,273.92498779296875,273.9599914550781,4161427,604.5999755859375,605.1500244140625,600.3599853515625,601.5549926757812,1725421,384.92999267578125,385.8900146484375,383.45001220703125,383.6700134277344,1183575,280.2300109863281,281.55999755859375,279.8450012207031,281.3999938964844,3040049,88.1500015258789,88.30999755859375,87.56500244140625,88.0,7638169
2026-05-05 16:30:00+00:00,273.94000244140625,274.1871032714844,272.3800048828125,273.67999267578125,3427517,601.4849853515625,602.3900146484375,600.780029296875,602.0800170898438,1627423,383.5950012207031,384.0513000488281,380.3500061035156,381.0799865722656,1280855,281.3900146484375,284.57000732421875,281.3299865722656,282.81500244140625,5146396,88.0,88.4000015258789,87.87999725341797,87.94000244140625,4561014
2026-05-05 17:30:00+00:00,273.69000244140625,274.2749938964844,273.3100891113281,274.0899963378906,3424458,602.0900268554688,605.10498046875,602.0800170898438,602.8049926757812,1401121,381.05999755859375,382.8487854003906,380.6499938964844,382.0950012207031,1085310,282.80999755859375,284.2799987792969,282.3526916503906,284.2500915527344,3957543,87.93499755859375,88.27999877929688,87.81999969482422,87.93340301513672,3642638
2026-05-05 18:30:00+00:00,274.0950012207031,274.30999755859375,273.6300048828125,273.8399963378906,2650438,602.8099975585938,605.9299926757812,600.5499877929688,605.7949829101562,2287499,382.1300048828125,383.4700012207031,381.67999267578125,383.4183044433594,992022,284.2550048828125,284.45001220703125,283.4200134277344,284.2099914550781,3606272,87.92500305175781,88.18499755859375,87.62000274658203,88.05500030517578,4054428
2026-05-05 19:30:00+00:00,273.8299865722656,274.25,273.45001220703125,273.5,3055299,605.760009765625,606.7999267578125,603.8800048828125,605.0800170898438,1877146,383.45001220703125,384.4200134277344,383.1700134277344,384.2699890136719,1361865,284.2200012207031,284.3299865722656,283.45001220703125,284.1700134277344,4695212,88.05500030517578,88.16000366210938,87.63999938964844,87.9000015258789,5691135
2026-05-06 13:30:00+00:00,272.8900146484375,275.3500061035156,272.2076110839844,274.07501220703125,9979645,601.27001953125,618.72998046875,598.1099853515625,614.5050048828125,7399783,389.260009765625,393.42999267578125,388.28021240234375,389.91400146484375,5645429,281.9150085449219,286.7200012207031,281.07501220703125,286.1099853515625,11276788,87.0145034790039,88.44999694824219,86.72000122070312,88.37999725341797,10031262
