Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-18 09:30:00-04:00,686.8200073242188,690.1500244140625,668.4906005859375,673.6199951171875,7130990,351.2200012207031,355.1300048828125,346.1000061035156,346.56500244140625,10405963,71.2699966430664,72.18000030517578,70.11000061035156,72.04499816894531,29171710,252.86000061035156,254.49000549316406,251.8800048828125,252.64999389648438,16087488,337.989990234375,338.489990234375,333.0,333.489990234375,15722541
2026-09-18 10:30:00-04:00,673.7164916992188,681.8350219726562,673.0700073242188,673.6799926757812,2346194,346.56500244140625,348.17999267578125,345.4700012207031,346.82501220703125,2938674,72.04499816894531,72.37999725341797,71.83000183105469,71.93000030517578,6399308,252.63999938964844,255.42999267578125,252.22000122070312,253.07000732421875,5182986,333.4996032714844,335.80999755859375,332.5299987792969,334.9949951171875,4546693
2026-09-18 11:30:00-04:00,673.780029296875,674.02001953125,669.4299926757812,670.8900146484375,2346574,346.8525085449219,346.9100036621094,344.95001220703125,345.82501220703125,1707513,71.91500091552734,71.93000030517578,71.45999908447266,71.63999938964844,5049467,253.07000732421875,253.90499877929688,252.5500030517578,253.6199951171875,2084915,334.9801025390625,335.2250061035156,334.230712890625,334.6000061035156,2307608
2026-09-18 12:30:00-04:00,670.9061279296875,672.5900268554688,669.27001953125,670.5999755859375,2408072,345.8299865722656,346.2699890136719,345.3699951171875,345.4142150878906,738326,71.63999938964844,72.05000305175781,71.53500366210938,71.94499969482422,3875802,253.60000610351562,253.80999755859375,252.94000244140625,253.0500030517578,1044651,334.6300048828125,335.4599914550781,334.4200134277344,335.2149963378906,2356150
2026-09-18 13:30:00-04:00,670.6500244140625,672.489990234375,670.1300048828125,671.22998046875,920051,345.3999938964844,346.9898986816406,345.18438720703125,346.75,887132,71.94499969482422,71.95999908447266,71.53109741210938,71.61000061035156,3704229,253.05999755859375,253.27000427246094,252.75100708007812,253.18499755859375,1284868,335.20001220703125,335.8500061035156,335.0600891113281,335.7099914550781,1914387
2026-09-18 14:30:00-04:00,671.22998046875,674.2999877929688,670.1500244140625,670.5086059570312,1392443,346.7349853515625,348.25,346.68890380859375,347.95001220703125,1246618,71.61499786376953,72.16999816894531,71.5999984741211,71.94499969482422,5692367,253.1875,254.8000030517578,253.14999389648438,254.5749969482422,2143601,335.7200012207031,336.4800109863281,335.3999938964844,336.2200012207031,3298622
2026-09-18 15:30:00-04:00,670.4949951171875,670.6395263671875,660.7999877929688,665.52001953125,2759327,347.94000244140625,348.0199890136719,343.8699951171875,344.30999755859375,3793816,71.94000244140625,72.00499725341797,71.58000183105469,71.79000091552734,7433464,254.5749969482422,254.59359741210938,253.5,253.50999450683594,3900238,336.239990234375,336.94000244140625,335.5899963378906,335.5899963378906,5514957
2026-09-21 09:30:00-04:00,680.3800048828125,716.2899780273438,679.5999755859375,712.35498046875,12617758,346.1000061035156,353.2900085449219,344.79998779296875,351.95001220703125,4640366,71.94000244140625,73.12000274658203,71.79000091552734,73.05000305175781,8559742,256.5199890136719,257.1199951171875,253.60000610351562,255.82000732421875,9032052,335.20001220703125,337.79998779296875,333.04998779296875,337.29998779296875,7995425
