Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22 14:30:00+00:00,234.05999755859375,234.39999389648438,230.89999389648438,232.75,6635413,249.36000061035156,250.7799072265625,248.38499450683594,250.1300048828125,7300630,629.3499755859375,637.47998046875,626.5499877929688,635.89990234375,4158127,332.1300048828125,335.2099914550781,329.7699890136719,331.3800048828125,4046203,85.01499938964844,85.0999984741211,83.7300033569336,84.48999786376953,14005509
2026-01-22 15:30:00+00:00,232.75999450683594,235.2216033935547,232.5850067138672,234.77999877929688,3510187,250.14999389648438,250.16000366210938,249.0,249.6999053955078,3165743,635.8699951171875,639.5599975585938,635.2000122070312,638.2180786132812,1625556,331.489990234375,332.4299011230469,330.45001220703125,332.1650085449219,1151483,84.48999786376953,84.80000305175781,83.87000274658203,83.88500213623047,5692588
2026-01-22 16:30:00+00:00,234.8000030517578,235.3800048828125,234.38999938964844,235.02740478515625,1786751,249.69500732421875,249.89999389648438,249.25999450683594,249.74000549316406,1884417,638.3300170898438,644.1300048828125,637.6500244140625,643.9500732421875,1441002,332.1700134277344,332.489990234375,331.19000244140625,331.8299865722656,911340,83.8833999633789,84.18000030517578,83.69999694824219,83.74500274658203,5384031
2026-01-22 17:30:00+00:00,235.0399932861328,235.72000122070312,234.94000244140625,235.22000122070312,1494364,249.75,250.82000732421875,249.72999572753906,250.67999267578125,1833609,644.0399780273438,647.344970703125,643.8699951171875,646.8499755859375,1599098,331.8800048828125,332.25,331.0,331.4599914550781,652643,83.74500274658203,83.76000213623047,82.9800033569336,83.33989715576172,5130151
2026-01-22 18:30:00+00:00,235.22000122070312,235.25,234.77000427246094,235.02000427246094,1272026,250.6699981689453,251.0,249.75010681152344,250.52000427246094,2047891,646.7999877929688,647.4400024414062,643.8200073242188,646.8150024414062,1177085,331.44000244140625,332.260009765625,331.1499938964844,332.17999267578125,1279079,83.33499908447266,83.43000030517578,83.05999755859375,83.4000015258789,4198058
2026-01-22 19:30:00+00:00,235.00999450683594,235.0399932861328,233.97000122070312,233.97000122070312,1849426,250.50999450683594,250.625,248.26510620117188,248.3699951171875,3355209,646.8200073242188,647.25,645.1099853515625,646.1099853515625,1283665,332.19000244140625,332.25,329.7152099609375,329.7300109863281,1553469,83.40499877929688,83.5999984741211,83.13999938964844,83.31449890136719,4094582
2026-01-22 20:30:00+00:00,233.9600067138672,234.36990356445312,233.63999938964844,234.2899932861328,1729380,248.33999633789062,248.9199981689453,248.17999267578125,248.33999633789062,2783413,646.030029296875,648.22998046875,644.47998046875,647.7999877929688,1473523,329.7200012207031,332.13250732421875,328.885009765625,330.79998779296875,8169616,83.31009674072266,83.55000305175781,83.02999877929688,83.52999877929688,5063767
2026-01-23 14:30:00+00:00,234.72000122070312,238.17999267578125,234.57000732421875,238.0,5933996,247.24000549316406,247.24000549316406,244.67999267578125,247.01010131835938,7601136,644.8350219726562,661.0,644.4450073242188,658.3007202148438,4199151,332.7250061035156,333.54998779296875,330.1700134277344,332.4100036621094,3300800,84.0,85.45999908447266,83.87999725341797,85.30999755859375,12667729
