Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10 09:30:00-04:00,599.010009765625,604.4699096679688,593.6500854492188,603.6199951171875,4080868,354.239990234375,355.7200012207031,351.4700012207031,355.30999755859375,3699298,274.20001220703125,277.79998779296875,273.60009765625,277.6600036621094,6161167,73.72200012207031,74.7750015258789,73.56999969482422,74.7249984741211,4684654,306.8299865722656,307.4559020996094,304.6300048828125,306.8800048828125,14208722
2026-08-10 10:30:00-04:00,603.6199951171875,608.2100219726562,598.2999877929688,599.3400268554688,2332316,355.3299865722656,355.57000732421875,352.30120849609375,353.0,1314008,277.6549987792969,279.8800048828125,277.1400146484375,279.8799133300781,4537649,74.72000122070312,75.11499786376953,74.65499877929688,74.97000122070312,3242638,306.8970947265625,307.20989990234375,306.2250061035156,306.5585021972656,3672651
2026-08-10 11:30:00-04:00,599.260009765625,600.3599853515625,596.6099853515625,597.3499755859375,1333745,352.9800109863281,353.6000061035156,352.0199890136719,353.05499267578125,893577,279.8450012207031,280.1400146484375,277.9601135253906,278.260009765625,3815721,74.9800033569336,75.9800033569336,74.91000366210938,75.74500274658203,3930681,306.5205078125,307.2471923828125,305.04998779296875,305.5299987792969,4150321
2026-08-10 12:30:00-04:00,597.344970703125,597.4600219726562,592.3300170898438,594.5800170898438,1145871,353.05499267578125,353.3599853515625,352.30999755859375,353.0799865722656,595761,278.30999755859375,278.44000244140625,277.0799865722656,277.6549987792969,2623515,75.73999786376953,75.76499938964844,75.3499984741211,75.57499694824219,2278666,305.54998779296875,306.7900085449219,305.1700134277344,306.4700012207031,2973562
2026-08-10 13:30:00-04:00,594.60498046875,594.8499755859375,592.6900024414062,592.8699951171875,806877,353.0799865722656,353.260009765625,352.3399963378906,352.760009765625,634439,277.6474914550781,277.67999267578125,276.3900146484375,276.5199890136719,4334652,75.56999969482422,75.62999725341797,75.36000061035156,75.52020263671875,1889644,306.4700012207031,306.989990234375,306.0,306.7149963378906,2554763
2026-08-10 14:30:00-04:00,592.6099853515625,595.2000122070312,592.0300903320312,592.3823852539062,807523,352.739990234375,354.7699890136719,352.5799865722656,353.7106018066406,1609246,276.5199890136719,277.3599853515625,276.239990234375,276.7349853515625,2338845,75.5199966430664,75.65499877929688,75.41000366210938,75.4352035522461,2181972,306.71990966796875,307.6698913574219,306.6000061035156,307.2300109863281,3143432
2026-08-10 15:30:00-04:00,592.3400268554688,595.3499755859375,592.2122192382812,594.9199829101562,3810052,353.739990234375,355.92999267578125,353.3399963378906,355.8999938964844,1304898,276.7749938964844,278.3699951171875,276.70001220703125,278.0799865722656,4718385,75.44000244140625,76.30999755859375,75.43000030517578,76.30000305175781,3602451,307.2200012207031,308.2300109863281,306.8699951171875,308.19000244140625,4503724
2026-08-11 09:30:00-04:00,597.72998046875,612.4199829101562,593.4000244140625,609.2100219726562,3988202,354.2200012207031,355.0,348.3500061035156,350.6549987792969,3240342,278.3999938964844,278.7250061035156,273.260009765625,274.739990234375,5563808,76.09200286865234,76.88999938964844,75.6094970703125,76.13500213623047,6042115,307.75,309.9700012207031,305.6700134277344,306.19000244140625,8080038
