Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-15 13:30:00+00:00,249.1999969482422,250.44000244140625,247.25999450683594,247.92999267578125,10022945,667.0,675.3800048828125,664.219970703125,674.7550048828125,3979740,258.0950012207031,261.0400085449219,257.82000732421875,260.67999267578125,8314756,330.55999755859375,332.1400146484375,328.6700134277344,331.92498779296875,3079284,106.00499725341797,106.64990234375,105.04000091552734,105.99230194091797,6913991
2026-04-15 14:30:00+00:00,247.9199981689453,248.4149932861328,247.1999969482422,247.77000427246094,5856837,674.7550048828125,676.155029296875,672.1442260742188,673.719970703125,1730608,260.70001220703125,264.1099853515625,260.4200134277344,263.17999267578125,7448665,331.92999267578125,331.9750061035156,330.1000061035156,330.29998779296875,1443219,105.99500274658203,106.06500244140625,105.61499786376953,105.81500244140625,4013640
2026-04-15 15:30:00+00:00,247.74000549316406,249.11000061035156,247.3300018310547,248.9550018310547,4065948,673.5150146484375,678.5,672.6699829101562,676.7100830078125,1603590,263.18499755859375,265.5,262.9849853515625,264.5790100097656,5556537,330.29998779296875,332.4599914550781,330.1000061035156,332.29998779296875,1122969,105.80999755859375,106.30000305175781,105.67500305175781,106.28500366210938,3255162
2026-04-15 16:30:00+00:00,248.97000122070312,248.97999572753906,247.72999572753906,248.44500732421875,3330132,676.77001953125,676.8699951171875,672.4199829101562,674.2899780273438,1183956,264.57000732421875,265.7900085449219,264.239990234375,264.94500732421875,4374751,332.2799987792969,332.67999267578125,331.3999938964844,332.5350036621094,1027370,106.28500366210938,106.7699966430664,106.20500183105469,106.76580047607422,4207850
2026-04-15 17:30:00+00:00,248.43499755859375,249.08999633789062,248.1501007080078,248.51060485839844,2988185,674.1649780273438,674.969970703125,670.9000244140625,672.5999755859375,874785,264.9100036621094,265.29998779296875,264.29998779296875,265.17999267578125,2750108,332.54998779296875,333.20001220703125,332.4515075683594,332.5350036621094,987676,106.76499938964844,106.95999908447266,106.55999755859375,106.73500061035156,2493664
2026-04-15 18:30:00+00:00,248.52000427246094,248.97999572753906,248.35000610351562,248.72999572753906,3223572,672.6699829101562,675.1500244140625,672.0601196289062,672.5900268554688,943764,265.19000244140625,265.864990234375,265.19000244140625,265.3399963378906,2971178,332.54998779296875,334.6400146484375,332.54998779296875,333.1300048828125,1526693,106.7300033569336,107.40499877929688,106.7300033569336,107.36499786376953,3448896
2026-04-15 19:30:00+00:00,248.72999572753906,249.4600067138672,248.39999389648438,248.41000366210938,5067961,672.5900268554688,674.6099853515625,670.0599975585938,671.5599975585938,1596144,265.30999755859375,266.55999755859375,265.25,266.3699951171875,6497059,333.07000732421875,334.8999938964844,332.989990234375,334.45001220703125,1969142,107.36499786376953,107.8499984741211,107.16500091552734,107.66000366210938,7201959
2026-04-16 13:30:00+00:00,248.97999572753906,250.0,244.1999969482422,245.55499267578125,11721800,675.989990234375,676.6799926757812,667.75,670.02001953125,2256685,266.79998779296875,267.1600036621094,261.30999755859375,262.05999755859375,11554343,335.8500061035156,337.05999755859375,333.0,334.06500244140625,2837868,107.41000366210938,108.45999908447266,106.62010192871094,107.58000183105469,10215190
