Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29 14:30:00+00:00,242.9550018310547,243.0,237.61500549316406,238.78500366210938,10183341,84.32499694824219,84.36000061035156,82.5999984741211,82.66670227050781,7501575,737.75,744.0,716.4000854492188,720.52001953125,16256192,258.07000732421875,259.6499938964844,255.49000549316406,256.8999938964844,7282171,340.5450134277344,342.2900085449219,327.9413146972656,328.7099914550781,5007261
2026-01-29 15:30:00+00:00,238.77000427246094,238.8800048828125,236.74200439453125,238.0,4826906,82.66500091552734,82.91999816894531,82.35009765625,82.73500061035156,5548557,720.52001953125,721.2949829101562,712.5499877929688,719.885009765625,4581962,256.8900146484375,257.0400085449219,254.41000366210938,256.1700134277344,4801889,328.7200012207031,330.57000732421875,326.7200012207031,330.3399963378906,2631063
2026-01-29 16:30:00+00:00,237.97000122070312,240.0399932861328,237.77059936523438,239.97999572753906,2547498,82.7300033569336,82.96499633789062,82.4800033569336,82.89700317382812,2920209,719.780029296875,734.6699829101562,719.3900146484375,733.1950073242188,4620631,256.1300048828125,257.4100036621094,255.1199951171875,257.2200012207031,3524580,330.30499267578125,334.3999938964844,330.1199951171875,334.32000732421875,1298793
2026-01-29 17:30:00+00:00,239.97000122070312,240.57000732421875,238.27000427246094,239.57260131835938,2204413,82.8949966430664,82.9000015258789,82.5199966430664,82.80500030517578,2180528,733.1627197265625,738.0,729.0499877929688,735.1300048828125,2728341,257.20001220703125,257.6700134277344,256.54998779296875,257.3800048828125,3232719,334.32000732421875,335.6986083984375,333.0299987792969,335.44000244140625,1062163
2026-01-29 18:30:00+00:00,239.5800018310547,240.22999572753906,238.9333038330078,239.51980590820312,2133171,82.80500030517578,82.98999786376953,82.75,82.83560180664062,1817145,735.1851196289062,738.97998046875,734.530029296875,736.198974609375,2686413,257.364990234375,258.1816101074219,257.1600036621094,258.1449890136719,3079026,335.4100036621094,337.1099853515625,335.2099914550781,336.739990234375,1047643
2026-01-29 19:30:00+00:00,239.50999450683594,240.1898956298828,238.89999389648438,239.97999572753906,2228594,82.83499908447266,82.94989776611328,82.63999938964844,82.8550033569336,2574232,736.1300048828125,737.9000244140625,733.6799926757812,737.030029296875,2343663,258.1449890136719,258.5683898925781,257.7401123046875,258.2950134277344,4240841,336.760009765625,337.1549987792969,335.2300109863281,335.3500061035156,1239408
2026-01-29 20:30:00+00:00,239.99000549316406,241.9600067138672,239.1699981689453,241.67999267578125,4401459,82.8550033569336,83.18499755859375,82.84500122070312,83.11000061035156,3662845,736.989990234375,741.0,735.1099853515625,738.5800170898438,2923302,258.30999755859375,259.3500061035156,257.75,258.17498779296875,5837763,335.3399963378906,339.489990234375,334.8900146484375,338.54998779296875,2949880
2026-01-30 14:30:00+00:00,239.8800048828125,243.31500244140625,238.57000732421875,242.30999755859375,6130228,83.11000061035156,84.05500030517578,82.9800033569336,83.08000183105469,7774838,727.5,732.1699829101562,720.2899780273438,720.4583129882812,4144122,255.1649932861328,258.70001220703125,252.17999267578125,254.0,18411294,334.5400085449219,340.289306640625,332.6400146484375,338.4200134277344,3212162
