Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-24 14:30:00+00:00,315.0,315.5899963378906,313.32000732421875,314.0000915527344,1814702,663.0,667.2999877929688,662.5750122070312,665.152587890625,939446,232.0,232.4199981689453,231.3300018310547,232.10000610351562,2816480,273.25,274.739990234375,273.0899963378906,274.03509521484375,4589623,93.125,93.30000305175781,92.66500091552734,93.125,3550025
2025-12-24 15:30:00+00:00,314.010009765625,315.04998779296875,313.8399963378906,314.989990234375,744707,665.2000122070312,666.75,665.0,666.5150146484375,501463,232.09500122070312,232.7100067138672,231.94000244140625,232.5399932861328,1730779,274.0400085449219,275.04998779296875,273.9100036621094,274.85101318359375,2096233,93.125,93.62999725341797,93.07009887695312,93.48500061035156,1960432
2025-12-24 16:30:00+00:00,315.010009765625,315.4200134277344,314.6199951171875,314.79998779296875,696021,666.5800170898438,667.75,665.9600219726562,667.239990234375,554652,232.5399932861328,232.9499969482422,232.47999572753906,232.80999755859375,1280151,274.8599853515625,275.42999267578125,274.8299865722656,275.3599853515625,2055154,93.48989868164062,93.62000274658203,93.38999938964844,93.45500183105469,1309517
2025-12-26 14:30:00+00:00,316.0,316.4549865722656,313.7300109863281,314.62078857421875,1485859,668.5,668.9498901367188,664.8099975585938,665.1400146484375,834578,231.5,232.818603515625,231.17999267578125,232.14990234375,2808135,274.25,275.3699951171875,274.05999755859375,274.8247985839844,2899986,93.375,94.43000030517578,93.29199981689453,94.30500030517578,3827524
2025-12-26 15:30:00+00:00,314.614990234375,315.18499755859375,314.1000061035156,315.0799865722656,652137,665.1199951171875,665.9099731445312,663.75,664.5150146484375,719925,232.14999389648438,232.6699981689453,231.99000549316406,232.53500366210938,1133230,274.81500244140625,274.9800109863281,274.3699951171875,274.8800048828125,1434883,94.30999755859375,94.68499755859375,94.12999725341797,94.2300033569336,2497383
2025-12-26 16:30:00+00:00,315.0899963378906,315.30999755859375,314.7799987792969,314.9599914550781,391917,664.5499877929688,664.7098999023438,662.6500244140625,663.61962890625,475765,232.5449981689453,232.99000549316406,232.22000122070312,232.95840454101562,923707,274.8800048828125,274.93499755859375,274.4100036621094,274.6400146484375,1079100,94.2249984741211,94.40989685058594,94.0199966430664,94.02999877929688,1393814
2025-12-26 17:30:00+00:00,314.965087890625,315.19000244140625,314.590087890625,315.0899963378906,320264,663.655029296875,663.7698974609375,661.7000122070312,662.1400146484375,494468,232.93499755859375,232.9499969482422,232.3800048828125,232.46580505371094,1021968,274.6300048828125,274.6499938964844,274.2250061035156,274.5199890136719,903247,94.02999877929688,94.41999816894531,94.0199966430664,94.16999816894531,1379850
2025-12-26 18:30:00+00:00,315.04998779296875,315.42999267578125,314.8700866699219,314.92999267578125,386744,662.1300048828125,663.1500244140625,661.3201293945312,662.6514892578125,450997,232.46499633789062,232.8280029296875,232.38999938964844,232.74000549316406,796947,274.5249938964844,274.9849853515625,274.3800048828125,274.7601013183594,1447341,94.16500091552734,94.38999938964844,94.04000091552734,94.25499725341797,1437112
