Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03 09:30:00-04:00,82.88999938964844,83.30000305175781,81.80000305175781,81.80999755859375,8714236,254.6999969482422,257.0899963378906,252.58999633789062,252.72500610351562,10255887,602.989990234375,619.3800048828125,600.27001953125,616.2550048828125,6557720,314.17498779296875,316.94000244140625,314.0,314.3500061035156,9396189,358.3349914550781,362.5,357.19000244140625,357.6600036621094,13132128
2026-06-03 10:30:00-04:00,81.81069946289062,81.97000122070312,81.53500366210938,81.55999755859375,4119683,252.72500610351562,253.27000427246094,250.00999450683594,250.2949981689453,7425937,616.4600219726562,619.7999877929688,613.9550170898438,616.2501220703125,2425569,314.3699951171875,314.6499938964844,310.30999755859375,311.6600036621094,6549146,357.6000061035156,360.17999267578125,354.7200012207031,355.864990234375,4917843
2026-06-03 11:30:00-04:00,81.56500244140625,81.625,81.10009765625,81.20500183105469,4181999,250.2899932861328,250.5749969482422,249.02000427246094,249.06500244140625,5452595,616.3800048828125,616.52001953125,611.6099853515625,613.2050170898438,1381663,311.6400146484375,312.19000244140625,309.510009765625,309.7601013183594,6552624,355.9100036621094,357.3500061035156,354.79998779296875,355.44000244140625,3115432
2026-06-03 12:30:00-04:00,81.19000244140625,81.54499816894531,81.1720962524414,81.50509643554688,2440469,249.0500030517578,249.28700256347656,247.7100067138672,248.0800018310547,5618582,613.27001953125,620.280029296875,612.6300048828125,617.8599853515625,1653923,309.760009765625,310.4649963378906,308.8500061035156,309.2099914550781,3649007,355.4700012207031,358.659912109375,355.3450012207031,357.8999938964844,2302537
2026-06-03 13:30:00-04:00,81.50509643554688,81.7300033569336,81.36499786376953,81.37999725341797,2311279,248.0399932861328,249.39999389648438,247.80999755859375,248.94000244140625,4549897,617.8200073242188,624.0,617.1599731445312,621.8699951171875,2104054,309.19500732421875,309.9800109863281,308.9800109863281,309.8399963378906,2467933,357.8999938964844,358.30999755859375,355.510009765625,356.0,2703850
2026-06-03 14:30:00-04:00,81.38500213623047,81.6500015258789,81.30000305175781,81.56500244140625,3144126,248.94000244140625,249.2100067138672,248.08839416503906,248.5399932861328,3882341,621.905029296875,623.780029296875,620.3900756835938,621.030029296875,1570786,309.8399963378906,310.5400085449219,309.2699890136719,310.4150085449219,3123761,356.010009765625,357.8299865722656,355.75,356.54998779296875,3021090
2026-06-03 15:30:00-04:00,81.56500244140625,81.69499969482422,81.5,81.52999877929688,4959049,248.5500030517578,250.27000427246094,248.27999877929688,249.97000122070312,6332659,621.030029296875,624.0999755859375,620.2847900390625,623.1099853515625,2784132,310.4150085449219,311.1000061035156,309.20001220703125,310.3800048828125,6562646,356.5299987792969,356.5450134277344,354.3999938964844,355.82000732421875,4714652
2026-06-04 09:30:00-04:00,83.23500061035156,83.69999694824219,82.79000091552734,82.79000091552734,11624036,253.32000732421875,255.13999938964844,251.77999877929688,253.8249969482422,9557771,623.6699829101562,640.4000244140625,622.5999755859375,638.0050048828125,5930256,313.30499267578125,313.5400085449219,309.90008544921875,310.25,9640009,355.4800109863281,365.5,354.8500061035156,365.0299987792969,7530068
