Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18 13:30:00+00:00,616.3099975585938,621.7899169921875,615.3099975585938,615.89501953125,2908796,213.9600067138672,215.14010620117188,211.7100067138672,211.8800048828125,4726568,307.9049987792969,310.75,307.2749938964844,307.6400146484375,1947990,94.44499969482422,94.9800033569336,93.61000061035156,93.9000015258789,3661520,252.625,254.94000244140625,251.3800048828125,252.35499572753906,3152133
2026-03-18 14:30:00+00:00,615.989990234375,622.4498901367188,615.5,621.6599731445312,106952,211.86000061035156,212.35000610351562,211.4600067138672,211.7698974609375,2953760,307.6400146484375,309.82879638671875,307.5799865722656,309.1700134277344,1192005,93.90499877929688,94.6050033569336,93.69999694824219,94.58000183105469,2614160,252.33999633789062,253.05999755859375,252.0800018310547,252.3199005126953,2064997
2026-03-18 15:30:00+00:00,621.7205810546875,622.6400146484375,619.25,619.35498046875,590051,211.72000122070312,212.25999450683594,211.39999389648438,211.40980529785156,1638029,309.1300048828125,309.66009521484375,308.6000061035156,308.6597900390625,600568,94.58000183105469,95.2750015258789,94.55999755859375,94.93000030517578,1912849,252.30999755859375,252.3300018310547,251.4600067138672,251.57009887695312,1753188
2026-03-18 16:30:00+00:00,619.2999877929688,619.5399780273438,616.739990234375,617.760009765625,655365,211.39999389648438,211.5,210.6300048828125,210.81500244140625,2498188,308.6600036621094,308.79998779296875,307.1600036621094,307.4200134277344,664726,94.91999816894531,95.05000305175781,94.55999755859375,94.76499938964844,1392192,251.5749969482422,251.58999633789062,250.38999938964844,250.80499267578125,1604382
2026-03-18 17:30:00+00:00,617.7000122070312,621.1599731445312,616.75,618.6055297851562,625240,210.8300018310547,211.55999755859375,210.47999572753906,211.11000061035156,2076524,307.45001220703125,308.489990234375,307.1000061035156,307.239990234375,608904,94.76499938964844,95.33499908447266,94.68000030517578,95.1449966430664,1466290,250.7899932861328,251.64759826660156,250.5399932861328,250.9600067138672,1514045
2026-03-18 18:30:00+00:00,618.5599975585938,619.3599853515625,615.0599975585938,616.77001953125,843970,211.08999633789062,211.3300018310547,209.30999755859375,209.75999450683594,2980529,307.29998779296875,307.44000244140625,306.3299865722656,306.5950012207031,800805,95.1449966430664,95.29000091552734,94.8499984741211,94.97000122070312,2036948,250.94000244140625,250.94500732421875,249.61000061035156,249.67999267578125,1957409
2026-03-18 19:30:00+00:00,616.77001953125,617.0499877929688,614.6099853515625,615.719970703125,866707,209.75,210.07000732421875,208.8300018310547,209.86000061035156,3647096,306.5899963378906,306.80999755859375,305.5494079589844,306.239990234375,864916,94.9800033569336,95.0999984741211,94.65499877929688,94.74500274658203,2071613,249.69400024414062,250.35000610351562,249.0,249.91000366210938,2998677
2026-03-19 13:30:00+00:00,611.9600219726562,613.0,606.5800170898438,607.0150146484375,3165493,207.05999755859375,209.05999755859375,206.05999755859375,206.88999938964844,5645600,303.2099914550781,304.3900146484375,301.0,302.3699951171875,2141797,94.30999755859375,95.75,92.72000122070312,92.82009887695312,4910502,249.39999389648438,251.8300018310547,247.3000030517578,249.8000030517578,5282204
