Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-30 13:30:00+00:00,270.625,270.625,257.45001220703125,259.04998779296875,32151462,371.2550048828125,374.22100830078125,363.760009765625,366.20001220703125,13167114,613.739990234375,613.89990234375,600.0,602.2899169921875,19669222,270.5,272.20001220703125,268.1400146484375,271.91900634765625,9777419,91.33999633789062,92.7300033569336,90.7699966430664,92.69000244140625,9151134
2026-04-30 14:30:00+00:00,259.0,260.2699890136719,257.4849853515625,258.2099914550781,13223775,366.1199951171875,375.1499938964844,363.0899963378906,372.69940185546875,5960726,602.2100219726562,609.5700073242188,601.0,606.4400024414062,6141711,272.0,272.20001220703125,270.7300109863281,271.5199890136719,4122597,92.69499969482422,93.26000213623047,92.30999755859375,93.02999877929688,4772051
2026-04-30 15:30:00+00:00,258.55999755859375,259.6799011230469,256.1600036621094,259.135009765625,8002639,372.70001220703125,374.8399963378906,370.0450134277344,373.2099914550781,4328728,606.4500122070312,612.0,606.0,608.8101196289062,5146156,271.5249938964844,273.09991455078125,271.17999267578125,273.05999755859375,4223495,93.03500366210938,93.48999786376953,92.94000244140625,93.32499694824219,3106521
2026-04-30 16:30:00+00:00,259.135009765625,260.59991455078125,257.8399963378906,259.9299011230469,5677715,373.2300109863281,380.8299865722656,373.20001220703125,380.6400146484375,4112998,608.8099975585938,610.3399047851562,605.5524291992188,607.5449829101562,3647259,273.0799865722656,273.760009765625,271.67999267578125,272.7850036621094,4453968,93.31999969482422,93.47000122070312,93.0,93.375,2365085
2026-04-30 17:30:00+00:00,259.8399963378906,262.6400146484375,259.55999755859375,262.39990234375,8647342,380.8800048828125,382.32000732421875,379.57000732421875,381.2200012207031,3665888,608.1099853515625,618.4000244140625,607.6300048828125,616.0700073242188,4437703,273.1099853515625,274.20001220703125,272.79998779296875,273.6000061035156,4048095,93.37989807128906,94.05000305175781,93.33000183105469,93.7750015258789,3142229
2026-04-30 18:30:00+00:00,262.3599853515625,266.010009765625,262.29998779296875,265.6000061035156,9655012,381.3500061035156,381.5,377.8900146484375,378.3900146484375,3085708,616.0700073242188,618.0900268554688,614.470703125,617.0800170898438,3830102,273.5799865722656,274.489990234375,272.82000732421875,274.489990234375,4534270,93.7750015258789,94.16000366210938,93.75,94.03250122070312,2837037
2026-04-30 19:30:00+00:00,265.5899963378906,266.489990234375,264.5199890136719,265.0299987792969,9234383,378.3900146484375,382.6300048828125,377.70001220703125,382.0,4003154,617.0700073242188,619.9199829101562,611.2000122070312,611.4000244140625,4472294,274.4700012207031,275.94000244140625,270.3399963378906,271.3599853515625,14238265,94.03500366210938,94.22000122070312,93.55000305175781,93.55000305175781,4209011
2026-05-01 13:30:00+00:00,265.42999267578125,273.31500244140625,262.783203125,271.3999938964844,15755826,378.07000732421875,382.6499938964844,375.2699890136719,381.4700012207031,9823116,614.6900024414062,618.8400268554688,610.2100219726562,611.3150024414062,5030843,281.3999938964844,287.2099914550781,278.3699951171875,285.3399963378906,30058496,94.47000122070312,94.69999694824219,93.61000061035156,93.87999725341797,5519911
