Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-23 14:30:00+00:00,660.0499877929688,665.1400146484375,658.25,662.5999755859375,1332160,311.75,316.17999267578125,310.8599853515625,313.68499755859375,2659909,93.36000061035156,93.80999755859375,92.7699966430664,93.15499877929688,4147602,270.0,271.92999267578125,269.55999755859375,270.8399963378906,5104762,230.08999633789062,232.16000366210938,229.6699981689453,230.11849975585938,6784389
2025-12-23 15:30:00+00:00,662.6699829101562,664.5999755859375,662.3300170898438,664.0750122070312,525635,313.6499938964844,316.2149963378906,313.6400146484375,314.95989990234375,1553256,93.16000366210938,93.56999969482422,93.02999877929688,93.26499938964844,1943115,270.8399963378906,271.95001220703125,270.70001220703125,271.7814025878906,2241209,230.1199951171875,231.1699981689453,229.97999572753906,230.4600067138672,2389710
2025-12-23 16:30:00+00:00,664.219970703125,665.739990234375,663.3281860351562,664.1799926757812,610049,314.9649963378906,315.9800109863281,314.6449890136719,315.41241455078125,975490,93.26499938964844,93.45999908447266,93.18000030517578,93.375,1498901,271.81500244140625,272.3111877441406,271.4729919433594,271.5299987792969,2086319,230.460205078125,231.6999969482422,230.460205078125,231.38999938964844,1907572
2025-12-23 17:30:00+00:00,664.22998046875,664.8499755859375,663.4099731445312,664.234619140625,439998,315.4100036621094,315.57000732421875,314.8399963378906,315.57000732421875,776840,93.37000274658203,93.4000015258789,93.08999633789062,93.32499694824219,1433067,271.5400085449219,271.80999755859375,271.1099853515625,271.70001220703125,1310733,231.33999633789062,231.8300018310547,231.11000061035156,231.53799438476562,1391950
2025-12-23 18:30:00+00:00,664.2349853515625,665.260009765625,663.7000122070312,665.0900268554688,427006,315.5899963378906,316.29998779296875,315.3800048828125,315.57501220703125,620681,93.31999969482422,93.375,93.0999984741211,93.13899993896484,1129877,271.70001220703125,272.1199951171875,271.5,271.80999755859375,1442128,231.53500366210938,232.13999938964844,231.47999572753906,232.0,1349927
2025-12-23 19:30:00+00:00,665.0999755859375,666.0,664.3800048828125,665.489990234375,488599,315.5899963378906,316.2560119628906,315.4200134277344,316.1610107421875,710700,93.13500213623047,93.33999633789062,93.08000183105469,93.19000244140625,1488927,271.80999755859375,272.44000244140625,271.760009765625,272.10699462890625,1857021,232.0,232.44500732421875,231.74000549316406,232.2100067138672,1825561
2025-12-23 20:30:00+00:00,665.4400024414062,665.8800048828125,663.5,664.7000122070312,736127,316.1600036621094,316.16461181640625,315.3999938964844,315.7099914550781,910979,93.18499755859375,93.5,93.06500244140625,93.4800033569336,2515925,272.1000061035156,272.45001220703125,271.8399963378906,272.239990234375,2287709,232.2100067138672,232.27999877929688,231.9199981689453,232.1199951171875,8218043
2025-12-24 14:30:00+00:00,662.8699951171875,667.2999877929688,662.5750122070312,665.152587890625,939446,315.0,315.5899963378906,313.32000732421875,314.0000915527344,1814702,93.18000030517578,93.30000305175781,92.66500091552734,93.125,3550025,273.25,274.739990234375,273.0899963378906,274.03509521484375,4589623,232.0,232.4199981689453,231.3300018310547,232.10000610351562,2816480
