Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24 09:30:00-04:00,317.95001220703125,323.9800109863281,317.5,319.8699951171875,5941981,234.3699951171875,234.9499969482422,231.58999633789062,231.58999633789062,7973154,322.0400085449219,329.4389953613281,321.6199951171875,328.79998779296875,8571059,605.3400268554688,607.52001953125,600.75,604.9000244140625,2224365,69.25499725341797,69.45999908447266,67.97039794921875,69.12000274658203,7340702
2026-07-24 10:30:00-04:00,319.80999755859375,321.510009765625,317.5,321.4100036621094,2852974,231.61000061035156,233.92999267578125,231.35000610351562,233.77999877929688,5075022,328.7950134277344,331.92999267578125,328.7099914550781,331.7650146484375,6271725,605.0,609.3800048828125,603.7899780273438,608.760009765625,1080615,69.12000274658203,70.16000366210938,69.12000274658203,70.11499786376953,4840724
2026-07-24 11:30:00-04:00,321.44000244140625,321.7699890136719,319.0199890136719,319.1099853515625,1838689,233.82000732421875,234.1898956298828,232.86000061035156,234.03500366210938,2942707,331.7749938964844,334.3699951171875,331.6700134277344,333.7200012207031,6621698,608.7550048828125,609.97998046875,603.02001953125,603.155029296875,1207925,70.11499786376953,70.14510345458984,69.69999694824219,70.1449966430664,3068118
2026-07-24 12:30:00-04:00,319.114990234375,320.2799987792969,318.19500732421875,320.0199890136719,1668744,234.02999877929688,234.30999755859375,232.88999938964844,233.55499267578125,2680443,333.69500732421875,334.2200012207031,332.1505126953125,332.3999938964844,3846747,603.0599975585938,604.9099731445312,600.0700073242188,602.989990234375,1033769,70.1500015258789,70.2300033569336,70.0,70.22000122070312,2384045
2026-07-24 13:30:00-04:00,320.010009765625,320.6600036621094,318.8999938964844,319.6700134277344,1498056,233.57000732421875,233.8699951171875,232.16000366210938,232.16000366210938,3212511,332.3949890136719,333.19000244140625,332.1400146484375,332.2650146484375,2780581,603.0,603.780029296875,599.1300048828125,601.47998046875,898570,70.21499633789062,70.37000274658203,70.0199966430664,70.33049774169922,2842871
2026-07-24 14:30:00-04:00,319.67999267578125,319.8550109863281,318.5722961425781,319.0069885253906,1913048,232.16009521484375,232.3300018310547,231.36000061035156,231.49459838867188,3900801,332.2650146484375,333.2300109863281,332.05999755859375,332.489990234375,6248052,601.52001953125,601.8189697265625,599.0599975585938,600.0549926757812,1091685,70.33999633789062,70.68000030517578,70.2300033569336,70.25,4697939
2026-07-24 15:30:00-04:00,319.0,320.0799865722656,318.739990234375,319.0899963378906,2492104,231.4499969482422,232.5,231.4499969482422,232.07000732421875,4092356,332.4800109863281,333.45001220703125,331.8500061035156,333.07000732421875,4719723,600.0549926757812,601.1799926757812,594.5999755859375,595.2000122070312,1792240,70.25,70.375,70.05999755859375,70.09500122070312,5300395
2026-07-27 09:30:00-04:00,324.739990234375,330.1014099121094,324.4700012207031,326.260009765625,6083540,235.6999969482422,235.8800048828125,233.22000122070312,233.47999572753906,6565341,334.8999938964844,338.1400146484375,334.0199890136719,337.69000244140625,11270804,607.219970703125,611.260009765625,600.1799926757812,605.3250122070312,2456826,70.58999633789062,70.80000305175781,69.86000061035156,70.41000366210938,6218866
