Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-09 14:30:00+00:00,89.5,89.70999908447266,88.31999969482422,88.94499969482422,10202063,644.5,651.0,642.8875122070312,649.260009765625,1872574,245.0,245.72999572753906,242.25,245.66000366210938,6359406,259.0,260.0,256.2200927734375,258.4599914550781,7220053,326.5,331.2099914550781,326.25,330.32501220703125,4120571
2026-01-09 15:30:00+00:00,88.94979858398438,89.11000061035156,88.56999969482422,88.74500274658203,5303809,649.25,654.9500122070312,648.64501953125,654.5150146484375,1454695,245.67999267578125,246.9199981689453,244.90499877929688,246.33250427246094,2975138,258.4599914550781,258.75,256.8800048828125,256.9599914550781,3212319,330.3599853515625,331.4800109863281,329.07000732421875,330.69500732421875,1569062
2026-01-09 16:30:00+00:00,88.74970245361328,89.08999633789062,88.68000030517578,88.8949966430664,3955324,654.4608764648438,654.5150146484375,650.6099853515625,651.4000244140625,771346,246.32000732421875,246.47999572753906,245.41000366210938,245.9250030517578,1866918,256.9512939453125,259.05499267578125,256.7663879394531,258.92999267578125,3345096,330.69000244140625,331.3599853515625,330.07000732421875,330.510009765625,1058506
2026-01-09 17:30:00+00:00,88.8949966430664,89.06500244140625,88.69999694824219,88.75499725341797,2968049,651.2999877929688,652.7899780273438,650.69873046875,651.2999877929688,505734,245.89999389648438,246.02999877929688,245.41000366210938,245.75,1429269,258.9100036621094,259.1600036621094,258.2401123046875,259.1199951171875,2173770,330.489990234375,330.67999267578125,329.1199951171875,329.92999267578125,1213445
2026-01-09 18:30:00+00:00,88.75499725341797,89.05000305175781,88.75,88.9198989868164,3444911,651.239990234375,653.5999755859375,650.9400024414062,652.6900024414062,655639,245.74000549316406,246.80999755859375,245.74000549316406,246.63009643554688,1538268,259.1300048828125,259.95001220703125,259.010009765625,259.7300109863281,1971968,329.9100036621094,330.93499755859375,329.885009765625,330.4501037597656,742423
2026-01-09 19:30:00+00:00,88.91310119628906,89.26000213623047,88.8499984741211,88.93499755859375,3575165,652.739990234375,653.0900268554688,650.6749877929688,651.8864135742188,718352,246.64999389648438,247.27000427246094,246.64010620117188,247.0,2171384,259.7300109863281,260.2099914550781,259.67999267578125,259.9649963378906,2732054,330.4695129394531,331.19000244140625,329.9949951171875,330.310302734375,989429
2026-01-09 20:30:00+00:00,88.93499755859375,89.47000122070312,88.93000030517578,89.43499755859375,3648686,651.8834838867188,654.2999877929688,651.7100219726562,653.0399780273438,795975,246.99000549316406,247.86000061035156,246.85000610351562,247.35000610351562,2716803,259.95001220703125,260.05499267578125,258.95001220703125,259.3500061035156,2303687,330.2149963378906,330.55999755859375,329.1199951171875,329.1499938964844,1026868
2026-01-12 14:30:00+00:00,89.69000244140625,90.33499908447266,89.625,89.77999877929688,6051754,652.5250244140625,653.969970703125,646.6599731445312,647.6749877929688,2105540,246.8000030517578,248.47999572753906,246.24000549316406,247.6699981689453,6074745,259.4100036621094,261.29998779296875,256.79998779296875,260.3500061035156,8505619,326.5,334.44000244140625,325.510009765625,331.2099914550781,4098995
