Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18 14:30:00+00:00,656.989990234375,666.7000122070312,656.4600219726562,666.3400268554688,2745202,225.7050018310547,227.8300018310547,224.41000366210938,227.58270263671875,6812858,95.0199966430664,95.61499786376953,94.12999725341797,95.50499725341797,5545724,303.06500244140625,303.8299865722656,300.6300048828125,302.8948059082031,3597266,273.6050109863281,273.6199951171875,266.9599914550781,270.8999938964844,10127086
2025-12-18 15:30:00+00:00,666.2999877929688,670.5599975585938,665.77001953125,667.030029296875,1383130,227.55999755859375,229.22500610351562,227.41000366210938,228.32000732421875,4203285,95.5,95.80999755859375,94.5,94.69930267333984,3242516,302.8500061035156,304.4200134277344,302.44000244140625,303.489990234375,1899595,270.86199951171875,272.7200012207031,270.80999755859375,272.29998779296875,3659235
2025-12-18 16:30:00+00:00,667.0,668.75,662.219970703125,663.910400390625,1117215,228.3000030517578,228.77999877929688,225.4114990234375,225.80349731445312,2669520,94.69000244140625,94.87000274658203,93.94999694824219,94.19499969482422,3005103,303.4100036621094,304.6300048828125,302.55999755859375,303.6050109863281,1332686,272.2900085449219,273.16400146484375,269.94000244140625,270.25,3692916
2025-12-18 17:30:00+00:00,663.8099975585938,667.219970703125,663.3800048828125,666.6199951171875,693816,225.82000732421875,227.19500732421875,225.57009887695312,227.0449981689453,1730314,94.19000244140625,94.38999938964844,93.80999755859375,93.86509704589844,2274093,303.6000061035156,305.260009765625,303.510009765625,305.0994873046875,939754,270.20001220703125,272.75,270.1199951171875,272.6499938964844,1920512
2025-12-18 18:30:00+00:00,666.6199951171875,667.5150146484375,663.155029296875,663.9400024414062,537565,227.08999633789062,227.44500732421875,226.27000427246094,226.58999633789062,2345686,93.86499786376953,94.27999877929688,93.75,93.96499633789062,1920521,305.1510009765625,305.25,303.20001220703125,303.35009765625,777426,272.6700134277344,272.9599914550781,271.0899963378906,271.3699951171875,2108845
2025-12-18 19:30:00+00:00,663.9299926757812,664.9299926757812,661.7719116210938,664.5399780273438,795351,226.59500122070312,226.77999877929688,225.75,226.76499938964844,1798095,93.97000122070312,94.08000183105469,93.58999633789062,93.94709777832031,2286772,303.3599853515625,304.1300048828125,302.80999755859375,303.8699951171875,890340,271.3699951171875,271.96990966796875,270.5,271.8399963378906,2747038
2025-12-18 20:30:00+00:00,664.47998046875,666.5399780273438,663.8800048828125,664.3800048828125,1136131,226.77000427246094,227.30999755859375,226.66000366210938,226.75999450683594,2211519,93.94999694824219,94.06999969482422,93.80000305175781,93.9800033569336,3072093,303.8299865722656,304.44000244140625,303.4700012207031,303.70001220703125,1087301,271.8500061035156,273.20001220703125,271.7850036621094,272.1600036621094,2956766
2025-12-19 14:30:00+00:00,666.510009765625,667.77001953125,659.6199951171875,660.469970703125,4376390,226.7519989013672,227.6999053955078,225.5814971923828,226.86000061035156,15668410,93.56999969482422,95.33000183105469,93.44999694824219,94.47000122070312,12039854,303.17999267578125,307.6199951171875,302.3399963378906,306.2300109863281,7101352,272.1449890136719,272.9200134277344,270.95001220703125,271.7349853515625,18574766
