Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02 13:30:00+00:00,566.0150146484375,570.0,559.7274169921875,569.1500244140625,4173599,288.989990234375,293.3500061035156,287.57000732421875,292.19000244140625,3748548,206.5500030517578,209.5399932861328,204.89999389648438,208.94000244140625,8284908,254.13999938964844,254.75999450683594,250.64999389648438,252.125,6325362,95.25,96.73999786376953,95.19999694824219,96.68000030517578,7177792
2026-04-02 14:30:00+00:00,569.155029296875,578.5,568.8101196289062,572.4199829101562,2442553,292.1300048828125,295.8999938964844,292.0614929199219,293.9100036621094,1971311,208.91000366210938,212.21249389648438,208.86000061035156,210.42999267578125,4895813,252.11000061035156,255.72000122070312,251.99000549316406,255.1199951171875,3633781,96.66999816894531,97.95999908447266,96.61499786376953,97.625,6440714
2026-04-02 15:30:00+00:00,572.3049926757812,574.1099853515625,569.8171997070312,570.3900146484375,1234161,293.80999755859375,294.2300109863281,292.95001220703125,293.3699951171875,1104589,210.47000122070312,210.6750030517578,208.97999572753906,209.27000427246094,3352493,255.1649932861328,255.18499755859375,254.0,254.11000061035156,1582954,97.62999725341797,97.8550033569336,97.34500122070312,97.53800201416016,3077837
2026-04-02 16:30:00+00:00,570.405029296875,573.3499755859375,570.2000122070312,572.385009765625,910163,293.3299865722656,294.5199890136719,293.2699890136719,294.3299865722656,1612634,209.27999877929688,210.08999633789062,209.11700439453125,209.61000061035156,2558120,254.1300048828125,255.4853057861328,254.07000732421875,255.3350067138672,1421651,97.53500366210938,98.33999633789062,97.43000030517578,98.12999725341797,3178715
2026-04-02 17:30:00+00:00,572.405029296875,573.5599975585938,569.5,572.4421997070312,988467,294.3299865722656,294.5,293.3299865722656,293.489990234375,642341,209.625,209.67999267578125,208.49000549316406,209.02000427246094,2050570,255.3350067138672,255.38999938964844,254.30999755859375,255.14500427246094,1758702,98.125,98.23819732666016,97.63999938964844,97.70500183105469,2938582
2026-04-02 18:30:00+00:00,572.5,574.7999267578125,572.4749755859375,573.8900146484375,1001883,293.489990234375,294.3299865722656,293.239990234375,293.36859130859375,863323,209.0449981689453,209.48500061035156,208.7899932861328,209.11000061035156,2729574,255.16000366210938,255.6999969482422,254.8000946044922,255.1199951171875,3309762,97.70999908447266,97.93990325927734,97.5199966430664,97.87000274658203,3508562
2026-04-02 19:30:00+00:00,573.8400268554688,575.1300048828125,573.5599975585938,574.5499877929688,1076161,293.3399963378906,294.4800109863281,293.2799987792969,294.44000244140625,1188308,209.0850067138672,209.90499877929688,208.91000366210938,209.77000427246094,3338918,255.10000610351562,256.1300048828125,254.8000030517578,255.88999938964844,3297591,97.86499786376953,98.70999908447266,97.79000091552734,98.68499755859375,5019509
2026-04-06 13:30:00+00:00,577.2020263671875,582.7899780273438,576.4801025390625,577.2698974609375,1771883,294.70001220703125,297.19000244140625,293.79998779296875,296.7900085449219,2264691,210.30999755859375,212.9499969482422,210.00999450683594,212.30999755859375,5281769,256.9624938964844,262.0199890136719,256.4800109863281,261.760009765625,6693044,101.8499984741211,102.68499755859375,99.37999725341797,99.41000366210938,12711123
