Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10 09:30:00-04:00,75.44999694824219,75.69860076904297,72.7750015258789,73.12229919433594,13100550,354.9540100097656,355.2796936035156,352.0,353.4049987792969,2778819,249.63999938964844,251.02999877929688,244.88499450683594,246.17999267578125,7070052,314.7200012207031,316.3900146484375,312.93011474609375,313.1300048828125,6346453,660.3350219726562,677.8499755859375,658.010009765625,667.1500244140625,16463712
2026-07-10 10:30:00-04:00,73.12000274658203,73.38500213623047,72.87999725341797,73.11499786376953,5796206,353.4049987792969,353.5400085449219,350.70001220703125,352.2300109863281,1317885,246.10000610351562,246.36000061035156,244.41000366210938,245.9600067138672,3684833,313.1199951171875,314.1099853515625,312.1700134277344,313.3399963378906,4170673,667.2120971679688,675.2000122070312,662.47998046875,674.7150268554688,5541256
2026-07-10 11:30:00-04:00,73.11990356445312,73.23500061035156,72.91999816894531,72.92500305175781,4145988,352.260009765625,353.20001220703125,351.54998779296875,352.9150085449219,960055,245.97000122070312,246.6999053955078,245.6699981689453,245.677001953125,3252178,313.3500061035156,314.5140075683594,312.32000732421875,314.3550109863281,2588249,674.8049926757812,675.469482421875,666.25,668.5499877929688,3226942
2026-07-10 12:30:00-04:00,72.92990112304688,73.0999984741211,72.6050033569336,72.62000274658203,4438832,352.9700012207031,353.889892578125,352.19000244140625,352.20001220703125,938067,245.67999267578125,246.44000244140625,244.80999755859375,244.85000610351562,2303533,314.3699951171875,314.7799987792969,313.94000244140625,314.4599914550781,1701568,668.6199951171875,669.8800048828125,662.6199951171875,662.969970703125,2248713
2026-07-10 13:30:00-04:00,72.61499786376953,73.41999816894531,72.51000213623047,73.375,4616439,352.2099914550781,353.54998779296875,351.57000732421875,353.5249938964844,715317,244.84500122070312,245.7100067138672,244.4199981689453,245.6300048828125,3179187,314.4700012207031,314.8900146484375,313.8902893066406,314.840087890625,1530749,663.0399780273438,670.719970703125,662.0,668.7750244140625,2655833
2026-07-10 14:30:00-04:00,73.375,73.75,73.37460327148438,73.54499816894531,3804134,353.5249938964844,354.3999938964844,353.1000061035156,354.25,1094675,245.66000366210938,245.88999938964844,245.2115020751953,245.46499633789062,2370221,314.8599853515625,316.4798889160156,314.739990234375,316.1600036621094,3576384,668.844970703125,670.6699829101562,665.9334106445312,666.0599975585938,2299358
2026-07-10 15:30:00-04:00,73.54000091552734,73.67500305175781,73.25,73.375,4749739,354.2799987792969,355.6499938964844,354.04998779296875,355.0400085449219,1440332,245.47999572753906,246.0800018310547,245.11000061035156,245.30999755859375,3511956,316.1499938964844,316.9100036621094,314.7799987792969,315.32989501953125,3989622,665.97998046875,671.2000122070312,663.8900146484375,669.3099975585938,3765321
2026-07-13 09:30:00-04:00,73.9000015258789,75.38999938964844,73.9000015258789,74.97000122070312,10107143,353.989990234375,355.75,351.7099914550781,353.0400085449219,2236358,244.25999450683594,248.60000610351562,244.22999572753906,246.52999877929688,7172072,317.0150146484375,323.45001220703125,316.45001220703125,320.19000244140625,12156474,661.510009765625,676.6199951171875,654.2000122070312,657.0,5309074
