Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04 14:30:00+00:00,79.9749984741211,81.38999938964844,79.2249984741211,81.36499786376953,7408217,687.72998046875,688.6900024414062,668.5700073242188,678.905029296875,3556456,272.30999755859375,278.80999755859375,272.2850036621094,276.1000061035156,14363169,343.9200134277344,344.25,335.95001220703125,336.9100036621094,5076576,238.6999969482422,238.77000427246094,234.3699951171875,237.4949951171875,7605192
2026-02-04 15:30:00+00:00,81.36499786376953,81.43499755859375,80.62000274658203,80.93000030517578,3914817,678.72998046875,680.0800170898438,672.4299926757812,676.3455810546875,1184496,276.125,277.3900146484375,275.29998779296875,277.21380615234375,5901048,336.9599914550781,336.9599914550781,333.3999938964844,334.70001220703125,2659617,237.4600067138672,238.27000427246094,236.05999755859375,236.9499969482422,3556822
2026-02-04 16:30:00+00:00,80.93499755859375,81.18000030517578,80.33000183105469,80.62999725341797,3581727,676.4199829101562,676.739990234375,669.5399780273438,669.9199829101562,924622,277.1935119628906,277.260009765625,273.8999938964844,275.25,5657904,334.6600036621094,334.7514953613281,331.1000061035156,332.0249938964844,2234867,236.9499969482422,237.08999633789062,233.3000946044922,233.42019653320312,3698706
2026-02-04 17:30:00+00:00,80.63999938964844,81.07499694824219,80.38999938964844,81.0,3129784,669.8099975585938,671.85302734375,667.4600219726562,671.3350219726562,1046016,275.2699890136719,276.114990234375,273.1400146484375,275.6000061035156,5072262,332.0350036621094,334.0350036621094,329.3800048828125,334.0249938964844,2441923,233.39999389648438,233.82000732421875,231.97000122070312,233.7449951171875,4215645
2026-02-04 18:30:00+00:00,81.0,81.30000305175781,80.71440124511719,80.98500061035156,2471949,671.2869873046875,673.4298706054688,668.6799926757812,671.8099975585938,802114,275.6199951171875,275.760009765625,274.3500061035156,274.9100036621094,3128540,334.0199890136719,334.19000244140625,330.489990234375,332.44000244140625,1785941,233.72950744628906,233.74000549316406,231.8300018310547,232.60000610351562,3549659
2026-02-04 19:30:00+00:00,80.98500061035156,81.20999908447266,80.23999786376953,80.32499694824219,3261265,671.969970703125,674.9299926757812,670.7532958984375,673.52001953125,967539,274.90020751953125,278.0799865722656,274.8299865722656,277.6099853515625,5267006,332.3999938964844,335.1499938964844,332.3299865722656,334.375,2374487,232.60000610351562,234.89999389648438,232.57000732421875,233.8000030517578,3399915
2026-02-04 20:30:00+00:00,80.32499694824219,80.54499816894531,80.05999755859375,80.18499755859375,3626398,673.530029296875,674.4199829101562,667.989990234375,668.989990234375,1078946,277.6099853515625,278.95001220703125,276.3599853515625,276.4599914550781,7312922,334.375,334.8299865722656,333.0,333.30999755859375,2367636,233.80999755859375,234.74000549316406,232.41000366210938,232.92999267578125,3434833
2026-02-05 14:30:00+00:00,81.45500183105469,83.29499816894531,81.31999969482422,81.51499938964844,12713781,663.030029296875,672.2999877929688,653.52001953125,657.97998046875,3157657,278.0199890136719,279.44000244140625,273.2300109863281,276.7850036621094,9310150,313.20001220703125,326.5498962402344,306.9200134277344,317.36090087890625,14436463,224.99000549316406,226.3000030517578,220.38999938964844,222.27000427246094,16748667
